elementName,No1Coef,No2Coef,No3Coef,No4Coef,No5Coef,No6Coef,No7Coef,No8Coef,No9Coef,No10Coef,AvgCoef,MaxCoef,MinCoef,DiffMaxMinCoef,Variance,Std
R-HSA-69306,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0
R-HSA-5357801,1,1,1,1,1,2,3,3,4,4,2.1,4,1,3,1.49,1.2206555615733703
R-HSA-1430728,2,14,15,18,18,1,2,5,15,17,10.7,18,1,17,47.209999999999994,6.870953354520753
R-HSA-1474244,3,16,8,7,19,5,8,6,1,5,7.8,19,1,18,28.159999999999997,5.3065996645686395
R-HSA-400253,4,4,5,4,2,9,5,9,3,6,5.1,9,2,7,4.890000000000001,2.2113344387495983
R-HSA-5205647,5,6,6,3,9,4,4,4,5,7,5.3,9,3,6,2.8099999999999996,1.676305461424021
R-HSA-8963743,6,5,3,8,3,7,6,1,8,8,5.5,8,1,7,5.45,2.3345235059857505
R-HSA-112316,7,12,14,16,13,14,12,11,10,3,11.2,16,3,13,12.960000000000003,3.6000000000000005
R-HSA-4839726,8,8,4,2,5,3,13,8,2,1,5.4,13,1,12,12.84,3.5832945734337835
R-HSA-1500931,9,9,7,11,6,15,9,12,7,11,9.6,15,6,9,6.640000000000001,2.5768197453450252
R-HSA-397014,10,7,12,9,12,8,10,10,16,13,10.7,16,7,9,6.21,2.4919871588754225
R-HSA-1640170,11,15,19,15,17,17,16,19,14,19,16.2,19,11,8,5.96,2.4413111231467406
R-HSA-1474165,12,3,10,5,10,11,11,13,6,12,9.3,13,3,10,10.409999999999998,3.2264531609803355
R-HSA-109582,13,18,18,19,8,18,19,18,19,18,16.8,19,8,11,11.360000000000001,3.3704599092705436
R-HSA-1852241,14,2,13,6,4,6,7,2,9,10,7.3,14,2,12,15.809999999999999,3.9761790704142084
R-HSA-8953854,15,10,9,17,7,16,15,15,11,16,13.1,17,7,10,11.09,3.3301651610693423
R-HSA-5653656,16,19,16,14,16,13,17,14,18,9,15.2,19,9,10,7.359999999999999,2.7129319932501073
R-HSA-73894,17,11,11,12,14,10,14,17,17,15,13.8,17,10,7,6.56,2.5612496949731396
R-HSA-1266738,18,13,2,10,11,12,1,7,12,2,8.8,18,1,17,28.559999999999995,5.344155686354955
R-HSA-382551,19,17,17,13,15,19,18,16,13,14,16.1,19,13,6,4.6899999999999995,2.1656407827707715
R-HSA-1643685,20,20,20,20,20,20,20,20,20,20,20.0,20,20,0,0.0,0.0
R-HSA-392499,21,22,21,22,22,22,21,23,21,22,21.7,23,21,2,0.41000000000000003,0.6403124237432849
R-HSA-74160,22,24,23,23,24,23,24,22,23,24,23.2,24,22,2,0.5600000000000002,0.7483314773547883
R-HSA-168256,23,21,22,21,21,21,22,21,22,21,21.5,23,21,2,0.45,0.6708203932499369
R-HSA-162582,24,23,24,25,25,24,23,24,24,23,23.9,25,23,2,0.49000000000000005,0.7000000000000001
R-HSA-8953897,25,25,25,24,23,25,25,25,25,25,24.7,25,23,2,0.41000000000000003,0.6403124237432849
