elementName,No1Coef,No2Coef,No3Coef,No4Coef,No5Coef,No6Coef,No7Coef,No8Coef,No9Coef,No10Coef,AvgCoef,MaxCoef,MinCoef,DiffMaxMinCoef,Variance,Std
TP53,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0
MAP3K7,1,2,2,2,2,2,2,2,1,1,1.7,2,1,1,0.21000000000000002,0.45825756949558405
PSMD2,2,3,7,6,10,9209,108,3,2,9202,1855.2,9209,2,9207,13507668.959999999,3675.2780792750905
PTEN,3,7,9168,7,3,3,16,5,5,5,922.2,9168,3,9165,7554815.160000001,2748.602401221392
RAC1,4,9061,125,8,9171,77,37,6,6,22,1851.7,9171,4,9167,13194459.21,3632.4178187537846
CKAP5,5,61,9175,182,101,9114,9124,426,28,9168,3738.4,9175,5,9170,19501820.64,4416.086575238307
RRAGD,6,22,11,12,5,20,39,9,16,12,15.2,39,5,34,90.16,9.495261976375375
NUP43,7,8,9,8821,9,8972,3,205,7,7,1804.8,8972,3,8969,12577620.16,3546.49406597558
NUP214,8,21,55,125,18,162,58,87,34,25,59.3,162,8,154,2327.2100000000005,48.2411649942246
PSMD14,9,1,1,3,1,1,1,1,8,2,2.8,9,1,8,8.56,2.925747767665559
DYNC1I2,10,9016,37,9167,9185,61,11,27,49,61,2762.4,9185,10,9175,17338999.44,4164.0124207307545
GTF2H4,11,16,8,65,8,7,23,13,62,85,29.8,85,7,78,766.5600000000001,27.68681996907554
NUP133,12,5,49,9,9112,17,12,9123,111,4,1845.4,9123,4,9119,13221808.24,3636.180446567524
CUL1,13,9203,4,1,9071,10,7,9142,4,97,2755.2,9203,1,9202,17465290.36,4179.149478063689
MDM2,14,8795,136,796,17,8976,49,9196,22,47,2804.8,9196,14,9182,16447567.760000002,4055.5601043505694
CCNC,15,12,16,11,4,4,5,4,15,15,10.1,16,4,12,24.889999999999997,4.988987873306568
NUP153,16,41,8966,28,328,167,8359,313,42,9198,2745.8,9198,16,9182,15970899.16,3996.360739472852
RPL7,17,40,28,36,11,5,21,16,19,26,21.9,40,5,35,105.29,10.261091559868278
CCNH,18,118,18,34,24,25,13,33,23,62,36.8,118,13,105,901.76,30.029319006597536
UBE2W,19,28,26,26,53,19,26,14,12,37,26.0,53,12,41,129.2,11.366617790706258
MUC16,20,13,22,35,21,24,9,47,17,54,26.2,54,9,45,192.56,13.876599006961325
MYC,21,19,21,13,16,40,25,28,40,18,24.1,40,13,27,79.28999999999999,8.904493247793498
RPS27A,22,4,3,9064,9227,9226,167,10,112,3,2783.8,9227,3,9224,17495832.76,4182.802022568126
PSMA1,23,102,17,23,172,23,28,19,88,39,53.4,172,17,155,2375.8399999999997,48.74258918030514
PSMA5,24,9162,5,797,93,8541,9084,222,8807,16,3675.1,9162,5,9157,18260362.889999997,4273.214585063567
IRAK2,25,112,70,78,40,31,61,49,8476,56,899.8,8476,25,8451,6378214.76,2525.512771696077
BRPF1,26,38,97,40,66,71,59,42,51,17,50.7,97,17,80,495.61,22.262299971027254
PSMD5,27,173,123,152,7,12,17,7,118,91,72.7,173,7,166,3877.41,62.26885256691342
NUP98,28,42,12,143,22,34,42,18,11,11,36.3,143,11,132,1393.41,37.32840741312172
SEC13,29,106,68,9087,1160,430,168,9154,729,9100,3003.1,9154,29,9125,16110005.489999998,4013.727131980947
OBSCN,30,15,46,18,68,58,82,448,43,32,84.0,448,15,433,15129.4,123.00162600551262
FYN,31,11,9128,5,6,6,8,9061,8932,8568,3575.6,9128,5,9123,19076544.240000002,4367.670344703227
NUP54,32,70,27,14,9079,22,6,23,31,10,931.4,9079,6,9073,7376214.039999999,2715.9186364837956
NUP155,33,354,8732,195,151,27,72,36,144,60,980.4,8732,27,8705,6685475.84,2585.6287127118617
ARHGAP39,34,77,54,39,47,65,56,24,38,27,46.1,77,24,53,258.89,16.090059042775447
NUPL2,35,8556,1897,174,264,32,54,103,191,248,1155.4,8556,32,8524,6366798.440000001,2523.2515609823768
KIF5A,36,8996,8899,8202,8272,8679,8960,9181,600,9002,7082.7,9181,36,9145,11546731.41,3398.048176527225
ARPC4,37,27,36,37,110,26,46,52,33,30,43.4,110,26,84,551.24,23.478500803926984
PAK1,38,47,23,50,49,46,64,106,20,210,65.3,210,20,190,2839.0099999999998,53.28236105879693
SHC1,39,14,158,15,227,60,74,93,64,40,78.4,227,14,213,4039.04,63.553442078301316
PIK3R1,40,35,44,337,36,9,19,8,9,9042,957.9,9042,8,9034,7270225.290000001,2696.335529936881
PAFAH1B1,41,36,796,86,37,9147,641,8577,9183,84,2862.8,9183,36,9147,16066708.36,4008.329871654777
UBE2V2,42,90,58,138,119,43,50,83,97,121,84.1,138,42,96,1099.29,33.155542523083525
MTMR14,43,72,78,61,55,223,53,130,188,126,102.9,223,43,180,3463.69,58.85312226211962
RANBP2,44,9047,9110,390,39,38,107,8619,103,58,2755.5,9110,38,9072,16338209.05,4042.0550528165745
ZBTB16,45,33,89,119,8535,48,65,25,138,233,933.0,8535,25,8510,6424701.8,2534.6995482699717
STAM2,46,23,8887,163,232,289,8863,15,36,9064,2761.8,9064,15,9049,16358032.16,4044.506417351813
AP2M1,47,58,132,77,50,104,27,17,90,28,63.0,132,17,115,1245.4,35.2902252755632
SMURF2,48,182,494,235,157,612,1497,135,9003,79,1244.2,9003,48,8955,6857302.960000001,2618.6452527977135
DNM1,49,8739,8876,9098,9158,232,244,9115,114,9136,5476.1,9158,49,9109,18859783.09,4342.785176588867
TANK,50,224,77,121,29,107,122,245,60,35,107.0,245,29,216,5078.0,71.26008700527947
TNFAIP6,51,162,197,284,64,42,45,56,29,21,95.1,284,21,263,7017.289999999999,83.76926644062247
BRAF,52,48,139,66,184,89,29,53,120,319,109.9,319,29,290,6949.289999999999,83.36240159688299
