element,coef
R-HSA-212436,26.00171661376953
R-HSA-5688426,10.176586151123047
R-HSA-6798695,8.74399471282959
R-HSA-1257604,6.313100814819336
R-HSA-2990846,5.963793754577637
R-HSA-3371497,2.68912410736084
R-HSA-195258,2.511585235595703
R-HSA-388396,2.5064477920532227
R-HSA-76005,2.376157283782959
R-HSA-6809371,2.055013656616211
R-HSA-983169,2.028794765472412
R-HSA-5173105,1.758309245109558
R-HSA-3214847,1.5404343605041504
R-HSA-5621481,1.380932092666626
R-HSA-194840,1.2902435064315796
R-HSA-2559583,1.1281577348709106
R-HSA-6807505,1.0161480903625488
R-HSA-381426,0.8864247798919678
R-HSA-3906995,0.8388049006462097
R-HSA-2132295,0.6843823194503784
R-HSA-3214841,0.6701101064682007
R-HSA-8856828,0.6237097382545471
R-HSA-1222556,0.46115729212760925
R-HSA-166658,0.4197292923927307
R-HSA-199977,0.4138546288013458
R-HSA-8957275,0.396509051322937
R-HSA-193704,0.3082291781902313
R-HSA-74752,0.2692464292049408
R-HSA-977225,0.2474461793899536
R-HSA-1483257,0.24078309535980225
R-HSA-1632852,0.23123174905776978
R-HSA-109606,0.22823388874530792
R-HSA-428157,0.22723042964935303
R-HSA-6811442,0.22275860607624054
R-HSA-68886,0.2107892483472824
R-HSA-1855204,0.1897100806236267
R-HSA-5368287,0.1745976209640503
R-HSA-917977,0.16920745372772217
R-HSA-264876,0.14154598116874695
R-HSA-500792,0.1377403289079666
R-HSA-453274,0.1345311850309372
R-HSA-388844,0.10471908003091812
R-HSA-3214815,0.10383004695177078
R-HSA-449147,0.10307471454143524
R-HSA-1630316,0.09548043459653854
R-HSA-163841,0.09532058238983154
R-HSA-201681,0.08044254779815674
R-HSA-3214858,0.07905778288841248
R-HSA-2029480,0.07525327056646347
R-HSA-3858494,0.06872301548719406
R-HSA-8957322,0.06587903946638107
R-HSA-4791275,0.05240738391876221
R-HSA-2672351,0.05073253810405731
R-HSA-168898,0.04641972854733467
R-HSA-212300,0.035899970680475235
R-HSA-1912422,0.03509311005473137
R-HSA-8851680,0.034056056290864944
R-HSA-168928,0.03390363231301308
R-HSA-163359,0.01990978606045246
R-HSA-422356,0.01957283727824688
R-HSA-5223345,0.018973458558321
R-HSA-381340,0.018508050590753555
R-HSA-75157,0.01792745105922222
R-HSA-774815,0.014547958970069885
R-HSA-8939211,0.014100593514740467
R-HSA-373755,0.01348388846963644
R-HSA-6806667,0.012346802279353142
R-HSA-453279,0.012239465489983559
R-HSA-156580,0.01210006047040224
R-HSA-674695,0.00954657606780529
R-HSA-912446,0.008954009972512722
R-HSA-75893,0.008135822601616383
R-HSA-211945,0.0074159130454063416
R-HSA-5250913,0.0071109686978161335
R-HSA-2219528,0.006493078079074621
R-HSA-3000497,0.006200137082487345
R-HSA-216083,0.005933825857937336
R-HSA-1855183,0.004632740281522274
R-HSA-5693606,0.004499028902500868
R-HSA-195253,0.0031437361612915993
R-HSA-429958,0.003085856791585684
R-HSA-2644603,0.0027922121807932854
R-HSA-8852135,0.0026222020387649536
R-HSA-2022377,0.0023970715701580048
R-HSA-157579,0.0022368570789694786
R-HSA-69481,0.001903716241940856
R-HSA-194138,0.001883939141407609
R-HSA-388841,0.0015363581478595734
R-HSA-983189,0.0013318549608811736
R-HSA-1236394,0.0013236720114946365
R-HSA-1980143,0.0012332285987213254
R-HSA-936837,0.0010037380270659924
R-HSA-75955,0.0009440170251764357
R-HSA-429947,0.000934245646931231
R-HSA-3000178,0.0009234996978193521
R-HSA-379724,0.0009016877156682312
R-HSA-75158,0.0008297549793496728
R-HSA-5693538,0.0008107188623398542
R-HSA-72613,0.0008015492931008339
R-HSA-5619102,0.0007170634926296771
R-HSA-3000157,0.0006322374101728201
R-HSA-5578775,0.0005919069517403841
R-HSA-425366,0.0005598231218755245
R-HSA-5358565,0.0005474853096529841
R-HSA-9012852,0.0005154241807758808
R-HSA-3560782,0.0004969353321939707
R-HSA-351202,0.0004382141923997551
R-HSA-1227986,0.0003978863242082298
R-HSA-71406,0.00039190863026306033
R-HSA-390466,0.0003500636375974864
R-HSA-5250941,0.0003497673023957759
R-HSA-5693571,0.00033768065623007715
R-HSA-73777,0.00031949649564921856
R-HSA-201451,0.0002906530280597508
R-HSA-1442490,0.0002836986386682838
R-HSA-71737,0.0002199507289333269
R-HSA-6794361,0.00020672530808951706
R-HSA-499943,0.00019155007612425834
R-HSA-186797,0.00018679062486626208
R-HSA-190236,0.00016359839355573058
R-HSA-8963898,0.00015596354205626994
R-HSA-3299685,0.00014902747352607548
R-HSA-73980,0.000144321471452713
R-HSA-112310,0.00013647149899043143
R-HSA-1368082,0.00012801936827600002
R-HSA-432040,0.00012632603466045111
R-HSA-166520,0.00012550615065265447
R-HSA-73863,0.00010856382868951187
R-HSA-453276,0.00010825350909726694
R-HSA-1221632,0.00010468139225849882
R-HSA-2262749,0.00010184168058913201
R-HSA-2404192,0.00010128914436791092
R-HSA-392851,9.848758782027289e-05
R-HSA-5663084,7.400746108032763e-05
R-HSA-73779,7.200329127954319e-05
R-HSA-450408,6.758244126103818e-05
R-HSA-1226099,5.831218004459515e-05
R-HSA-202403,5.7065251894528046e-05
R-HSA-6802957,5.267758751870133e-05
R-HSA-69618,4.955390977556817e-05
R-HSA-5610787,4.3188498239032924e-05
R-HSA-3214842,3.777398887905292e-05
R-HSA-975956,3.130757249891758e-05
R-HSA-8853659,2.633566691656597e-05
R-HSA-8956321,2.5240793547709472e-05
R-HSA-73854,2.32399925153004e-05
R-HSA-189200,2.1774299966637045e-05
R-HSA-8978868,1.8976856154040433e-05
R-HSA-5387390,1.7063588529708795e-05
R-HSA-5619084,1.6276748283416964e-05
R-HSA-1834949,1.4388151612365618e-05
R-HSA-8963899,1.3001402294321451e-05
R-HSA-114604,1.2751760550600011e-05
R-HSA-5682910,1.2459990102797747e-05
R-HSA-8951664,1.0646931514202151e-05
R-HSA-917729,1.0379639206803404e-05
R-HSA-2168880,9.853153642325196e-06
R-HSA-6781827,9.787431736185681e-06
R-HSA-425393,9.671729458204936e-06
R-HSA-76046,8.719707693671808e-06
R-HSA-400508,8.278618224721868e-06
R-HSA-73943,7.976477718329988e-06
R-HSA-456926,6.804141776228789e-06
R-HSA-983705,5.380448328651255e-06
R-HSA-189451,5.222138042881852e-06
R-HSA-1296052,4.676523076341255e-06
R-HSA-196849,4.233392701280536e-06
R-HSA-77595,4.08466848966782e-06
R-HSA-5358606,3.5263883546576835e-06
R-HSA-749476,3.2778907552710734e-06
R-HSA-72172,3.099325340372161e-06
R-HSA-75205,2.2747442471882096e-06
R-HSA-2564830,2.1399423530965578e-06
R-HSA-2586552,2.1128148546267767e-06
R-HSA-450604,1.983470156119438e-06
R-HSA-73780,1.8459580815033405e-06
R-HSA-1170546,1.8266958932144917e-06
R-HSA-192456,1.3994514347359654e-06
R-HSA-8873719,1.2186916364953504e-06
R-HSA-162906,1.1317412145217531e-06
R-HSA-2172127,9.669844303061836e-07
R-HSA-418360,8.755783937886008e-07
R-HSA-1433617,8.730548870516941e-07
R-HSA-375170,8.4610218209491e-07
R-HSA-163767,7.254794809341547e-07
R-HSA-8934903,6.568980097654276e-07
R-HSA-8866376,6.437182378249418e-07
R-HSA-8949664,6.084248411752924e-07
R-HSA-5213460,4.4129615162091795e-07
R-HSA-168254,4.403788977924705e-07
R-HSA-3238698,3.8268080970738083e-07
R-HSA-72202,3.2859463772183517e-07
R-HSA-75892,2.8123369588684e-07
R-HSA-5579029,2.4088305394798226e-07
R-HSA-191859,2.1249528003863816e-07
R-HSA-203765,2.0233008513059758e-07
R-HSA-5602358,1.850977042749946e-07
R-HSA-203927,1.4544616533385124e-07
R-HSA-3000484,1.197625465465535e-07
R-HSA-1475029,1.0327309496460657e-07
R-HSA-72764,1.0154940355278086e-07
R-HSA-391160,8.989523792024556e-08
R-HSA-6783310,7.88698955034306e-08
R-HSA-5687128,6.867379909181182e-08
R-HSA-70326,6.72946285362741e-08
R-HSA-450520,6.052430023828492e-08
R-HSA-373752,4.11135268052476e-08
R-HSA-2408522,3.660340297528819e-08
R-HSA-1237044,3.5691652300329224e-08
R-HSA-5687613,3.216519672832874e-08
R-HSA-5358346,1.3370216933594747e-08
R-HSA-1643713,1.1079354322873769e-08
R-HSA-5545483,1.0168283104405873e-08
R-HSA-76009,6.961632159629971e-09
R-HSA-140875,6.0167599791327575e-09
R-HSA-114508,5.126822077983206e-09
R-HSA-5205685,4.950949872295496e-09
R-HSA-2978092,4.099702355375712e-09
R-HSA-112313,3.0790296978722154e-09
R-HSA-163282,2.866539894341713e-09
R-HSA-5576890,2.5294473182668753e-09
R-HSA-1247673,1.5936569841557002e-09
R-HSA-210993,1.3494251271950475e-09
R-HSA-2892245,7.664550105701551e-10
