element,coef
TP53_mut_important,16.01642608642578
PTEN_cnv_del,2.7374765872955322
PTEN_mut_important,1.546977162361145
MUC16_mut_important,1.1740763187408447
RB1_cnv_del,0.9554207921028137
GOLGA7_cnv_amp,0.7602174282073975
AR_cnv_amp,0.716916024684906
PTPRC_mut_important,0.6279130578041077
AR_mut_important,0.5525183081626892
ITGAM_mut_important,0.5308771729469299
UBE2W_cnv_amp,0.5082957744598389
HIST1H2AB_cnv_del,0.47407639026641846
FAM49B_cnv_amp,0.4501959979534149
RUVBL1_cnv_amp,0.444321870803833
OBSCN_mut_important,0.4433896839618683
COX6C_cnv_amp,0.43746238946914673
TP53_cnv_del,0.42480722069740295
LIPJ_cnv_del,0.42192330956459045
B2M_cnv_del,0.41888701915740967
ALB_cnv_amp,0.4149158000946045
VGF_cnv_amp,0.41299840807914734
TP53INP1_cnv_amp,0.4065699577331543
ITSN1_mut_important,0.38729092478752136
MDM2_cnv_amp,0.38117891550064087
GYG1_cnv_amp,0.37433868646621704
PTPRN2_cnv_amp,0.37258052825927734
YEATS2_cnv_amp,0.3718893527984619
COPB2_cnv_amp,0.37002092599868774
PLD1_cnv_amp,0.360377699136734
EZH2_cnv_amp,0.35658568143844604
MUC4_cnv_amp,0.3553531765937805
GLI3_mut_important,0.3548913300037384
NR1H3_cnv_amp,0.34207963943481445
KMT2D_mut_important,0.34121841192245483
BRPF1_mut_important,0.3409368693828583
ZNF521_mut_important,0.32165437936782837
ABCA13_mut_important,0.31573593616485596
NFKB1_mut_important,0.31430500745773315
ARHGEF10_cnv_del,0.3016694486141205
CDKN2A_cnv_del,0.3015396296977997
ATP6V0E2_cnv_amp,0.2972206771373749
CD55_cnv_amp,0.2942425310611725
RB1_mut_important,0.29413390159606934
MUC5B_mut_important,0.2909349203109741
PIP4K2A_mut_important,0.28436222672462463
AP2M1_cnv_amp,0.27806755900382996
ALAD_cnv_amp,0.2751561403274536
S100A11_cnv_amp,0.27483654022216797
HIST1H2AC_cnv_del,0.2705268859863281
TICAM2_cnv_amp,0.26899898052215576
STIP1_cnv_amp,0.26419371366500854
NR2F1_cnv_del,0.2632512152194977
LIMK1_cnv_amp,0.2583733797073364
VPS72_cnv_amp,0.2541767954826355
TP53BP2_mut_important,0.2530864179134369
PDAP1_cnv_amp,0.25200071930885315
RAD17_cnv_del,0.24910734593868256
DNAJC13_cnv_amp,0.2478465586900711
ANK1_cnv_amp,0.245370551943779
RORC_cnv_amp,0.24408547580242157
ATP11B_mut_important,0.24282565712928772
MTOR_mut_important,0.24191230535507202
SEC24C_cnv_amp,0.23166565597057343
MGAM_mut_important,0.23068460822105408
CTSB_cnv_amp,0.2271123230457306
SERPINA3_mut_important,0.22527927160263062
SDCBP_cnv_amp,0.22423714399337769
PJA2_cnv_del,0.22249063849449158
BRPF1_cnv_amp,0.21617980301380157
ARSB_mut_important,0.21093478798866272
ELL2_cnv_del,0.20776879787445068
HIPK2_cnv_amp,0.20410051941871643
TIAM1_mut_important,0.19908477365970612
VCL_cnv_amp,0.1936294436454773
RPRD2_cnv_amp,0.18754369020462036
TFDP2_cnv_amp,0.1860845535993576
KIF4B_mut_important,0.18485106527805328
MUC4_mut_important,0.18007078766822815
ZBTB16_cnv_del,0.17777813971042633
PSAP_cnv_amp,0.17671085894107819
NR3C1_cnv_amp,0.17476145923137665
JMY_cnv_del,0.1732095628976822
KLK13_mut_important,0.1719416230916977
WWTR1_mut_important,0.1691441684961319
CDK5_cnv_del,0.16659410297870636
PIK3R4_cnv_amp,0.16641855239868164
KIF5A_mut_important,0.1659460812807083
PSMD2_cnv_amp,0.16514331102371216
IGF2R_cnv_del,0.16457755863666534
LRP2_mut_important,0.1633831113576889
SEC16A_mut_important,0.1632082760334015
SMAD4_cnv_del,0.15999892354011536
SIAH2_cnv_amp,0.15980184078216553
AHSG_mut_important,0.1580362170934677
KAT6B_cnv_amp,0.1578909456729889
SPTBN2_mut_important,0.15694834291934967
ARSB_cnv_del,0.15465673804283142
MYH14_mut_important,0.1527283936738968
STARD8_mut_important,0.1519327312707901
ARHGAP39_cnv_del,0.1503334492444992
MDM4_cnv_amp,0.14786072075366974
BNIP3L_cnv_del,0.14721892774105072
LHFPL2_cnv_del,0.1465398371219635
CDC37L1_cnv_del,0.1458991914987564
CAPN1_mut_important,0.1443147510290146
STBD1_cnv_amp,0.1437404304742813
NR6A1_mut_important,0.14247630536556244
COMMD3_cnv_del,0.14055569469928741
DCTN4_cnv_amp,0.13871632516384125
CTSK_cnv_amp,0.13772758841514587
CHGB_mut_important,0.1375756859779358
PLG_cnv_amp,0.13457521796226501
ATM_cnv_del,0.13346606492996216
OR4F21_cnv_amp,0.12697988748550415
ATP11B_cnv_amp,0.12525688111782074
GATAD2A_mut_important,0.12497513741254807
SPINK5_cnv_amp,0.12402760237455368
LIPM_cnv_del,0.12386475503444672
MGA_mut_important,0.12281794100999832
SEC24B_cnv_amp,0.12238644808530807
PKP1_cnv_amp,0.12227441370487213
MLH1_mut_important,0.12197105586528778
FOXL2_cnv_amp,0.12176594138145447
GGH_cnv_amp,0.12169776856899261
TADA3_mut_important,0.12107986956834793
SCAMP1_cnv_del,0.1207197904586792
NCOR2_mut_important,0.12065945565700531
NCOA1_mut_important,0.120594322681427
INTS1_cnv_amp,0.12045589089393616
AFP_cnv_amp,0.11933716386556625
SPTAN1_mut_important,0.11864279955625534
ATP6V1A_cnv_amp,0.11846408247947693
ARHGEF10_cnv_amp,0.11828840523958206
LAMC1_mut_important,0.11710391938686371
NR6A1_cnv_amp,0.11708085983991623
STIP1_cnv_del,0.11656699329614639
CFHR5_mut_important,0.11628928780555725
USP7_mut_important,0.11430361866950989
VNN1_cnv_amp,0.11084813624620438
USP28_cnv_del,0.10948725789785385
ARHGEF17_cnv_amp,0.10942216962575912
SELP_cnv_amp,0.10736916214227676
ARHGEF11_cnv_amp,0.10595434904098511
TRRAP_cnv_amp,0.1058754175901413
ARHGEF10_mut_important,0.10168887674808502
SESN1_cnv_del,0.10040079802274704
HLA-C_mut_important,0.09932833909988403
TP63_mut_important,0.09916684776544571
AKT1_mut_important,0.09801116585731506
OR8I2_mut_important,0.09777634590864182
SPINK5_mut_important,0.09741390496492386
ARSK_cnv_del,0.09737026691436768
UNC13D_mut_important,0.09691004455089569
RB1CC1_cnv_amp,0.09666763246059418
SETDB1_cnv_amp,0.09650088101625443
LCE2C_mut_important,0.09570283442735672
TSC2_mut_important,0.09528703987598419
EPC1_cnv_del,0.09517546743154526
APC_cnv_del,0.09474515169858932
NCOA2_cnv_amp,0.09414045512676239
ATP6V1A_cnv_del,0.09402422606945038
APC_mut_important,0.09298790991306305
SLC38A9_cnv_del,0.0928652212023735
AGA_cnv_del,0.09235315024852753
PSAP_cnv_del,0.09095954895019531
TMED9_cnv_amp,0.09076609462499619
TRIM41_cnv_amp,0.09066936373710632
USO1_cnv_amp,0.09060189872980118
INTS7_mut_important,0.08948000520467758
FBXL18_mut_important,0.08947006613016129
PPP6R3_cnv_amp,0.08875655382871628
TOLLIP_cnv_amp,0.08858269453048706
SPP2_cnv_del,0.08851192146539688
FN1_mut_important,0.08842074126005173
DAXX_cnv_del,0.08805134147405624
OR12D3_cnv_amp,0.08787210285663605
EPC1_mut_important,0.08755048364400864
TADA3_cnv_amp,0.08602975308895111
PIP5K1A_cnv_amp,0.08591655641794205
CHRNB4_mut_important,0.08564449846744537
HIPK1_mut_important,0.08443034440279007
DCTN6_mut_important,0.08345210552215576
HIPK2_mut_important,0.08324472606182098
ANAPC4_cnv_del,0.08287326246500015
VDAC3_cnv_amp,0.08266058564186096
NBEAL2_mut_important,0.08260501176118851
RPRD2_mut_important,0.08204778283834457
OR7D4_mut_important,0.08201680332422256
PPP6C_cnv_amp,0.08156254887580872
ALOX5_cnv_del,0.08136851340532303
KIF13B_cnv_amp,0.07868731021881104
PPL_mut_important,0.07843971252441406
NUP98_mut_important,0.07830052822828293
TNKS_cnv_amp,0.07814520597457886
PIK3R2_mut_important,0.07746118307113647
VCPIP1_cnv_amp,0.07694151997566223
CNOT7_cnv_amp,0.07689876854419708
HIST1H2BJ_cnv_del,0.07684008777141571
TNRC6B_mut_important,0.07654793560504913
PCYOX1L_cnv_amp,0.07636048644781113
OR14J1_cnv_amp,0.07614991813898087
HSP90AB1_mut_important,0.07583080977201462
EED_cnv_amp,0.07492464780807495
PREX2_cnv_amp,0.07477772235870361
TADA2B_mut_important,0.0740886703133583
PLEKHG5_cnv_amp,0.07393239438533783
HSPA5_cnv_del,0.0734911784529686
ALDOC_mut_important,0.07311109453439713
CD44_cnv_amp,0.07306016981601715
ARAP3_mut_important,0.0729750320315361
INTS12_cnv_amp,0.07279480248689651
TBP_cnv_amp,0.07242275029420853
CDK9_cnv_amp,0.07233435660600662
DENND4B_mut_important,0.07215377688407898
GLI2_cnv_del,0.07201535254716873
RAD17_cnv_amp,0.07191038876771927
