element,coef
R-HSA-3371497,17.16153907775879
R-HSA-5625740,15.250082969665527
R-HSA-3108232,14.706265449523926
R-HSA-983168,12.964605331420898
R-HSA-8878166,12.373002052307129
R-HSA-5689880,12.096625328063965
R-HSA-6798695,11.205646514892578
R-HSA-6807070,10.561813354492188
R-HSA-3700989,9.151704788208008
R-HSA-383280,9.125897407531738
R-HSA-6809371,8.97481918334961
R-HSA-194840,7.230404376983643
R-HSA-8856825,6.675009250640869
R-HSA-8951664,6.137022495269775
R-HSA-202424,5.964291095733643
R-HSA-8856688,4.671264171600342
R-HSA-2132295,4.670533657073975
R-HSA-5617472,4.555367946624756
R-HSA-162587,4.345914363861084
R-HSA-418555,4.304634094238281
R-HSA-416482,4.297102451324463
R-HSA-6785807,4.132049560546875
R-HSA-2559580,3.9917688369750977
R-HSA-1483255,3.732419013977051
R-HSA-199418,3.6997931003570557
R-HSA-8878171,3.4585888385772705
R-HSA-6807505,3.3481340408325195
R-HSA-2559585,3.217965841293335
R-HSA-3214847,3.079957962036133
R-HSA-69275,2.8856143951416016
R-HSA-1855204,2.835710048675537
R-HSA-5689896,2.7854418754577637
R-HSA-162909,2.7318191528320312
R-HSA-2644602,2.5335896015167236
R-HSA-2894858,2.3505399227142334
R-HSA-9018519,2.223459482192993
R-HSA-2559582,2.1000759601593018
R-HSA-5621480,2.093583583831787
R-HSA-5663220,2.0868520736694336
R-HSA-3214841,2.0157740116119385
R-HSA-6807878,1.906481146812439
R-HSA-913709,1.9055838584899902
R-HSA-72737,1.8603309392929077
R-HSA-68875,1.8410431146621704
R-HSA-2219530,1.8159745931625366
R-HSA-8878159,1.7933796644210815
R-HSA-114608,1.763845443725586
R-HSA-4086398,1.7252349853515625
R-HSA-69236,1.5739037990570068
R-HSA-373080,1.3859938383102417
R-HSA-1168372,1.3324154615402222
R-HSA-418594,1.3047024011611938
R-HSA-2555396,1.2055836915969849
R-HSA-74751,1.1417819261550903
R-HSA-68877,1.1256511211395264
R-HSA-174143,1.0754787921905518
R-HSA-373076,1.038594365119934
R-HSA-4839744,1.0177160501480103
R-HSA-5419276,1.0090103149414062
R-HSA-5083636,0.9812716841697693
R-HSA-186763,0.9728250503540039
R-HSA-114452,0.9553921222686768
R-HSA-76066,0.8880671262741089
R-HSA-8953750,0.8850045800209045
R-HSA-350054,0.8649511337280273
R-HSA-76061,0.8646109700202942
R-HSA-5368286,0.8607220649719238
R-HSA-5389840,0.8311842083930969
R-HSA-5083632,0.7882787585258484
R-HSA-2173793,0.7830395698547363
R-HSA-5340588,0.7787301540374756
R-HSA-3769402,0.7443264722824097
R-HSA-5625970,0.7171198725700378
R-HSA-983170,0.7140611410140991
R-HSA-1445148,0.6569719910621643
R-HSA-166016,0.640333354473114
R-HSA-3214815,0.6261588931083679
R-HSA-4839743,0.6237881779670715
R-HSA-5083625,0.6217430233955383
R-HSA-156827,0.6123309135437012
R-HSA-5654738,0.6114357113838196
R-HSA-674695,0.607886016368866
R-HSA-3371453,0.551642119884491
R-HSA-69206,0.5146862864494324
R-HSA-4839735,0.5119725465774536
R-HSA-451927,0.5040732622146606
R-HSA-73980,0.4977611005306244
R-HSA-1169410,0.47959110140800476
R-HSA-446652,0.46940305829048157
R-HSA-416476,0.4534784257411957
R-HSA-397795,0.42444518208503723
R-HSA-4641262,0.41805362701416016
R-HSA-5627123,0.41206252574920654
R-HSA-204998,0.40760043263435364
R-HSA-5339716,0.3994893431663513
R-HSA-933541,0.3937870264053345
R-HSA-76071,0.39080458879470825
R-HSA-512988,0.3716566562652588
R-HSA-5654743,0.3707961142063141
R-HSA-77387,0.3627580404281616
R-HSA-5637815,0.3613358736038208
R-HSA-936440,0.35648295283317566
R-HSA-1912408,0.34695905447006226
R-HSA-5627117,0.3356107473373413
R-HSA-4839748,0.3348977565765381
R-HSA-5694530,0.3339223563671112
R-HSA-447115,0.32890379428863525
R-HSA-918233,0.3243890702724457
R-HSA-5654741,0.29413533210754395
R-HSA-6811438,0.29232218861579895
R-HSA-5637812,0.28012874722480774
R-HSA-187037,0.27199631929397583
R-HSA-1234174,0.271207720041275
R-HSA-168164,0.2613961100578308
R-HSA-381676,0.2612149119377136
R-HSA-6811440,0.2599460482597351
R-HSA-8864260,0.25932711362838745
R-HSA-264876,0.25681552290916443
R-HSA-5654736,0.2546634376049042
R-HSA-448424,0.2522867023944855
R-HSA-1660662,0.2458972930908203
R-HSA-390471,0.24091102182865143
R-HSA-5578749,0.2121729850769043
R-HSA-449836,0.2111886441707611
R-HSA-419037,0.21108107268810272
R-HSA-4641263,0.20806172490119934
R-HSA-983695,0.20128807425498962
R-HSA-5689603,0.19088798761367798
R-HSA-69580,0.19002068042755127
R-HSA-3772470,0.18855352699756622
R-HSA-4086400,0.18506288528442383
R-HSA-5668599,0.17950387299060822
R-HSA-168181,0.1691741943359375
R-HSA-2660825,0.1652470827102661
R-HSA-109688,0.1625990867614746
R-HSA-2122947,0.1564919799566269
R-HSA-421837,0.15610717236995697
R-HSA-73776,0.15549704432487488
R-HSA-6783589,0.15431760251522064
R-HSA-5674400,0.15290851891040802
R-HSA-168253,0.14931371808052063
R-HSA-5250924,0.14528359472751617
R-HSA-5173214,0.1446782797574997
R-HSA-917729,0.1445281058549881
R-HSA-1236975,0.13572750985622406
R-HSA-392851,0.13489679992198944
R-HSA-168138,0.11814934015274048
R-HSA-2022377,0.10644325613975525
R-HSA-977606,0.10433729737997055
R-HSA-2691230,0.10404156148433685
R-HSA-418597,0.10393203049898148
R-HSA-75953,0.10053744912147522
R-HSA-198323,0.09831862151622772
R-HSA-5625900,0.09274923801422119
R-HSA-73780,0.0899590477347374
R-HSA-4641258,0.08553803712129593
R-HSA-427413,0.0791160836815834
R-HSA-2122948,0.07707718014717102
R-HSA-442755,0.07439366728067398
R-HSA-4641257,0.0709308385848999
R-HSA-2979096,0.06117844581604004
R-HSA-975957,0.05965906009078026
R-HSA-3304349,0.05916937068104744
R-HSA-5655253,0.05870635807514191
R-HSA-427359,0.05508142337203026
R-HSA-427389,0.05237745866179466
R-HSA-933543,0.05183309316635132
R-HSA-202433,0.050611648708581924
R-HSA-73762,0.04660769924521446
