element,coef
TP53_mut_important,15.191763877868652
PTEN_cnv_del,2.793379068374634
MUC16_mut_important,1.9051618576049805
PTEN_mut_important,1.2436323165893555
AR_cnv_amp,1.002177119255066
RB1_cnv_del,0.7796006202697754
AR_mut_important,0.7775540947914124
KIF2B_mut_important,0.7094560861587524
KMT2D_mut_important,0.6762323379516602
HIST1H2BD_cnv_del,0.6535953283309937
ITGAM_mut_important,0.6463695168495178
MUC5B_mut_important,0.5044768452644348
FAM49B_cnv_amp,0.4963843524456024
OBSCN_mut_important,0.48829105496406555
NCOA2_cnv_amp,0.48285970091819763
COPB2_cnv_amp,0.45994317531585693
TP53_cnv_del,0.4584239721298218
GOLGA7_cnv_amp,0.44707411527633667
MUC4_cnv_amp,0.44658926129341125
HIST1H2AC_cnv_del,0.440263956785202
RUVBL1_cnv_amp,0.4338342547416687
KIF5C_mut_important,0.4173460304737091
HIST1H2AB_cnv_del,0.40711647272109985
EZH2_cnv_amp,0.39556658267974854
LIMK1_cnv_amp,0.3918677568435669
KIF4B_mut_important,0.38409915566444397
KIF5A_mut_important,0.3764186203479767
GYG1_cnv_amp,0.36558762192726135
S100A11_cnv_amp,0.36501145362854004
ZNF521_mut_important,0.3454509973526001
CTSK_cnv_amp,0.33231979608535767
ALB_cnv_amp,0.31800639629364014
ABCA13_mut_important,0.29307401180267334
SDCBP_cnv_amp,0.29156064987182617
AP2M1_cnv_amp,0.28995826840400696
RBBP5_cnv_amp,0.28823044896125793
PSAP_cnv_amp,0.2868838608264923
RB1_mut_important,0.28555384278297424
ITSN1_mut_important,0.2740478813648224
SMAD4_cnv_del,0.2737472355365753
B2M_cnv_del,0.26960206031799316
MDM4_cnv_amp,0.2686222195625305
VCL_cnv_amp,0.26556408405303955
GGH_cnv_amp,0.2464960515499115
COX6C_cnv_amp,0.24309198558330536
PKP1_cnv_amp,0.24071180820465088
VPS72_cnv_amp,0.23761756718158722
PCYOX1L_cnv_amp,0.23311609029769897
TCIRG1_cnv_amp,0.22392301261425018
ARID1B_mut_important,0.2191781848669052
CUX1_cnv_amp,0.20455341041088104
DNAJC13_cnv_amp,0.20368759334087372
CCND1_cnv_amp,0.20090855658054352
CAPN1_mut_important,0.20034737884998322
ALAD_cnv_amp,0.19806721806526184
PIK3R4_cnv_amp,0.19766253232955933
LHFPL2_cnv_del,0.19745774567127228
MRPL13_cnv_amp,0.19507916271686554
CLASP1_cnv_del,0.1911514699459076
ARSB_mut_important,0.18964409828186035
USP28_cnv_del,0.18840926885604858
SEC24C_cnv_amp,0.18664728105068207
MRPL3_cnv_amp,0.18607749044895172
MGA_mut_important,0.1847631335258484
KIFAP3_cnv_amp,0.18114283680915833
STBD1_cnv_amp,0.1805540770292282
CAPZB_cnv_del,0.17970667779445648
RB1CC1_cnv_amp,0.17512474954128265
SERPINA3_mut_important,0.17132185399532318
IGF2R_cnv_del,0.17108699679374695
ZBTB16_cnv_del,0.16981396079063416
VPS45_cnv_amp,0.16970112919807434
CLASP1_mut_important,0.16631025075912476
WDR5_cnv_del,0.16406983137130737
PTPRN2_cnv_amp,0.16389508545398712
KLHL20_mut_important,0.16165034472942352
RINT1_cnv_amp,0.15993231534957886
MKRN1_cnv_amp,0.15869009494781494
YEATS2_cnv_amp,0.15844249725341797
LRP2_mut_important,0.1573544144630432
COMMD3_cnv_del,0.1565036177635193
HIST1H2BJ_cnv_del,0.15582889318466187
MYH14_mut_important,0.1544828861951828
STIP1_cnv_amp,0.15387260913848877
BRPF1_mut_important,0.15333744883537292
TADA3_cnv_amp,0.1524062305688858
CD55_cnv_amp,0.1499527245759964
WWTR1_mut_important,0.14989982545375824
HIST1H2AH_cnv_del,0.14807946979999542
SPTBN2_mut_important,0.1463375687599182
CDKN2A_cnv_del,0.14620834589004517
PCYOX1L_mut_important,0.14447058737277985
TP53INP1_cnv_amp,0.1443827748298645
CHRNB4_mut_important,0.1434786468744278
STIP1_cnv_del,0.14302149415016174
ADAMTS12_mut_important,0.14281010627746582
HIST1H2AA_cnv_del,0.14121410250663757
SELP_cnv_amp,0.13622429966926575
HIPK2_cnv_amp,0.1337890625
VCL_mut_important,0.13376103341579437
HIST1H2BA_cnv_del,0.1323302686214447
USO1_cnv_amp,0.12826579809188843
CUL3_mut_important,0.1281101256608963
TMOD4_cnv_amp,0.12683190405368805
GATAD2A_mut_important,0.12672042846679688
MUC4_mut_important,0.12562237679958344
DCTN4_cnv_amp,0.12474499642848969
TIAM1_mut_important,0.12340051680803299
TADA3_mut_important,0.12322413176298141
TMED9_cnv_amp,0.12231951951980591
TUBB8_cnv_amp,0.12199480086565018
ENPP4_cnv_amp,0.12108094990253448
NEB_mut_important,0.11807466298341751
ALDOC_mut_important,0.11744086444377899
NBEAL2_mut_important,0.11576991528272629
MRPS21_cnv_amp,0.11537937074899673
NR3C1_cnv_amp,0.1152358427643776
RUVBL1_mut_important,0.11457972973585129
TP53BP2_mut_important,0.11411502212285995
SIAH2_cnv_amp,0.11243809014558792
TRRAP_cnv_amp,0.11188426613807678
MAN1A2_cnv_amp,0.11181019246578217
DIAPH1_cnv_amp,0.11066706478595734
COMMD3_mut_important,0.11031433939933777
