element,coef
R-HSA-1474290,12.378296852111816
R-HSA-556833,4.720176696777344
R-HSA-2173782,4.316786289215088
R-HSA-9006925,3.1159255504608154
R-HSA-72203,1.9217759370803833
R-HSA-9006934,1.4336163997650146
R-HSA-71387,1.3869527578353882
R-HSA-1428517,1.2602479457855225
R-HSA-73887,1.2300759553909302
R-HSA-195721,0.8090702295303345
R-HSA-422475,0.8028905391693115
R-HSA-211000,0.7506536841392517
R-HSA-211859,0.6313763856887817
R-HSA-5663205,0.6288308501243591
R-HSA-391251,0.49568092823028564
R-HSA-5663202,0.4169612526893616
R-HSA-5423599,0.2988935112953186
R-HSA-977225,0.2954910695552826
R-HSA-390522,0.2917173504829407
R-HSA-2028269,0.2772959768772125
R-HSA-202733,0.25811368227005005
R-HSA-1566977,0.23502559959888458
R-HSA-72312,0.21285660564899445
R-HSA-1632852,0.20732668042182922
R-HSA-157118,0.20066741108894348
R-HSA-165159,0.18270713090896606
R-HSA-1368071,0.1415746659040451
R-HSA-75072,0.13854524493217468
R-HSA-140877,0.1280101239681244
R-HSA-1368108,0.11463919281959534
R-HSA-71291,0.11288384348154068
R-HSA-1566948,0.1098461002111435
R-HSA-109581,0.10683570057153702
R-HSA-1483249,0.10315140336751938
R-HSA-381426,0.09528520703315735
R-HSA-8941237,0.08398925513029099
R-HSA-452723,0.08111042529344559
R-HSA-8863678,0.07298819720745087
R-HSA-5218859,0.06799037009477615
R-HSA-1592230,0.06650788336992264
R-HSA-445717,0.056878406554460526
R-HSA-73884,0.05565252527594566
R-HSA-425407,0.05553515627980232
R-HSA-1187000,0.05255214869976044
R-HSA-5617833,0.0520605631172657
R-HSA-72306,0.050500936806201935
R-HSA-189445,0.038846421986818314
R-HSA-1368082,0.038422841578722
R-HSA-382556,0.035254962742328644
R-HSA-73893,0.03470505028963089
R-HSA-917937,0.034582220017910004
R-HSA-5660526,0.03281896561384201
R-HSA-5668914,0.03174325451254845
R-HSA-429914,0.029067356139421463
R-HSA-373753,0.02696019411087036
R-HSA-5693532,0.015540345571935177
R-HSA-418346,0.013585751876235008
R-HSA-9033241,0.01241325307637453
R-HSA-391160,0.010876906104385853
R-HSA-1296071,0.007821845822036266
R-HSA-5205685,0.0024573043920099735
R-HSA-69278,0.0003070441889576614
R-HSA-69620,-0.00010818961163749918
R-HSA-112307,-0.000996206421405077
R-HSA-73886,-0.0014089996693655849
R-HSA-112315,-0.00190696248319
R-HSA-68874,-0.003008027793839574
R-HSA-69239,-0.0032254336401820183
R-HSA-6783310,-0.0036963701713830233
R-HSA-8963676,-0.004201131407171488
R-HSA-73864,-0.006931243930011988
R-HSA-5223345,-0.007088738027960062
R-HSA-8934903,-0.007288018707185984
R-HSA-1474228,-0.007771975360810757
R-HSA-6794362,-0.00804815348237753
R-HSA-5619115,-0.008571942336857319
R-HSA-5676934,-0.00943141058087349
R-HSA-3000157,-0.009632869623601437
R-HSA-5696398,-0.011738711968064308
R-HSA-3000178,-0.011893030256032944
R-HSA-5682910,-0.013654569163918495
R-HSA-428359,-0.014475190080702305
R-HSA-75067,-0.015765314921736717
R-HSA-2161522,-0.018715711310505867
R-HSA-927802,-0.018883369863033295
R-HSA-8935690,-0.01988869532942772
R-HSA-1500620,-0.02008483000099659
R-HSA-9006931,-0.023639600723981857
R-HSA-194441,-0.024253061041235924
R-HSA-15869,-0.02588874287903309
R-HSA-5358508,-0.026869742199778557
R-HSA-72766,-0.02752646990120411
R-HSA-445355,-0.027793418616056442
R-HSA-75944,-0.027821244671940804
R-HSA-1480926,-0.032357700169086456
R-HSA-71737,-0.03439316898584366
R-HSA-446728,-0.03535714000463486
R-HSA-5358351,-0.03594784438610077
R-HSA-186712,-0.03833209350705147
R-HSA-174824,-0.038656312972307205
R-HSA-5619507,-0.03905247524380684
R-HSA-216083,-0.039870843291282654
R-HSA-75892,-0.04013675078749657
R-HSA-2586552,-0.04014359787106514
R-HSA-1475029,-0.0417342446744442
R-HSA-1181150,-0.04400036484003067
R-HSA-525793,-0.04544777050614357
R-HSA-75205,-0.04823431000113487
R-HSA-9006927,-0.049858443439006805
R-HSA-1362409,-0.050967082381248474
R-HSA-73942,-0.052421655505895615
R-HSA-8981607,-0.05365091934800148
R-HSA-72086,-0.057935021817684174
R-HSA-202131,-0.06380589306354523
R-HSA-983712,-0.0722460225224495
R-HSA-2564830,-0.07371532917022705
R-HSA-381119,-0.08151134103536606
R-HSA-74158,-0.08803847432136536
R-HSA-5260271,-0.0894821286201477
R-HSA-3000171,-0.0909283384680748
R-HSA-983231,-0.09165699779987335
R-HSA-9006936,-0.09846572577953339
R-HSA-8949215,-0.10705875605344772
R-HSA-1268020,-0.1324632316827774
R-HSA-5576891,-0.13513845205307007
R-HSA-5683826,-0.1581340730190277
R-HSA-9006921,-0.15899741649627686
R-HSA-450531,-0.16032035648822784
R-HSA-5683057,-0.2142665982246399
R-HSA-163685,-0.21739952266216278
R-HSA-76002,-0.5247410535812378
R-HSA-212165,-0.6072164177894592
R-HSA-381340,-0.6740967631340027
R-HSA-1280215,-0.7523391842842102
R-HSA-6805567,-0.8609002828598022
R-HSA-1280218,-0.8726316690444946
R-HSA-372790,-2.371920108795166
R-HSA-597592,-2.4377994537353516
R-HSA-199991,-2.6940979957580566
R-HSA-3247509,-3.396986484527588
R-HSA-3781865,-3.5945589542388916
R-HSA-2980736,-4.665013790130615
R-HSA-168249,-4.759283065795898
R-HSA-73857,-5.594335079193115
R-HSA-196854,-7.540319919586182
R-HSA-194315,-9.798422813415527
R-HSA-2262752,-15.57978630065918
