element,coef
TP53_mut_important,12.664610862731934
PTEN_cnv_del,2.274543285369873
RB1_cnv_del,1.6249666213989258
MUC16_mut_important,1.0997381210327148
PTEN_mut_important,0.9389038681983948
NUP107_mut_important,0.8729932308197021
AR_mut_important,0.807488203048706
HIST1H2AB_cnv_del,0.754952609539032
AR_cnv_amp,0.6386187672615051
KMT2D_mut_important,0.5816329717636108
CUL3_mut_important,0.5723695755004883
RB1_mut_important,0.5653292536735535
OBSCN_mut_important,0.4388073682785034
ITSN1_mut_important,0.4202233552932739
CENPQ_cnv_amp,0.41196271777153015
CUL1_cnv_amp,0.40969792008399963
KLHL20_mut_important,0.4062197506427765
NCOA2_cnv_amp,0.3950995206832886
ZNF521_mut_important,0.38162457942962646
CDKN2A_cnv_del,0.37152764201164246
UBE2W_cnv_amp,0.36910757422447205
B2M_cnv_del,0.3472597002983093
ITGAM_mut_important,0.34596550464630127
FBXO32_cnv_amp,0.33025023341178894
EZH2_cnv_amp,0.3249414265155792
PSMD2_cnv_amp,0.310237318277359
KIF2B_mut_important,0.3032478392124176
PIK3CA_cnv_amp,0.28902769088745117
SDCBP_cnv_amp,0.2824552357196808
NCOR2_mut_important,0.27712056040763855
CEP70_cnv_amp,0.2693699598312378
MUC5B_mut_important,0.2676515579223633
PIP5K1A_cnv_amp,0.25884106755256653
PABPC1_cnv_amp,0.2570454180240631
ZBTB16_cnv_del,0.25658905506134033
HIST1H2BJ_cnv_del,0.25202277302742004
PTPN11_cnv_amp,0.24896761775016785
PIK3CB_cnv_amp,0.24189001321792603
MUC4_cnv_amp,0.24049994349479675
APC_cnv_del,0.24027588963508606
CTSK_cnv_amp,0.23675906658172607
HIST1H2BM_cnv_del,0.23395328223705292
AP2M1_cnv_amp,0.23121924698352814
HIST1H2AC_cnv_del,0.22667941451072693
PPP2R2A_cnv_del,0.222232386469841
ABCA13_mut_important,0.22004126012325287
RBBP5_cnv_amp,0.21212376654148102
FGF20_cnv_amp,0.20811142027378082
ARHGEF10_cnv_amp,0.20650924742221832
COMMD3_cnv_del,0.19807520508766174
NUP214_mut_important,0.19556152820587158
TPR_mut_important,0.19349238276481628
HIST1H2BA_cnv_del,0.19271191954612732
CDK6_mut_important,0.19053684175014496
GTF2F1_mut_important,0.1895134449005127
EIF4G1_cnv_amp,0.18736431002616882
GYG1_cnv_amp,0.18225626647472382
PREX2_cnv_amp,0.18207745254039764
BRPF1_mut_important,0.18189488351345062
CLASP1_cnv_del,0.17995555698871613
TIAM1_mut_important,0.17961236834526062
PIK3CA_mut_important,0.17511588335037231
TBP_cnv_amp,0.17330755293369293
MKRN1_cnv_amp,0.17234529554843903
ANAPC16_cnv_amp,0.171787828207016
DCTN3_cnv_amp,0.1689002811908722
GOLGA7_cnv_amp,0.16480287909507751
NCAPG2_cnv_amp,0.16423854231834412
FZD6_cnv_amp,0.16374215483665466
TP53INP1_cnv_amp,0.16309060156345367
RAC1_cnv_amp,0.16262368857860565
MDM2_cnv_amp,0.1623189002275467
RUVBL1_cnv_amp,0.1620492786169052
MDM4_cnv_amp,0.16193242371082306
SIAH2_cnv_amp,0.15196509659290314
NCBP2_cnv_amp,0.14956611394882202
TAF6_cnv_amp,0.14911895990371704
PPP2R5B_mut_important,0.14850817620754242
POLR2C_mut_important,0.1469072550535202
GATA2_cnv_amp,0.14264310896396637
ANAPC4_cnv_del,0.14132694900035858
ATM_cnv_del,0.13891269266605377
PIK3R2_mut_important,0.1384347826242447
RPL7_cnv_amp,0.13629141449928284
TFDP2_cnv_amp,0.13489186763763428
TADA3_cnv_amp,0.134586364030838
STIP1_cnv_amp,0.13265129923820496
CDK4_cnv_amp,0.13181206583976746
