element,coef
R-HSA-1474244,7.48587703704834
R-HSA-1430728,2.775398015975952
R-HSA-1643685,2.5572166442871094
R-HSA-8953854,2.3327629566192627
R-HSA-1266738,2.057387590408325
R-HSA-73894,0.5003445148468018
R-HSA-109582,0.4252721667289734
R-HSA-69306,0.1765207052230835
R-HSA-397014,0.048731543123722076
R-HSA-1852241,-0.051936183124780655
R-HSA-400253,-0.07738146930932999
R-HSA-1500931,-0.10482976585626602
R-HSA-5205647,-0.13729391992092133
R-HSA-8963743,-0.18927225470542908
R-HSA-382551,-0.21340689063072205
R-HSA-112316,-0.2238789200782776
R-HSA-5357801,-0.2454533725976944
R-HSA-1474165,-0.37185046076774597
R-HSA-5653656,-3.758816719055176
R-HSA-4839726,-4.906031608581543
R-HSA-1640170,-6.772377014160156
R-HSA-162582,-6.916667938232422
R-HSA-392499,-7.021031379699707
R-HSA-74160,-8.289040565490723
R-HSA-168256,-8.736926078796387
R-HSA-8953897,-9.437494277954102
