element,coef
R-HSA-212436,2.2761141801546896
R-HSA-3214847,1.3320605685466798
R-HSA-6798695,1.2209678152789623
R-HSA-3214841,1.17411715321588
R-HSA-195258,1.1182365797207903
R-HSA-6806667,0.7511456768516509
R-HSA-8951664,0.7265601009906867
R-HSA-3000178,0.708150080085844
R-HSA-9007101,0.6987530690803843
R-HSA-381340,0.682581822211768
R-HSA-8957275,0.5713869685578944
R-HSA-76046,0.526801125057959
R-HSA-381426,0.5122158284717012
R-HSA-5368287,0.47315194093935586
R-HSA-168928,0.4479219562770996
R-HSA-983189,0.4055091825613093
R-HSA-2219528,0.3799293956230709
R-HSA-3000157,0.37662334966873917
R-HSA-193704,0.3222334305404874
R-HSA-3214858,0.31853311009906515
R-HSA-453274,0.26191191193061875
R-HSA-194138,0.2455391475587927
R-HSA-8868773,0.23797313305338944
R-HSA-198933,0.23336733617029662
R-HSA-170834,0.23191338450499888
R-HSA-1912422,0.23189332019607897
R-HSA-6794361,0.2318460771808799
R-HSA-74752,0.19856605476209485
R-HSA-112314,0.17571734927388788
R-HSA-5632684,0.1634912913576646
R-HSA-390522,0.15996437312504538
R-HSA-449147,0.14637167796058334
R-HSA-380972,0.14115813452841605
R-HSA-5693606,0.13176487460921266
R-HSA-373755,0.12821899743282908
R-HSA-5617472,0.12626208133139408
R-HSA-421270,0.1139203057396756
R-HSA-8939211,0.10776806661988358
R-HSA-5688426,0.0835381902366232
R-HSA-3000480,0.066713669379446
R-HSA-3858494,0.060946833450171344
R-HSA-3371556,0.04851355023330694
R-HSA-983705,0.047912135776712286
R-HSA-388844,0.04651347728999487
R-HSA-114604,0.042716892748300296
R-HSA-166520,0.04120798459634581
R-HSA-5693538,0.03548984043515502
R-HSA-264876,0.03301530252650147
R-HSA-425366,0.03293100285513864
R-HSA-400206,0.030415268916710005
R-HSA-162906,0.02826165900333412
R-HSA-186797,0.027923189572117094
R-HSA-749476,0.027688433414445913
R-HSA-168643,0.02730970167716719
R-HSA-8963898,0.023286354619774262
R-HSA-5334118,0.023247528671880686
R-HSA-392154,0.02161114542209441
R-HSA-195253,0.02112843265198497
R-HSA-2028269,0.020137048102367668
R-HSA-2644603,0.017706174464535863
R-HSA-429947,0.017529121049145828
R-HSA-5619102,0.014781967070566981
R-HSA-8956319,0.012443710298325673
R-HSA-1369062,0.010945945031002477
R-HSA-5693571,0.010934090509582628
R-HSA-77075,0.010858172548773902
R-HSA-392851,0.010577805450325004
R-HSA-190236,0.010345596643091468
R-HSA-1980145,0.010179311973975296
R-HSA-8852135,0.009890131277314225
R-HSA-2151201,0.008555787114549473
R-HSA-388841,0.008265444643553827
R-HSA-1236394,0.008174389104835422
R-HSA-156580,0.008039418185802404
R-HSA-5696399,0.00798175823174204
R-HSA-446353,0.007186644429590742
R-HSA-210991,0.007109485642257298
R-HSA-2559583,0.006422070510425993
R-HSA-5358606,0.006241769025502387
R-HSA-8849932,0.005776848576957529
R-HSA-209952,0.0048844701630243
R-HSA-69615,0.004717218067329738
R-HSA-456926,0.004494718203824215
R-HSA-5610787,0.00447476088774487
R-HSA-3214842,0.004188769233285943
R-HSA-1855204,0.003966343806266088
R-HSA-5620912,0.003840425011527076
R-HSA-72764,0.0036303190615875162
R-HSA-5601884,0.0032963613372843596
R-HSA-69242,0.003265854582593385
R-HSA-110313,0.0027633396295970044
R-HSA-168254,0.002582912404074332
R-HSA-69190,0.0020179576657515914
R-HSA-8957322,0.0017652728004252127
R-HSA-72086,0.0015729153858248426
R-HSA-9013694,0.0014748918637878005
R-HSA-2168880,0.0012846966600628196
R-HSA-5602358,0.0011468493293737105
R-HSA-432040,0.0010154615324903197
R-HSA-8981373,0.0009098163236032046
R-HSA-77595,0.000856802367196455
R-HSA-69618,0.000815343722187156
R-HSA-674695,0.0008132288468629321
R-HSA-2129379,0.0007498629984266567
R-HSA-1170546,0.0007108552804017517
R-HSA-2022377,0.0006800329001937081
R-HSA-400508,0.0006786950833222282
R-HSA-5213460,0.000509319680387563
R-HSA-169911,0.0005063278300109543
R-HSA-1855183,0.000503811080874963
R-HSA-5619084,0.0005025299945413505
R-HSA-351202,0.00044370724714660114
R-HSA-1296072,0.0004331401187531394
R-HSA-6788656,0.0004131975632292359
R-HSA-6802957,0.0003783242041226896
R-HSA-73777,0.0003688192971011456
R-HSA-5687128,0.0003383089611535986
R-HSA-6784531,0.0003382092624615757
R-HSA-73779,0.00031214360958128803
R-HSA-73854,0.00026361616748646187
R-HSA-5362517,0.000252544468015115
R-HSA-381070,0.00022555653279681567
R-HSA-499943,0.00021408073320677577
R-HSA-189451,0.00018353951937021202
R-HSA-373752,0.00017505741833538307
R-HSA-69052,0.00017370189998811318
R-HSA-8876384,0.0001263941740788912
R-HSA-163767,0.00010351381648522074
R-HSA-177929,0.00010035441598066113
R-HSA-2029480,9.983402987417213e-05
R-HSA-426496,7.212489700765087e-05
R-HSA-391160,6.991785955181621e-05
R-HSA-5663084,6.98391936173068e-05
R-HSA-2172127,5.047146101771083e-05
R-HSA-3560782,5.026553161196924e-05
R-HSA-1368071,4.4360458698728756e-05
R-HSA-2892245,3.6077204684845896e-05
R-HSA-69481,3.487528675954756e-05
R-HSA-110314,3.1913812949205096e-05
R-HSA-2404192,3.14480801031192e-05
R-HSA-112310,2.3606721249663276e-05
R-HSA-432142,2.087850264491435e-05
R-HSA-8956320,1.9849282677583356e-05
R-HSA-140837,1.6653277542219944e-05
R-HSA-71737,1.6252950758043525e-05
R-HSA-5609975,1.292325186709228e-05
R-HSA-9033500,1.2678111604305353e-05
R-HSA-70326,1.1600186959276783e-05
R-HSA-5339562,1.1423039049063618e-05
R-HSA-1643713,1.1175978097547978e-05
R-HSA-203927,8.898573052742688e-06
R-HSA-1855229,7.618306843369201e-06
R-HSA-111367,5.6273498425654865e-06
R-HSA-210990,5.5985593785554e-06
R-HSA-5660489,5.512359177208554e-06
R-HSA-5687613,5.2311304957421795e-06
R-HSA-8981607,5.193440180335262e-06
R-HSA-210744,5.0710522964605e-06
R-HSA-3000484,4.609201606420512e-06
R-HSA-72200,4.590611581772644e-06
R-HSA-114508,4.580588115359688e-06
R-HSA-432047,4.336347804590613e-06
R-HSA-1368082,4.316558763438392e-06
R-HSA-1368108,4.087460440981877e-06
R-HSA-5653890,4.078299791567169e-06
R-HSA-199992,4.026281005219524e-06
R-HSA-446107,3.988015194232741e-06
R-HSA-1296346,3.940070705297673e-06
R-HSA-8853659,3.928907970758562e-06
R-HSA-2474795,3.904894038916375e-06
R-HSA-2395516,3.903768815713964e-06
R-HSA-8949613,3.880502449538423e-06
R-HSA-5657655,3.759697703324056e-06
R-HSA-6782315,3.7499714703057426e-06
R-HSA-68952,3.6013706521631345e-06
R-HSA-71336,3.5888056180562143e-06
R-HSA-450408,3.399294141828785e-06
R-HSA-450385,3.3086402573483772e-06
R-HSA-8963678,3.25108284855003e-06
R-HSA-3000471,3.227205797072452e-06
R-HSA-5661231,3.225014159541584e-06
R-HSA-5576894,3.1565840332884964e-06
R-HSA-5576890,3.0857683610089075e-06
R-HSA-1300642,3.04588992509089e-06
R-HSA-450513,3.0308332825168583e-06
R-HSA-879415,2.990824025388362e-06
R-HSA-1855167,2.937502203422522e-06
R-HSA-8963899,2.9069046045129253e-06
R-HSA-2160456,2.899571356318747e-06
R-HSA-2564830,2.859794321542492e-06
R-HSA-1855191,2.8364622466626113e-06
R-HSA-8851680,2.759083752409714e-06
R-HSA-1855184,2.722487274833631e-06
R-HSA-5576886,2.7067410550791538e-06
R-HSA-1855156,2.702919883883877e-06
R-HSA-8934903,2.6372294555763464e-06
R-HSA-3296482,2.636744531176494e-06
R-HSA-1592389,2.4652422674565332e-06
R-HSA-77588,2.402728192074125e-06
R-HSA-163358,2.3846794167381656e-06
R-HSA-2672351,2.373197350540188e-06
R-HSA-75064,2.3425735921215494e-06
R-HSA-5205685,2.271698843779596e-06
R-HSA-5358346,2.26348014046217e-06
R-HSA-8852405,2.2389106299268105e-06
R-HSA-5579029,2.1107895392095018e-06
R-HSA-163680,2.1077838319603514e-06
R-HSA-426486,2.056295739651408e-06
R-HSA-9018678,1.9910596345214294e-06
R-HSA-1369007,1.981233844875857e-06
R-HSA-8868766,1.8815392412644863e-06
R-HSA-140834,1.8006168950076465e-06
R-HSA-5632927,1.6329996564494205e-06
R-HSA-5632928,1.5966122070834448e-06
R-HSA-1855170,1.5012290946316528e-06
R-HSA-140875,1.4664227688904955e-06
R-HSA-212300,1.4339765024615218e-06
R-HSA-5632987,1.3376099065739453e-06
R-HSA-422085,1.0319538379828909e-06
R-HSA-2022090,7.420604477666806e-07
R-HSA-381033,7.290759185457156e-07
R-HSA-428359,6.442619967919668e-07
R-HSA-5620920,3.814875671437691e-07
R-HSA-6783310,3.474823671606466e-07
R-HSA-8964572,2.2936967254777268e-07
R-HSA-163316,2.641714811993072e-09
R-HSA-389977,-3.680952070355845e-07
R-HSA-2161541,-8.144325911424461e-07
R-HSA-210747,-8.944962224390966e-07
R-HSA-1300644,-9.836695326048478e-07
R-HSA-75896,-1.0248926122436027e-06
R-HSA-73863,-1.0916514548352314e-06
R-HSA-5221030,-1.3158663572883046e-06
R-HSA-430116,-1.3319513745112925e-06
R-HSA-3000497,-1.3327969044366876e-06
R-HSA-5683826,-1.3954055968290557e-06
R-HSA-189483,-1.4629015258025852e-06
R-HSA-982772,-1.4835859328986078e-06
