element,coef
CENPQ,2.5469960428308696
CDK6,2.094464580062777
AR,2.075351927895099
STARD8,1.9774333301465958
CDKN1B,1.976588832680136
FAM171A1,1.9507031603716314
CR2,1.9336066842079163
COL11A1,1.9038971574045718
TCTE1,1.8440600270405412
MYH14,1.8137722974643111
PLG,1.8125055907294154
ABRA,1.7880084235221148
TOP2B,1.7795365424826741
MRPL3,1.7656547660008073
FAT3,1.763370890286751
PTGS1,1.7594678336754441
ATM,1.750625946559012
LIFR,1.7443169765174389
PIK3CA,1.7294613781850785
SPDYE5,1.722614562138915
COX17,1.7208281555213034
EVPL,1.716930401744321
DAXX,1.7110313572920859
HGS,1.7056763069704175
GTF2IRD2B,1.7006442372803576
LRRC8B,1.6757494937628508
LIAS,1.6733193881809711
DOCK3,1.6709923692978919
SPOCD1,1.6344305479215109
RHOT2,1.6315709678456187
HMGB3,1.631114382762462
ITGAM,1.6273395521566272
SETDB1,1.6258672992698848
RXFP2,1.6218660566955805
VPS37D,1.6162555677583441
TTC21A,1.6092752255499363
SORL1,1.5960458372719586
MCFD2,1.5882718504872173
ULK2,1.5869315890595317
GSK3B,1.5703903315588832
OGT,1.569139342289418
DDX4,1.5575487958267331
MUC16,1.544511996442452
CDH1,1.5413638631580397
RAB20,1.5259352472203318
GORASP1,1.5135021330788732
PAPPA2,1.51180165912956
KIT,1.5096325094345957
LARP4B,1.5084842887636114
RTF1,1.5034683486446738
CD55,1.4999024728313088
SMC5,1.4969103480689228
NRIP1,1.4944179579615593
ARHGEF38,1.48754798527807
OR12D3,1.4787188832415268
STEAP3,1.475140676368028
NUP188,1.4750232356600463
ING2,1.4740468366071582
LRP2,1.4696027869358659
MTSS1,1.4690071465447545
HNRNPU,1.4580075424164534
OR5J2,1.454265906009823
HIRA,1.4523124331608415
TM4SF18,1.4501552721485496
GABRB2,1.4383520890260115
CNOT10,1.4330849889665842
SERPINA3,1.4259959198534489
EIF3A,1.4253576954361051
CHD1,1.4182159691117704
GPATCH8,1.4166269097477198
DEPDC5,1.411675445502624
RAB3C,1.405540011357516
ZNF521,1.3972699416335672
OR52A1,1.3964504259638488
RUVBL1,1.392855974379927
LCE3C,1.3895706119947135
SRGAP3,1.3890681024640799
ARHGEF12,1.3883967369329184
ARHGEF10,1.3872512003872544
DPH2,1.3846202986314893
FIP1L1,1.383949895389378
TM4SF1,1.3806145598646253
ESYT2,1.3799550785915926
GTF2E1,1.3791768021183088
KIF2B,1.3782259718282148
ARHGAP25,1.3776871049776673
ATP6V1E2,1.377088158391416
PRKCE,1.3691693181172013
FOXA1,1.3633357472717762
HIPK1,1.3616726491600275
BCL6,1.3587667681276798
SAMM50,1.3569130711257458
COL5A3,1.355063311289996
SYNJ1,1.352308073779568
RAD18,1.352242907974869
STK11,1.3472473230212927
CUX1,1.3461833158507943
KRTAP13-3,1.343028381234035
LIPA,1.3406278039328754
PSG3,1.3376163721550256
USP6,1.336335090920329
SPDYE6,1.335023888386786
HIST1H2AA,1.3319615179207176
RAP1B,1.3299079425632954
CRYBG3,1.3237190863583237
CACNA1E,1.3226633078884333
FAM84B,1.322081858292222
PRKRIP1,1.3164800768718123
GNAS,1.3153373862151057
TNKS1BP1,1.3148247981444001
ZBTB22,1.313672746066004
ABCA13,1.3131401173304766
MDC1,1.3054621238261461
TNRC6B,1.2994775278493762
GTF3C6,1.2955233822576702
FMNL3,1.2951924920780584
PREX2,1.2946438826620579
TDP2,1.2898387792520225
CDHR3,1.2894054494099692
CCNK,1.2880053259432316
TRIM27,1.285747570451349
TMEM63B,1.282325263833627
PACS1,1.2815858009271324
MRPL36,1.279471462359652
DDX23,1.2785790718189673
ARID4A,1.2727869737427682
RAB3IP,1.270791792194359
ASAH1,1.2667639123974368
USP28,1.266298958857078
UQCRC1,1.264271391555667
TRRAP,1.2560254968702793
SLC7A2,1.2554040884133428
TATDN1,1.2531687868759036
ARID1A,1.2519601178355515
MAPK7,1.2517555953236297
SAP130,1.2452990380115807
MUC4,1.2441877671517432
AXIN1,1.2418566276319325
NDUFB6,1.241634619422257
PCSK2,1.2412379933521152
CWC22,1.2364616211561952
ZNF692,1.2352689169347286
PIK3C3,1.2348573273047805
GRIN2A,1.2334203710779548
GAB1,1.2323481757193804
LEF1,1.227470227633603
DNAH3,1.2228468684479594
NOD1,1.2186219906434417
UGT2B10,1.2176158796646632
ZNF250,1.216688048094511
IKBKE,1.21588803967461
NTSR2,1.2113985135219991
ARID1B,1.2094121146947145
RB1,1.2042694818228483
TMEM170B,1.2038929016562179
NCAN,1.2026724284514785
FBXL18,1.2011974644847214
CLASP1,1.2009423160925508
CARD11,1.199780268012546
MDM2,1.1988025463651866
USP33,1.1983004035428166
SRRM2,1.198264101985842
SUPT3H,1.197379806311801
RUNX1,1.195398869458586
CUL3,1.1847168754902668
CNOT7,1.1827194821089506
PSMD3,1.1824182504788041
OR14J1,1.1816241592168808
GTPBP4,1.1797272386029363
CTSZ,1.1796549112768844
NUMA1,1.177753689698875
BAG3,1.1728587403777055
RUNX1T1,1.171824629418552
NAPB,1.1669632173143327
SOX4,1.1659675214905292
C2CD3,1.165437025774736
NAV1,1.1650845115073025
PRKCQ,1.1644668472290505
MVP,1.1638830542215146
CCR4,1.1620858262758702
HIST1H2BA,1.1604193190578371
OR4D9,1.1591855976730585
STAR,1.1587180155329406
UGT2B11,1.157211703248322
ZNF506,1.1553542837500572
HOXA6,1.153374225832522
RAB14,1.1523750218038913
ZNF746,1.150876167230308
TBK1,1.1505091926082969
MRPL9,1.1498111435212195
FAM174A,1.1492227339185774
EMD,1.1488564762476017
TBC1D5,1.1486005587503314
HSPD1,1.1485381997190416
DNM1,1.1465024172794074
NDST4,1.1459990246221423
TRIM21,1.1453463099896908
NDEL1,1.1415048027411103
MUC21,1.140916656004265
FBXW11,1.14039218518883
OBSCN,1.1397314202040434
FGFR3,1.1383086438290775
SETD3,1.136025134474039
FGF20,1.132816124940291
MAML3,1.1325105763971806
NBEAL2,1.1296916529536247
KMT2D,1.1286986637860537
EFR3A,1.1272674687206745
ABCG2,1.1252656988799572
USP4,1.1216136077418923
FSTL1,1.1183142731897533
C1D,1.1171191846951842
TUBB8,1.1129988811444491
ZNF502,1.1127167560625821
ZNF836,1.1123840725049376
CWC15,1.1091570844873786
U2SURP,1.1085744090378284
OR6C76,1.1048284210264683
LSM1,1.104410287924111
ANKRA2,1.103294429834932
COL6A6,1.102683398872614
CHRNB4,1.1011517439037561
PCM1,1.096919146933942
FGD1,1.094754385529086
ATP6V1B2,1.0940011377679184
MYC,1.092807887122035
SBF1,1.0920023662038147
RPS3A,1.091542785987258
GTF2F1,1.091094795963727
KIF13A,1.089966922532767
LAMC1,1.0883710176640307
XIRP1,1.0861460491432808
PTEN,1.0855697182705626
OR4F21,1.0827167914249003
FGFR1,1.0785554116591811
ANGPT1,1.0746846521506086
PPIP5K2,1.0745799059513956
TTC30B,1.0710985837504268
CEP250,1.0710007683373988
GNB2,1.0696304077282548
OR13C3,1.0682767153484747
NME7,1.068262280896306
CDC26,1.0681547495769337
ZNF572,1.0677702004322782
NR1I2,1.067587026860565
INPPL1,1.0660794686991721
WDR33,1.06470743753016
ATG2B,1.0645796339958906
OR6C70,1.0643323436379433
ZNF808,1.0626618231181055
UBAP1,1.0607553096488118
MORF4L1,1.0578929092735052
TAPBP,1.0549038066528738
RUFY1,1.0498704491183162
ODF2,1.0490658169728704
ZBTB16,1.0485241520218551
HLTF,1.0470074659679085
SRC,1.0469656679779291
UBL7,1.0436926204711199
ZNF441,1.0427057519555092
APBB1,1.0416696958709508
KLHDC8A,1.0400648454669863
DDHD2,1.0387824064819142
XIRP2,1.0376237338641658
COL4A2,1.036323434789665
CTDSPL,1.0362069103866816
SCAMP1,1.0351949403993785
ARG1,1.0340339727699757
SF3B1,1.0325895035639405
SPHKAP,1.031378568150103
NCAPG2,1.0313779842108488
NOL6,1.0308757470920682
SPEN,1.0301362192258239
UGT2B15,1.028244329849258
GNAI1,1.0278661577031016
MYO5A,1.0258217193186283
STAB2,1.0246902694925666
ZNF85,1.0240358536830172
CEP192,1.023674770258367
ROR2,1.0236131937708706
DCAF8,1.0231940600206144
THUMPD3,1.023072634357959
GLP1R,1.022667528161037
LRRC58,1.01997227765969
KLHL11,1.0196241922676563
BRPF1,1.0194990746676922
MTMR6,1.017054210184142
B2M,1.0147822289727628
UBP1,1.013686702819541
WDR60,1.0133758438751101
HOXA9,1.012747136701364
LAMA5,1.012683275155723
UGT2B28,1.0078092142939568
MEPE,1.0075255180709064
EDEM1,1.0060014920309186
PTP4A2,1.0054443920962512
WIPI2,1.0035672499798238
CYB5R1,1.000438836403191
EIF3E,0.999320624396205
OR6Y1,0.9966625429224223
FAM49B,0.9959889492020011
STAMBPL1,0.9947747346013784
PTPRN2,0.9920066017657518
ADCY10,0.9919045390561223
COL5A1,0.9910796312615275
DNA2,0.9880581400939263
PLK2,0.9865962397307158
ZFPM2,0.9859574772417545
ESRP1,0.9831455731764436
CELA2A,0.9828001056448556
POLQ,0.9827942224219441
PTPN13,0.9824710376560688
FZD1,0.9824031358584762
PTPRD,0.9802102269604802
HTR2C,0.9777166303247213
TNKS,0.9767733332701027
SFI1,0.9764733090996742
UBA7,0.9760110192000866
OR7D4,0.9752289680764079
COL6A3,0.9746372807421722
ZNF600,0.9739019507542253
STX1A,0.9703501870390028
ACACB,0.9682066375389695
PDCD6IP,0.9679504157975316
FANCD2,0.967931134160608
RYBP,0.9678180804476142
RGMB,0.9674526727758348
TMPRSS11F,0.9673412123229355
GMPR,0.9671340119093657
NF2,0.9669568371027708
OC90,0.9647126337513328
WDR77,0.9618420847691596
RHEB,0.9605881501920521
ZNF251,0.9604339224752039
ZNF611,0.9601856195367873
FZD10,0.9569500891957432
VEGFC,0.9567699348554015
MLLT3,0.9565754672512412
MLLT1,0.9555880164843984
LIMK1,0.9548550781328231
ASB1,0.954748114105314
ZMYND11,0.9543372547195759
CDC25B,0.9527731444686651
RBM12B,0.9520900403149426
IKBKB,0.951683355960995
TMPRSS11B,0.9506660234183073
ELL2,0.9504984407685697
NR6A1,0.9501689998432994
OSR2,0.9497323296964169
ARSK,0.9490041304379702
DNAH7,0.9479053756222129
SLC45A4,0.9475470231845975
PTPRJ,0.9472817426139954
POLR3D,0.945848360657692
CUL1,0.9456791353295557
MYL3,0.9438956119120121
TOP1,0.9438886099669617
QSER1,0.9433284089900553
TNC,0.9430922800675035
WEE1,0.9424978531897068
ATF7IP,0.9424834083765745
RAB21,0.9413149888860062
SF3B4,0.9401552272029221
PIP5K1A,0.9396701641380787
LCE2C,0.9373677710536867
SP100,0.9355490072630346
INTS4,0.934354011900723
TSNARE1,0.934115968644619
NDUFAF2,0.9340823884122074
EPX,0.9332997910678387
ROBO2,0.9281179239042103
CTSB,0.9270989252254367
PAXIP1,0.9253668542951345
RPRD2,0.9251646911725402
PTPRF,0.9250844308407977
GRPEL2,0.9246539275627583
ENPP4,0.9217445468530059
ATP6V1A,0.9216464043129236
RPN1,0.9199560625238519
LRIT1,0.9197956807911396
YTHDC1,0.9197654100134969
TERT,0.9197650654241443
GNA11,0.9190269017126411
PCSK1,0.9186726650223136
GPR27,0.9154620255867485
RAC1,0.9136982625350356
CDC37L1,0.9135319301858544
OR10W1,0.913452394772321
LIG1,0.9119073792826384
PEX12,0.911888315808028
TNIP1,0.9113051488529891
HECTD3,0.9111098046269035
TUBB1,0.9108860798878595
MFAP3,0.908908573910594
DNM3,0.9088268112391233
TRDN,0.9081371249631047
GFM2,0.9073769692331553
NUP107,0.9073113149497658
MAPK10,0.9069707868620753
NUP153,0.9048032481223345
DMAP1,0.9042733362875879
RRP8,0.9036779409798328
TCOF1,0.9034802208188921
POLE,0.9033473506569862
STXBP2,0.9020317774266005
CYP4V2,0.9002710913773626
VTA1,0.9000772181898355
SCRT1,0.8990472913719714
TRPC1,0.8955941777676344
