element,coef
R-HSA-6807878,6.637264959863387e-09
R-HSA-6785807,5.100673661218025e-09
R-HSA-3214858,2.3703137230768334e-09
R-HSA-5389840,1.4766072808924946e-09
R-HSA-2022377,1.317857822868973e-09
R-HSA-975576,1.1825136425613891e-09
R-HSA-390471,1.0537064554227982e-09
R-HSA-389957,8.52423909236677e-10
R-HSA-5358749,6.98150870448444e-10
R-HSA-5694530,6.356231097015552e-10
R-HSA-381753,6.1555738284369e-10
R-HSA-198933,6.064055924070999e-10
R-HSA-74749,5.062190666649258e-10
R-HSA-381426,4.813358600586071e-10
R-HSA-6798695,4.719282742371433e-10
R-HSA-5419276,4.518554419519205e-10
R-HSA-2197563,4.474713932722807e-10
R-HSA-6809371,4.0165559767046943e-10
R-HSA-379716,3.666329462248541e-10
R-HSA-8963901,3.4788172342814505e-10
R-HSA-8873719,3.462190534264664e-10
R-HSA-111448,3.340119292261079e-10
R-HSA-1632852,3.185789410053985e-10
R-HSA-3371378,2.913225216616411e-10
R-HSA-5685938,2.8677504815277644e-10
R-HSA-162710,2.8539659524540184e-10
R-HSA-6790901,2.7404212232795544e-10
R-HSA-1663150,2.419255906715989e-10
R-HSA-3560783,2.405045052000787e-10
R-HSA-114608,2.31283436846752e-10
R-HSA-3000480,2.0366996977827512e-10
R-HSA-139915,2.014530764427036e-10
R-HSA-5218900,2.01339389604982e-10
R-HSA-6811440,1.9944224050050252e-10
R-HSA-3371453,1.5057688429465088e-10
R-HSA-1368108,1.4884449228702579e-10
R-HSA-69563,1.4306245077477797e-10
R-HSA-2559585,1.4201528841795152e-10
R-HSA-5685942,1.4134826642475673e-10
R-HSA-9018519,1.2965628570782428e-10
R-HSA-2219530,1.276561079066596e-10
R-HSA-76061,1.263060767087154e-10
R-HSA-8866652,1.184616849059239e-10
R-HSA-4641262,1.1548273448624968e-10
R-HSA-375276,1.1428724633333331e-10
R-HSA-1236974,1.1074519079556921e-10
R-HSA-8849470,1.0970779840135947e-10
R-HSA-450294,1.0501821634534281e-10
R-HSA-975957,1.0486722601399379e-10
R-HSA-8943724,1.0391976168477868e-10
R-HSA-381340,1.0003597950003495e-10
R-HSA-375281,9.43316535995109e-11
R-HSA-432040,9.096279285358833e-11
R-HSA-917977,8.887468538887333e-11
R-HSA-418457,8.79083472682396e-11
R-HSA-77387,8.711253940418828e-11
R-HSA-373753,8.555600672366381e-11
R-HSA-1236977,8.003553375601768e-11
R-HSA-6783783,7.633360610270756e-11
R-HSA-111447,7.185718686741893e-11
R-HSA-5676590,6.971845323278103e-11
R-HSA-193993,6.724576451233588e-11
R-HSA-389960,6.694556020647724e-11
R-HSA-1855183,6.394884621840902e-11
R-HSA-1251985,6.38209485259722e-11
R-HSA-171306,6.369660354721418e-11
R-HSA-75953,6.01076965978109e-11
R-HSA-447043,5.81508174946066e-11
R-HSA-4641263,5.5841553603386274e-11
R-HSA-5619099,5.255174073681701e-11
R-HSA-2473224,4.934008757118136e-11
R-HSA-427359,4.900435612853471e-11
R-HSA-2894862,4.879296966464608e-11
R-HSA-917729,4.853228929846409e-11
R-HSA-176033,4.661560026875122e-11
R-HSA-8849469,4.417088916852663e-11
R-HSA-983189,4.356781602155024e-11
R-HSA-2173791,4.318678747949889e-11
R-HSA-69416,4.217781679471955e-11
R-HSA-933542,4.199662839710072e-11
R-HSA-197264,3.877431709042867e-11
