element,coef
USP7_mut_important,1.2622324518929418e-08
TSC2_mut_important,3.7135006181188146e-09
FABP7_cnv_del,2.9996556349942693e-09
LAMA4_mut_important,2.88491275313163e-09
RANBP2_cnv_del,2.771827212200151e-09
RING1_mut_important,2.460691872485654e-09
LAMA4_cnv_del,2.2508572783408454e-09
LRP4_cnv_del,1.865871013251308e-09
ERBB3_cnv_amp,1.7907382243720349e-09
LPCAT3_mut_important,1.6608190378519794e-09
TAS2R41_cnv_amp,1.6269297020699014e-09
BRAF_cnv_amp,1.6233698829637433e-09
MTMR2_cnv_amp,1.6230927712967969e-09
INS_cnv_del,1.3772449847238022e-09
TNFSF10_cnv_amp,1.3064322956779506e-09
RAD21_mut_important,1.2895178258531814e-09
TMEM129_cnv_del,1.2267378224350978e-09
AKAP9_mut_important,1.1803571453583572e-09
PIK3C2A_mut_important,1.1342677908032783e-09
CREBBP_mut_important,1.0908536296483362e-09
PTPMT1_cnv_del,1.0477734235792013e-09
DST_cnv_del,1.0469900502130258e-09
CHD1_cnv_del,1.0102496617037104e-09
EXOC6_cnv_del,9.574137038725894e-10
F11R_cnv_amp,9.281393431592733e-10
PTPMT1_cnv_amp,9.038210180278838e-10
DBH_cnv_del,8.96321239451936e-10
ERBB3_mut_important,8.693277209204098e-10
CGA_cnv_del,8.586482636019355e-10
ATP6V1A_cnv_del,8.362466275002589e-10
MSRA_cnv_del,8.112408522720216e-10
STAMBPL1_cnv_del,8.01065880295937e-10
IKBKB_cnv_del,7.50063122723077e-10
PLCG1_mut_important,7.471578911122378e-10
MRPL33_cnv_amp,7.443219374181353e-10
OTUD7B_cnv_amp,7.352696229645517e-10
RANBP2_mut_important,7.311200533877127e-10
CCNC_cnv_del,7.270912760759529e-10
PTPN12_cnv_amp,7.20589810043748e-10
MTFMT_mut_important,7.131939483429051e-10
GOPC_cnv_del,7.10706160589325e-10
PCSK1_cnv_amp,6.992273426931206e-10
BAK1_cnv_amp,6.730438428803609e-10
PIK3R1_cnv_del,6.653380069110426e-10
PSMB8_cnv_amp,6.619700343435397e-10
TFDP2_cnv_amp,6.591704959646449e-10
VDAC3_cnv_del,6.500258109554125e-10
ITGA10_mut_important,6.445475264627021e-10
GLI2_cnv_del,6.405045382962271e-10
ABCB4_cnv_amp,6.384084372257348e-10
TH_cnv_del,6.281624109760742e-10
TP53BP1_cnv_del,6.266986929404084e-10
PIP_cnv_amp,6.224425419532054e-10
COL13A1_cnv_amp,6.109388550612493e-10
SLC44A3_cnv_del,5.980780315439915e-10
TNKS2_cnv_del,5.754259291279595e-10
ITGA2_cnv_del,5.731237706640968e-10
MUC16_mut_important,5.66316771255515e-10
ATP6V1A_cnv_amp,5.509370737399877e-10
PCYT1A_cnv_del,5.483258291860693e-10
H2AFV_cnv_amp,5.462350571860952e-10
RGR_cnv_del,5.441549433271575e-10
ITGA2_mut_important,5.398312907800573e-10
F11R_cnv_del,5.379945378081175e-10
KPNA5_cnv_del,5.37877298256717e-10
KCND3_cnv_del,5.312497108889147e-10
MRPL53_cnv_amp,5.296953986544395e-10
LAMC1_mut_important,5.281961534819857e-10
ERAL1_mut_important,5.259153113001958e-10
MET_cnv_amp,5.203872888159822e-10
DDB2_cnv_amp,5.162661409485736e-10
TCIRG1_cnv_amp,5.162377192391432e-10
GRM3_mut_important,5.116191914567025e-10
CBS_mut_important,5.007216863361919e-10
MANEA_cnv_del,4.988685020634875e-10
GFM2_cnv_del,4.947935394739034e-10
EMD_mut_important,4.905142958477882e-10
MRPL3_cnv_amp,4.685745125243557e-10
MTMR2_mut_important,4.682858545379531e-10
POLR2L_cnv_del,4.495177563512698e-10
HIST1H2BD_cnv_amp,4.419575816427823e-10
CDK9_cnv_amp,4.383267082630482e-10
TAS2R40_cnv_amp,4.2938452793350734e-10
HSD17B12_cnv_del,4.262883379624327e-10
ODF2_cnv_amp,4.164384392879583e-10
S1PR1_mut_important,4.155040755904338e-10
NOTCH4_cnv_amp,4.126832209294662e-10
HEXB_cnv_del,4.1252690152759897e-10
HIST1H2BA_cnv_del,3.9975134313863236e-10
HAPLN1_mut_important,3.9947778418536473e-10
MYRIP_mut_important,3.971782902567611e-10
PSMD6_cnv_amp,3.9389647099596914e-10
HAUS3_cnv_amp,3.9032954646245344e-10
NUP107_mut_important,3.8838798843698896e-10
CHRM4_cnv_del,3.795701530862061e-10
PAK2_cnv_del,3.74487996168682e-10
GNG11_cnv_amp,3.6489922194959945e-10
CYCS_cnv_amp,3.6362735045258887e-10
NUP153_mut_important,3.5996094993606675e-10
VDAC2_cnv_amp,3.546034577084356e-10
PGM1_cnv_del,3.4651215230496746e-10
FGB_mut_important,3.4562930295578553e-10
ARHGAP39_cnv_amp,3.4070524179696804e-10
MRPL32_cnv_amp,3.391775749150838e-10
ITGA1_cnv_amp,3.3801939025579486e-10
CDC23_cnv_amp,3.3780622743506683e-10
CCND1_cnv_amp,3.3739411264832597e-10
HYAL3_cnv_del,3.3455194170528557e-10
CUL1_cnv_amp,3.3149127887099894e-10
CDH1_mut_important,3.298801232176629e-10
CENPH_cnv_amp,3.213003196833597e-10
NRIP1_mut_important,3.1806024480829365e-10
CLASP2_cnv_del,3.178317609098258e-10
MGAT5_cnv_del,3.1582914061800693e-10
ITGA2_cnv_amp,3.128093339910265e-10
HSP90AB1_mut_important,3.1238212017115075e-10
ATP6V0E2_cnv_amp,3.0818370078122825e-10
MET_mut_important,3.071143339639093e-10
NCOR1_mut_important,3.070610432587273e-10
POLR2D_cnv_del,3.065192544227102e-10
PRELP_cnv_amp,3.0322411248562275e-10
PRKCD_cnv_del,3.0048497023926757e-10
RAD18_mut_important,2.9597835293770913e-10
NUP43_cnv_del,2.956959122002445e-10
PEX5_mut_important,2.9355140540587854e-10
NUP155_cnv_amp,2.906812568426176e-10
LAMB2_cnv_del,2.8772717541869497e-10
ETNK2_cnv_amp,2.772999607714155e-10
CEP41_cnv_amp,2.736610937859041e-10
PIGK_cnv_del,2.7338842301105615e-10
RRAGD_cnv_del,2.7143443048771587e-10
NDST2_mut_important,2.608864235753572e-10
SEC24A_cnv_amp,2.6004798314716027e-10
BRAF_mut_important,2.596394210740982e-10
