,,sgd_fold_0,sgd_fold_1,sgd_fold_2,sgd_fold_3,sgd_fold_4
CAMSAP2,mut_important,0.0,0.0,0.0,0.0,0.0
CAMSAP2,cnv_del,0.0,0.0,0.0,0.0,0.0
CAMSAP2,cnv_amp,0.08187072999539699,0.01872115612663723,0.07804872842584308,0.04687602360528295,0.0634676194189031
SSU72,mut_important,0.042423866751372455,0.06365214826656485,0.06943178931676805,0.002118335404156159,0.07526529018414131
SSU72,cnv_del,0.0018596773839641774,0.0006496630528649589,0.0012107479408914104,0.0049987824279722915,0.013117470837827468
SSU72,cnv_amp,0.044165778398402224,0.0229297168069272,0.04191262689122632,0.029478808582974084,0.03977697458253435
ZNF114,mut_important,0.019766653001166003,0.020680025240345665,0.019254801574718008,0.0,0.015588468998313688
ZNF114,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF114,cnv_amp,0.0,0.0,0.0,0.0,0.0
CMPK1,mut_important,0.0012101318303003722,0.002686578224646318,0.0,0.002258163336995046,0.00016985772621166202
CMPK1,cnv_del,0.0282601627760412,0.037810450928162966,0.03188079221793041,0.02738734780059785,0.03320397697549533
CMPK1,cnv_amp,0.03138717654395066,0.032678671169436666,0.0,0.023686064835673343,0.0317751280727998
TLX3,mut_important,0.00014450620327124595,0.05028977093605088,0.04544352302275953,0.04598635682620085,0.04466982263140489
TLX3,cnv_del,0.0,0.0,0.0,0.0,0.0
TLX3,cnv_amp,0.05923882235784979,0.03914863042317762,0.02172766905486675,0.024215309290256386,0.024164453982468775
CEP97,mut_important,0.0024606566226262226,0.028098809704445445,0.024916975316258957,0.0,0.031175099602196908
CEP97,cnv_del,0.03034162204093266,0.024736753820123764,0.004206517467917348,0.017328589763655994,0.031536474558471694
CEP97,cnv_amp,0.014621133902065493,0.01909450499640519,0.03223932711910049,0.027650534765449618,0.0167246091309654
RGR,mut_important,0.040020829479299476,0.03231538286310544,0.030351637823089465,0.03853842552961362,0.0
RGR,cnv_del,0.06246334403041888,0.07550954266656072,0.06868668914389954,0.06730632632597604,0.09423859091664587
RGR,cnv_amp,0.05549965830395878,0.04794556023089749,0.01985761439914178,0.051014021748251634,0.04069980656537689
PNPLA5,mut_important,0.042694876324835526,0.052246404582464115,0.010015639295845936,0.04808431538586213,0.038369653136867674
PNPLA5,cnv_del,0.0,0.0,0.0,0.0,0.0
PNPLA5,cnv_amp,0.0,0.0,0.0,0.0,0.0
VAPB,mut_important,0.0,0.00441643931996191,0.009577088505059157,0.008468039301991116,0.01904970436060844
VAPB,cnv_del,0.0,0.0,0.0,0.0,0.0
VAPB,cnv_amp,0.0,0.0,0.0,0.0,0.0
AKIRIN2,mut_important,0.0,0.0,0.0,0.0,0.0
AKIRIN2,cnv_del,0.029283301006305974,0.05911397501459,0.04611549616714931,0.0707397585054998,0.04908298128879527
AKIRIN2,cnv_amp,0.028608866888519893,0.028086616054433734,0.03040309843240466,0.02989300952340931,0.033757627612855626
ABCG2,mut_important,0.021740636615122034,0.015388724708489588,0.015489298360139453,0.02081532346317854,0.00025482351312185045
ABCG2,cnv_del,0.013076457517205781,0.02446744400215705,5.030241042217468e-05,0.014579530333960958,0.002222165445707661
ABCG2,cnv_amp,0.040326225603632165,0.03814151658968875,0.008912955313120474,0.019708041907074102,0.01701158106087355
OXSM,mut_important,0.0,0.0,0.0,0.0,0.0
OXSM,cnv_del,0.0030067307108940485,0.0,0.0036714091991901115,0.0014037833003834727,0.0017311428746439948
OXSM,cnv_amp,0.000614114280589342,0.014324603982484072,0.0014730804352749947,0.007911445840486097,0.00208829922622674
GK,mut_important,0.0007156593585736865,0.004716462759080744,0.0063908968638036615,0.008093791879860318,0.02224796516305328
GK,cnv_del,0.0,0.0,0.0,0.0,0.0
GK,cnv_amp,0.0,0.0,0.0,0.0,0.0
CCDC71L,mut_important,0.0,0.0,0.0,0.0,0.0
CCDC71L,cnv_del,0.0,0.0,0.0,0.0,0.0
CCDC71L,cnv_amp,0.054578034232432855,0.002686034804977027,0.017077209262501516,0.033973812002608246,0.012755019042293368
DPF2,mut_important,0.0003321735367022676,0.0004738501283741598,0.0009300872087277461,0.02809167797083663,0.0
DPF2,cnv_del,0.0,0.0021424784561569887,0.010225355300558351,0.008006702505165459,0.011989317511304037
DPF2,cnv_amp,0.003765092494681899,0.03067039355095205,0.0003545104958472247,0.0021649889800431778,0.03595540904975566
APPL2,mut_important,0.028318275848854938,0.004862662200817118,0.011755910429310987,0.015767960533877072,0.014528882879215936
APPL2,cnv_del,0.0,0.0,0.0,0.0,0.0
APPL2,cnv_amp,0.0,0.0,0.0,0.0,0.0
CD79A,mut_important,0.0296355029071278,0.03267431775514567,0.009690914871747508,0.018564609256629422,0.0291520071265058
CD79A,cnv_del,0.0,0.0,0.0,0.0,0.0
CD79A,cnv_amp,0.0,0.0,0.0,0.0,0.0
TBC1D8B,mut_important,0.006734570532293383,0.026683790555714366,0.018098354397417037,0.006760166394867523,0.0008043297757498607
TBC1D8B,cnv_del,0.0,0.0,0.0,0.0,0.0
TBC1D8B,cnv_amp,0.0,0.0,0.0,0.0,0.0
ADCY7,mut_important,0.0980604943222724,0.05550871062233261,5.9677953630272606e-05,0.05389858150868412,0.06960842449593656
ADCY7,cnv_del,0.0,0.0,0.0,0.0,0.0
ADCY7,cnv_amp,0.0,0.0,0.0,0.0,0.0
SHISA3,mut_important,0.007200932530769126,0.0006811880222370402,0.0010200665828512781,0.0009070338603014396,0.0
SHISA3,cnv_del,0.014010234053538176,0.01749860214084704,0.014554335253712605,0.008880568642671812,0.012963997270002836
SHISA3,cnv_amp,0.02555296329382433,0.018261173148113152,0.009868727686428614,0.0706191293582698,0.015557731380802471
RAB35,mut_important,0.01676446618403693,0.0,0.012901920617464618,0.019260633028682802,0.015229916984478755
RAB35,cnv_del,0.0,0.0,0.0,0.0,0.0
RAB35,cnv_amp,0.0,0.0,0.0,0.0,0.0
PNPLA2,mut_important,0.0,0.0,0.0,0.0,0.0
