element,coef
R-HSA-110362,5.5067062021407764e-14
R-HSA-5651801,3.4519748171035758e-12
R-HSA-73930,0.0
R-HSA-111461,6.274980535181385e-11
R-HSA-264870,1.59539048638635e-13
R-HSA-351906,-2.1103119252074976e-11
R-HSA-352238,-7.417677583276827e-14
R-HSA-111469,-1.9764190284377037e-11
R-HSA-111885,-5.11585218632149e-12
R-HSA-111933,-3.539391002504999e-13
R-HSA-112399,1.861288900784075e-12
R-HSA-110056,-7.667342238545927e-18
R-HSA-112411,-1.1604351377383915e-18
R-HSA-113510,-9.296030611949391e-11
R-HSA-111446,1.3005774235352874e-10
R-HSA-111447,3.7047698242531624e-11
R-HSA-111448,3.0331648304127157e-10
R-HSA-139910,-3.510081114654895e-11
R-HSA-139915,-4.759286298394727e-10
R-HSA-1169091,2.7408318670207876e-12
R-HSA-1169092,1.3530843112619095e-14
R-HSA-2025928,-1.3250511798901243e-13
R-HSA-1169408,1.021049911287264e-10
R-HSA-1222387,0.0
R-HSA-1222449,0.0
R-HSA-1222538,0.0
R-HSA-1222541,0.0
R-HSA-1234158,-2.615365701785777e-10
R-HSA-1234162,-1.007194327939942e-12
R-HSA-1234176,1.2912115820995496e-11
R-HSA-1236973,4.636291350834654e-13
R-HSA-1236974,6.092903959142859e-12
R-HSA-1236977,2.291500322826323e-13
R-HSA-1236978,8.564704501168308e-12
R-HSA-1296041,2.0688745855368396e-15
R-HSA-141333,0.0
R-HSA-141334,0.0
R-HSA-211227,6.679379271901098e-13
R-HSA-3371378,-1.5711520973127335e-10
R-HSA-69416,-7.496225862269057e-13
R-HSA-141430,1.5241141682054149e-12
R-HSA-141444,-1.570913399362439e-10
R-HSA-1461957,4.034461653645849e-11
R-HSA-1462054,-6.253886297713507e-13
R-HSA-1482788,1.099209612220875e-11
R-HSA-1482798,-3.1175062531474396e-12
R-HSA-1482801,-1.539746108392137e-11
R-HSA-1482839,1.3580248037214915e-11
R-HSA-1482883,1.2789769243681803e-13
R-HSA-1482922,-7.013056801952189e-12
R-HSA-1482925,4.160671807085237e-12
R-HSA-1483076,0.0
R-HSA-1483101,0.0
R-HSA-1483115,-2.540190280342358e-12
R-HSA-1483148,-2.8528290840768022e-12
R-HSA-1483152,0.0
R-HSA-1483166,-9.108092058340844e-11
R-HSA-1483171,0.0
R-HSA-1483191,-9.051093208256589e-14
R-HSA-1483196,0.0
R-HSA-1483213,-1.928235349168972e-12
R-HSA-1483226,-3.2628413859647765e-13
R-HSA-1483248,1.7637447058405087e-11
R-HSA-1660499,2.5699620209707064e-10
R-HSA-1660502,0.0
R-HSA-1660508,0.0
R-HSA-1660510,0.0
R-HSA-1660514,2.0733637029479723e-11
R-HSA-1660516,-1.929763016050856e-10
R-HSA-1660517,3.0041746867937036e-11
R-HSA-1660524,0.0
R-HSA-1660537,0.0
R-HSA-6814848,1.0399667238480959e-15
R-HSA-8847453,-1.1803891197814664e-11
R-HSA-1362277,-8.812151008896763e-11
R-HSA-1362300,1.9731771772057982e-11
R-HSA-159424,-8.619840952128754e-15
R-HSA-173599,7.373421805848684e-19
R-HSA-174403,8.105495441501631e-15
R-HSA-159227,-8.881784197001252e-16
