element,coef
CAMSAP2,0.0
SSU72,0.0
ZNF114,0.0
CMPK1,-2.887365910600459e-17
TLX3,0.0
CEP97,2.220446049250313e-16
RGR,-2.275957200481571e-14
PNPLA5,7.538593230563273e-20
VAPB,5.470884162361855e-16
AKIRIN2,0.0
ABCG2,5.0306980803327406e-17
OXSM,0.0
GK,9.26442286059391e-23
CCDC71L,0.0
DPF2,0.0
APPL2,0.0
CD79A,3.0926866970149014e-17
TBC1D8B,-1.4568966692773966e-18
ADCY7,5.750955267558311e-13
SHISA3,0.0
RAB35,-9.792167077193881e-14
PNPLA2,-5.218048215738236e-14
FDXACB1,0.0
KRBA2,0.0
PLA2G6,-1.2070205945846624e-14
DDX4,-2.14064876935538e-15
OR4D2,3.049318610115481e-17
NISCH,0.0
GRK4,0.0
POU5F2,0.0
OLFML3,0.0
LSS,3.157196726277789e-16
ADAT2,0.0
TXN2,-1.9265036466360015e-21
ZNF429,0.0
SAAL1,0.0
DPH3,-1.3270634591222574e-15
NKRF,0.0
BCKDK,0.0
DENND2C,-1.2256862191861728e-12
TTLL5,4.163336342344337e-17
TBC1D5,0.0
COL5A3,5.066169705969514e-12
NCDN,0.0
PHKA2,-4.714111045966973e-16
HDAC6,-1.7659484985443896e-14
KIF3B,7.521760991835436e-15
MRPS25,-2.708944180085382e-14
STX8,0.0
FOXA1,-2.682298827494378e-13
OR2T2,-6.877907531704919e-19
LRP1B,0.0
NEB,1.7541523789077473e-14
DMRT1,0.0
PDIA3,6.350475700855895e-14
ZNF708,0.0
ENDOU,0.0
HIST1H3B,0.0
ZNF419,0.0
HSF2,0.0
POU2AF1,0.0
AIF1L,0.0
DAPL1,0.0
POU2F3,0.0
PSD4,0.0
RALYL,0.0
CRYZ,0.0
PLS1,0.0
TOR2A,0.0
SMARCAD1,0.0
ARF4,-5.362377208939506e-13
DDX31,0.0
SCN3B,0.0
VPS54,-1.5640821970919205e-12
FBXO36,0.0
TGIF1,0.0
TNP1,0.0
ADCY10,0.0
CCDC83,0.0
DBH,2.989275493803234e-14
EXOSC1,-1.9029222642075183e-13
TEAD3,-1.4011014570769476e-12
IL17RB,0.0
DYRK1B,0.0
KRTAP13-4,0.0
HSPB2,0.0
SUCLG1,2.0088097851811426e-15
FAM89B,0.0
NPY5R,1.2573275753879898e-14
SERAC1,0.0
TRIM7,0.0
PHF23,0.0
TAAR2,-8.461113754076877e-16
CHCHD1,-4.615685611497611e-11
ZNF143,1.199040866595169e-14
ATP1A1,9.645062526431047e-16
ZNF420,-1.4814538484841933e-15
FRA10AC1,0.0
PMEPA1,-2.4013053182414393e-21
TDO2,-5.0237591864288333e-14
RPL5,-9.414691248821327e-13
ARHGAP29,-5.878408653944844e-19
KPNA3,1.1823875212257917e-14
CPNE2,0.0
TBL3,-1.70317093761696e-11
ENTPD1,3.191891195797325e-15
MAT1A,-2.5934809855243657e-13
RAB11A,-1.1590798850227846e-17
ARHGAP6,2.540510768046164e-25
HHAT,0.0
HSPA12A,-3.019806626980426e-13
TIGD1,0.0
TNKS,-4.760636329592671e-13
NPAS3,0.0
MRPL13,-8.412825991399586e-12
THOC6,-4.761815941556335e-16
MYF6,0.0
PPP2CA,2.3803181647963356e-13
INO80,2.969846590872294e-14
SDR9C7,0.0
HTR2A,7.728193085476676e-16
ZMYND15,0.0
TCF25,0.0
ZNF438,0.0
GAST,6.711211447685272e-17
PAFAH1B2,-3.0804352124658152e-15
NUP98,3.304023721284466e-11
FAM47A,0.0
TNFRSF10A,-1.4015455462867976e-12
TAB3,7.341349750333848e-15
SH3GLB1,0.0
DDB2,-4.956035581926699e-12
BAX,9.01057006785777e-13
RBM15B,0.0
ATP2B1,-5.967448757360216e-16
DAGLA,-8.326672684688674e-16
USP44,-6.288303211476887e-13
CNBP,0.0
VOPP1,0.0
RIOK2,2.313704783318826e-13
PIGT,-1.2237932021930131e-17
PRRC1,0.0
ZFP36L1,-3.015166241682188e-16
KCNJ11,1.6271428648906294e-12
CATSPER2,1.9905274260476058e-18
IL11RA,1.929123527588672e-12
RANBP10,3.295107242617945e-15
DAPK3,3.5888785975164705e-18
HIRIP3,0.0
SLK,0.0
CDK8,6.070144387138043e-14
FAM24B,0.0
SLC35D2,-3.6415315207705135e-14
TSR1,-3.9641141931501256e-18
FAF1,0.0
UGT2B28,0.0
ZBTB4,0.0
PCDH1,0.0
ZDHHC21,4.644722106927901e-16
ZNF768,0.0
COMMD10,-3.164135620181696e-15
ACTL6B,-1.4956924587750109e-12
EPS8L2,0.0
DNAJA3,0.0
UFL1,-2.0961010704922955e-13
GPR39,0.0
MRPS35,-1.260450077644748e-14
PKIA,0.0
UQCRHL,0.0
NDUFB8,-1.11743947428522e-13
LRRC23,0.0
PRAMEF2,0.0
MGAM,6.110667527536862e-13
TRIM3,0.0
NFATC2IP,0.0
ATXN7L3,-1.7937040741600185e-15
CYP4F22,4.360896189379562e-21
PLXNA2,-8.51514414534904e-11
PDE1A,6.963318810448982e-13
CRNKL1,4.4316763800344994e-17
TM9SF3,0.0
HAUS6,3.6504133049675147e-13
LTV1,6.17284001691587e-14
ZBTB7B,0.0
BEST3,0.0
PPP1R2,0.0
CPEB3,0.0
FABP6,1.1457501614131615e-13
MOGAT3,-5.2791104820926193e-14
SLC25A22,-2.2483642551918148e-17
CNPY4,0.0
TMOD2,-3.4114251950666946e-19
