,,coef
CAMSAP2,mut_important,0.0
CAMSAP2,cnv_del,0.0
CAMSAP2,cnv_amp,0.0
SSU72,mut_important,0.0
SSU72,cnv_del,0.0
SSU72,cnv_amp,0.0
ZNF114,mut_important,0.0
ZNF114,cnv_del,0.0
ZNF114,cnv_amp,0.0
CMPK1,mut_important,0.0
CMPK1,cnv_del,3.9102054927298013e-13
CMPK1,cnv_amp,0.0
TLX3,mut_important,0.0
TLX3,cnv_del,0.0
TLX3,cnv_amp,0.0
CEP97,mut_important,6.245004513516506e-17
CEP97,cnv_del,1.8769708010069053e-15
CEP97,cnv_amp,3.0531133177191805e-16
RGR,mut_important,-7.271960811294775e-15
RGR,cnv_del,1.9317880628477724e-14
RGR,cnv_amp,-4.864164626638967e-15
PNPLA5,mut_important,-1.2330414467243145e-14
PNPLA5,cnv_del,0.0
PNPLA5,cnv_amp,0.0
VAPB,mut_important,1.1340928196545974e-13
VAPB,cnv_del,0.0
VAPB,cnv_amp,0.0
AKIRIN2,mut_important,0.0
AKIRIN2,cnv_del,0.0
AKIRIN2,cnv_amp,0.0
ABCG2,mut_important,-1.0058620603103918e-13
ABCG2,cnv_del,5.0737192225369654e-14
ABCG2,cnv_amp,1.538769112130467e-13
OXSM,mut_important,0.0
OXSM,cnv_del,0.0
OXSM,cnv_amp,0.0
GK,mut_important,-3.0031532816110484e-14
GK,cnv_del,0.0
GK,cnv_amp,0.0
CCDC71L,mut_important,0.0
CCDC71L,cnv_del,0.0
CCDC71L,cnv_amp,0.0
DPF2,mut_important,0.0
DPF2,cnv_del,0.0
DPF2,cnv_amp,0.0
APPL2,mut_important,0.0
APPL2,cnv_del,0.0
APPL2,cnv_amp,0.0
CD79A,mut_important,-9.998946115530316e-15
CD79A,cnv_del,0.0
CD79A,cnv_amp,0.0
TBC1D8B,mut_important,1.539879335155092e-13
TBC1D8B,cnv_del,0.0
TBC1D8B,cnv_amp,0.0
ADCY7,mut_important,-2.4158453015843406e-12
ADCY7,cnv_del,0.0
ADCY7,cnv_amp,0.0
SHISA3,mut_important,0.0
SHISA3,cnv_del,0.0
SHISA3,cnv_amp,0.0
RAB35,mut_important,7.753797603982093e-13
RAB35,cnv_del,0.0
RAB35,cnv_amp,0.0
PNPLA2,mut_important,0.0
PNPLA2,cnv_del,3.84969833788773e-14
PNPLA2,cnv_amp,9.308109838457312e-13
FDXACB1,mut_important,0.0
FDXACB1,cnv_del,0.0
FDXACB1,cnv_amp,0.0
KRBA2,mut_important,0.0
KRBA2,cnv_del,0.0
KRBA2,cnv_amp,0.0
PLA2G6,mut_important,3.1363800445660672e-15
PLA2G6,cnv_del,0.0
PLA2G6,cnv_amp,0.0
DDX4,mut_important,3.913969842672671e-17
DDX4,cnv_del,-2.3418766925686896e-17
DDX4,cnv_amp,-2.1532255145562118e-16
OR4D2,mut_important,7.754213937616328e-16
OR4D2,cnv_del,0.0
OR4D2,cnv_amp,0.0
NISCH,mut_important,0.0
NISCH,cnv_del,0.0
