,,decision_tree_fold_0,decision_tree_fold_1,decision_tree_fold_2,decision_tree_fold_3,decision_tree_fold_4
DCAF6,mut_important,0.0,0.0,0.0,0.0,0.0
DCAF6,cnv_del,0.0,0.0,0.0,0.0,0.0
DCAF6,cnv_amp,0.0,0.0,0.0,0.0,0.0
MKLN1,mut_important,0.0,0.0,0.0,0.0,0.0
MKLN1,cnv_del,0.0,0.0,0.0,0.0,0.0
MKLN1,cnv_amp,0.0,0.0,0.0,0.0,0.0
AGA,mut_important,0.0,0.0,0.0,0.0,0.0
AGA,cnv_del,0.0,0.0,0.0,0.0,0.0
AGA,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZNF484,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF484,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF484,cnv_amp,0.0,0.0,0.0,0.0,0.0
EFNA5,mut_important,0.0,0.0,0.0,0.0,0.0
EFNA5,cnv_del,0.0,0.0,0.0,0.0,0.0
EFNA5,cnv_amp,0.0,0.0,0.0,0.0,0.0
OXSR1,mut_important,0.0,0.0,0.0,0.0,0.0
OXSR1,cnv_del,0.0,0.0,0.0,0.0,0.0
OXSR1,cnv_amp,0.0,0.0,0.0,0.0,0.0
LYRM7,mut_important,0.0,0.0,0.0,0.0,0.0
LYRM7,cnv_del,0.0,0.0,0.0,0.0,0.0
LYRM7,cnv_amp,0.0,0.0,0.0,0.0,0.0
PLD1,mut_important,0.0,0.0,0.0,0.0,0.0
PLD1,cnv_del,0.0,0.0,0.0,0.0,0.0
PLD1,cnv_amp,0.0,0.0,0.0,0.0,0.0
SLC26A8,mut_important,0.0,0.0,0.0,0.0,0.0
SLC26A8,cnv_del,0.0,0.0,0.0,0.0,0.0
SLC26A8,cnv_amp,0.0,0.0,0.0,0.0,0.0
POU3F3,mut_important,0.0,0.0,0.0,0.0,0.0
POU3F3,cnv_del,0.0,0.0,0.0,0.0,0.0
POU3F3,cnv_amp,0.0,0.0,0.0,0.0,0.0
SLC45A4,mut_important,0.0,0.0,0.0,0.0,0.0
SLC45A4,cnv_del,0.0,0.0,0.0,0.0,0.0
SLC45A4,cnv_amp,0.0,0.0,0.0,0.0,0.0
RELT,mut_important,0.0,0.0,0.0,0.0,0.0
RELT,cnv_del,0.0,0.0,0.0,0.0,0.0
RELT,cnv_amp,0.0,0.0,0.0,0.0,0.0
WSCD1,mut_important,0.0,0.0,0.0,0.0,0.0
WSCD1,cnv_del,0.0,0.0,0.0,0.0,0.0
WSCD1,cnv_amp,0.0,0.0,0.0,0.0,0.0
TRDMT1,mut_important,0.0,0.0,0.0,0.0,0.0
TRDMT1,cnv_del,0.0,0.0,0.0,0.0,0.0
TRDMT1,cnv_amp,0.0,0.0,0.0,0.0,0.0
F11R,mut_important,0.0,0.0,0.0,0.0,0.0
F11R,cnv_del,0.0,0.0,0.0,0.0,0.0
F11R,cnv_amp,0.0,0.0,0.0,0.0,0.0
ANKRD50,mut_important,0.0,0.0,0.0,0.0,0.0
ANKRD50,cnv_del,0.0,0.0,0.0,0.0,0.0
ANKRD50,cnv_amp,0.0,0.0,0.0,0.0,0.0
NKAP,mut_important,0.0,0.0,0.0,0.0,0.0
NKAP,cnv_del,0.0,0.0,0.0,0.0,0.0
NKAP,cnv_amp,0.0,0.0,0.0,0.0,0.0
RBM41,mut_important,0.0,0.0,0.0,0.0,0.0
RBM41,cnv_del,0.0,0.0,0.0,0.0,0.0
RBM41,cnv_amp,0.0,0.0,0.0,0.0,0.0
CXXC1,mut_important,0.0,0.0,0.0,0.0,0.0
