,,coef
DCAF6,mut_important,0.08180995
DCAF6,cnv_del,-0.010891603
DCAF6,cnv_amp,-0.036937717
MKLN1,mut_important,0.0
MKLN1,cnv_del,0.0
MKLN1,cnv_amp,0.0
AGA,mut_important,0.06833098
AGA,cnv_del,0.113885894
AGA,cnv_amp,-0.01985803
ZNF484,mut_important,0.0
ZNF484,cnv_del,0.0
ZNF484,cnv_amp,0.0
EFNA5,mut_important,3.226685e-06
EFNA5,cnv_del,0.00157464
EFNA5,cnv_amp,0.00013717782
OXSR1,mut_important,0.0
OXSR1,cnv_del,0.0
OXSR1,cnv_amp,0.0
LYRM7,mut_important,0.0
LYRM7,cnv_del,0.0
LYRM7,cnv_amp,0.0
PLD1,mut_important,-0.044136494
PLD1,cnv_del,0.09032605
PLD1,cnv_amp,0.25370944
SLC26A8,mut_important,0.0
SLC26A8,cnv_del,0.0
SLC26A8,cnv_amp,0.0
POU3F3,mut_important,0.0
POU3F3,cnv_del,0.0
POU3F3,cnv_amp,0.0
SLC45A4,mut_important,0.0
SLC45A4,cnv_del,0.0
SLC45A4,cnv_amp,0.0
RELT,mut_important,0.0
RELT,cnv_del,0.0
RELT,cnv_amp,0.0
WSCD1,mut_important,0.0
WSCD1,cnv_del,0.0
WSCD1,cnv_amp,0.0
TRDMT1,mut_important,0.0
TRDMT1,cnv_del,0.0
TRDMT1,cnv_amp,0.0
F11R,mut_important,0.0
F11R,cnv_del,-0.001155057
F11R,cnv_amp,-0.006813689
ANKRD50,mut_important,0.0
ANKRD50,cnv_del,0.0
ANKRD50,cnv_amp,0.0
NKAP,mut_important,0.0
NKAP,cnv_del,0.0
NKAP,cnv_amp,0.0
RBM41,mut_important,0.0
RBM41,cnv_del,0.0
RBM41,cnv_amp,0.0
CXXC1,mut_important,8.1603095e-13
CXXC1,cnv_del,0.0
CXXC1,cnv_amp,0.0
MRPL15,mut_important,0.04816082
MRPL15,cnv_del,-0.002108602
MRPL15,cnv_amp,-0.003062315
TLR3,mut_important,0.0
TLR3,cnv_del,0.08740361
TLR3,cnv_amp,-0.071316764
LIMCH1,mut_important,0.0
LIMCH1,cnv_del,0.0
LIMCH1,cnv_amp,0.0
LNX2,mut_important,0.0
LNX2,cnv_del,0.0
LNX2,cnv_amp,0.0
INA,mut_important,0.0
INA,cnv_del,0.0
INA,cnv_amp,0.0
MTMR6,mut_important,0.0033262542
MTMR6,cnv_del,0.0
MTMR6,cnv_amp,0.0
SUPV3L1,mut_important,0.0
SUPV3L1,cnv_del,0.0
SUPV3L1,cnv_amp,0.0
SIX4,mut_important,0.0
SIX4,cnv_del,0.0
SIX4,cnv_amp,0.0
ARMS2,mut_important,0.0
ARMS2,cnv_del,0.0
ARMS2,cnv_amp,0.0
OR6P1,mut_important,0.0
OR6P1,cnv_del,-0.0010082353
OR6P1,cnv_amp,0.076068014
LRSAM1,mut_important,0.20166107
LRSAM1,cnv_del,0.00772799
LRSAM1,cnv_amp,0.1999603
ERLIN1,mut_important,0.0
ERLIN1,cnv_del,4.0898163e-14
ERLIN1,cnv_amp,-6.007355e-13
WDR73,mut_important,0.0
WDR73,cnv_del,0.0
WDR73,cnv_amp,0.0
CPSF2,mut_important,-0.032197215
CPSF2,cnv_del,0.0
CPSF2,cnv_amp,0.0
INTS5,mut_important,0.0031134668
INTS5,cnv_del,0.014849359
INTS5,cnv_amp,-0.030619089
PCNP,mut_important,0.0
PCNP,cnv_del,0.0
PCNP,cnv_amp,0.0
MS4A13,mut_important,0.0
MS4A13,cnv_del,0.0
MS4A13,cnv_amp,0.0
PHOSPHO2,mut_important,0.0
PHOSPHO2,cnv_del,0.0
PHOSPHO2,cnv_amp,0.0
PLOD3,mut_important,0.0
PLOD3,cnv_del,0.0
PLOD3,cnv_amp,0.0
PTPRH,mut_important,0.0
PTPRH,cnv_del,0.0
PTPRH,cnv_amp,0.0
SOX8,mut_important,0.0
SOX8,cnv_del,0.0
SOX8,cnv_amp,0.0
NT5E,mut_important,0.0
NT5E,cnv_del,-2.2759807e-10
NT5E,cnv_amp,-9.9176384e-14
MAP4,mut_important,0.0
MAP4,cnv_del,0.0
MAP4,cnv_amp,0.0
EPHA3,mut_important,-1.80563e-05
EPHA3,cnv_del,-3.512696e-06
EPHA3,cnv_amp,3.4112574e-05
ADPGK,mut_important,0.0
ADPGK,cnv_del,0.0
ADPGK,cnv_amp,0.0
RETSAT,mut_important,8.9801e-14
RETSAT,cnv_del,1.0699184e-13
RETSAT,cnv_amp,4.7206715e-14
MBOAT7,mut_important,3.8439673e-14
MBOAT7,cnv_del,0.0
MBOAT7,cnv_amp,0.0
ZFP41,mut_important,0.0
ZFP41,cnv_del,0.0
ZFP41,cnv_amp,0.0
OR5M8,mut_important,0.0
OR5M8,cnv_del,-5.0826777e-11
OR5M8,cnv_amp,1.3674111e-09
BCL11B,mut_important,0.0
BCL11B,cnv_del,0.0
BCL11B,cnv_amp,0.0
ITFG2,mut_important,0.0
ITFG2,cnv_del,0.0
ITFG2,cnv_amp,0.0
ZNF195,mut_important,0.0
ZNF195,cnv_del,0.0
ZNF195,cnv_amp,0.0
TCP11,mut_important,0.0
TCP11,cnv_del,0.0
TCP11,cnv_amp,0.0
HSPB2,mut_important,0.0
HSPB2,cnv_del,0.0
HSPB2,cnv_amp,0.0
ZNF521,mut_important,0.02574219
ZNF521,cnv_del,0.0
ZNF521,cnv_amp,0.0
PPP6R3,mut_important,0.0
PPP6R3,cnv_del,0.0
PPP6R3,cnv_amp,0.0
CYYR1,mut_important,0.0
CYYR1,cnv_del,0.0
CYYR1,cnv_amp,0.0
RABGGTB,mut_important,0.0
RABGGTB,cnv_del,0.044137694
RABGGTB,cnv_amp,0.059820924
ANXA4,mut_important,0.0
ANXA4,cnv_del,0.0
ANXA4,cnv_amp,0.0
CYP27C1,mut_important,0.0
CYP27C1,cnv_del,0.0
CYP27C1,cnv_amp,0.0
MOB1A,mut_important,0.0
MOB1A,cnv_del,6.756532e-12
MOB1A,cnv_amp,2.1765752e-13
PABPC5,mut_important,0.0
PABPC5,cnv_del,0.0
PABPC5,cnv_amp,0.0
COMMD10,mut_important,0.0
COMMD10,cnv_del,0.0044970135
COMMD10,cnv_amp,0.0073396824
SNX25,mut_important,0.0
SNX25,cnv_del,0.0
SNX25,cnv_amp,0.0
RCCD1,mut_important,0.0
RCCD1,cnv_del,0.0
RCCD1,cnv_amp,0.0
UNC5CL,mut_important,0.0
UNC5CL,cnv_del,0.0
UNC5CL,cnv_amp,0.0
PDCD11,mut_important,-3.724207e-07
PDCD11,cnv_del,-1.9614397e-07
PDCD11,cnv_amp,-2.8707302e-07
SIDT1,mut_important,0.0
SIDT1,cnv_del,0.0
SIDT1,cnv_amp,0.0
RAB43,mut_important,0.00023492229
RAB43,cnv_del,0.0001906456
RAB43,cnv_amp,0.0031360986
EIF2A,mut_important,0.0
EIF2A,cnv_del,0.0
EIF2A,cnv_amp,0.0
OR6X1,mut_important,-0.00027145795
OR6X1,cnv_del,0.0
OR6X1,cnv_amp,0.0
SLC39A9,mut_important,0.0
SLC39A9,cnv_del,0.0
SLC39A9,cnv_amp,0.0
CCR4,mut_important,0.049728256
CCR4,cnv_del,0.020739537
CCR4,cnv_amp,0.09948456
CD101,mut_important,0.0
CD101,cnv_del,0.0
CD101,cnv_amp,0.0
APOBEC3F,mut_important,0.0
APOBEC3F,cnv_del,0.0
APOBEC3F,cnv_amp,0.0
RAG2,mut_important,0.0
RAG2,cnv_del,2.4315969e-13
RAG2,cnv_amp,8.2341326e-14
KCTD6,mut_important,0.013218813
KCTD6,cnv_del,0.47823846
KCTD6,cnv_amp,-0.059019227
KAT2A,mut_important,0.0688041
KAT2A,cnv_del,0.0
KAT2A,cnv_amp,0.0
FZR1,mut_important,-0.0059678936
FZR1,cnv_del,0.0
FZR1,cnv_amp,0.0
PEX6,mut_important,0.0
PEX6,cnv_del,0.0
PEX6,cnv_amp,0.0
TBX19,mut_important,0.0
TBX19,cnv_del,0.0
TBX19,cnv_amp,0.0
SORL1,mut_important,0.0661405
SORL1,cnv_del,0.0
SORL1,cnv_amp,0.0
ROCK1,mut_important,-0.08513194
ROCK1,cnv_del,0.0
ROCK1,cnv_amp,0.0
KLHDC1,mut_important,0.0
KLHDC1,cnv_del,0.0
KLHDC1,cnv_amp,0.0
PRPF38B,mut_important,0.0
PRPF38B,cnv_del,0.0
PRPF38B,cnv_amp,0.0
RFC5,mut_important,3.121082e-07
RFC5,cnv_del,0.0
RFC5,cnv_amp,0.0
CTNNA2,mut_important,1.702183e-13
CTNNA2,cnv_del,5.6660118e-14
CTNNA2,cnv_amp,-1.5337203e-13
DGAT2,mut_important,-4.7218265e-16
DGAT2,cnv_del,-3.7525165e-15
DGAT2,cnv_amp,-4.855615e-14
UPK1B,mut_important,0.0
UPK1B,cnv_del,0.0
UPK1B,cnv_amp,0.0
FARS2,mut_important,2.4561075e-05
FARS2,cnv_del,9.983482e-05
FARS2,cnv_amp,-2.9689852e-06
NUCB1,mut_important,0.0
NUCB1,cnv_del,0.0
NUCB1,cnv_amp,0.0
NOS1AP,mut_important,0.0
NOS1AP,cnv_del,0.0
NOS1AP,cnv_amp,0.0
PIGC,mut_important,1.3940695e-17
PIGC,cnv_del,-2.1471242e-16
PIGC,cnv_amp,4.104379e-17
MCPH1,mut_important,0.047823496
MCPH1,cnv_del,-0.17658868
MCPH1,cnv_amp,0.44394603
PMP22,mut_important,0.0
PMP22,cnv_del,0.0
PMP22,cnv_amp,0.0
LRRC15,mut_important,0.0
LRRC15,cnv_del,0.0
LRRC15,cnv_amp,0.0
BBS9,mut_important,-1.2268263e-21
BBS9,cnv_del,3.4123504e-23
BBS9,cnv_amp,2.4841187e-21
AIMP1,mut_important,0.0
AIMP1,cnv_del,-6.121291e-13
AIMP1,cnv_amp,3.935439e-14
UBE2V1,mut_important,-0.087334484
UBE2V1,cnv_del,0.0
UBE2V1,cnv_amp,0.0
QSER1,mut_important,0.0
QSER1,cnv_del,0.0
QSER1,cnv_amp,0.0
UTP15,mut_important,-2.7748925e-14
UTP15,cnv_del,-1.2864684e-11
UTP15,cnv_amp,-7.845977e-14
ZNF227,mut_important,0.0
ZNF227,cnv_del,0.0
ZNF227,cnv_amp,0.0
NEURL4,mut_important,0.0
NEURL4,cnv_del,0.0
NEURL4,cnv_amp,0.0
GFPT2,mut_important,0.0
GFPT2,cnv_del,0.0
GFPT2,cnv_amp,0.0
RIT1,mut_important,-3.5938345e-05
RIT1,cnv_del,0.0
RIT1,cnv_amp,-0.0005009917
SEMA3G,mut_important,0.0
SEMA3G,cnv_del,0.0
SEMA3G,cnv_amp,0.0
ELK3,mut_important,0.0
ELK3,cnv_del,0.0
ELK3,cnv_amp,0.0
POLR2B,mut_important,-0.089804165
POLR2B,cnv_del,-0.02245737
POLR2B,cnv_amp,0.09165274
NKX2-5,mut_important,0.0
NKX2-5,cnv_del,0.0
NKX2-5,cnv_amp,0.0
XYLT1,mut_important,1.588394e-14
XYLT1,cnv_del,0.0
XYLT1,cnv_amp,0.0
CDRT4,mut_important,0.0
CDRT4,cnv_del,0.0
CDRT4,cnv_amp,0.0
DHRS2,mut_important,0.0
DHRS2,cnv_del,0.0
DHRS2,cnv_amp,0.0
ANKRD34A,mut_important,0.0
ANKRD34A,cnv_del,0.0
ANKRD34A,cnv_amp,0.0
CRYBG3,mut_important,0.0
CRYBG3,cnv_del,0.0
CRYBG3,cnv_amp,0.0
FAM69A,mut_important,0.0
FAM69A,cnv_del,0.0
FAM69A,cnv_amp,0.0
ITGB5,mut_important,0.002231943
ITGB5,cnv_del,0.001659601
ITGB5,cnv_amp,-0.0016743409
LCE1E,mut_important,0.0024429932
LCE1E,cnv_del,-0.00051413325
LCE1E,cnv_amp,0.0033658943
BCL9L,mut_important,0.0001615348
BCL9L,cnv_del,-4.394785e-05
BCL9L,cnv_amp,-4.5339977e-05
MTMR3,mut_important,0.0029745596
MTMR3,cnv_del,0.0
MTMR3,cnv_amp,0.0
ARHGAP8,mut_important,-0.0028675545
ARHGAP8,cnv_del,0.0
ARHGAP8,cnv_amp,0.0
GPATCH1,mut_important,0.0
GPATCH1,cnv_del,0.0
GPATCH1,cnv_amp,0.0
PARS2,mut_important,-1.149846e-07
PARS2,cnv_del,5.6535905e-06
PARS2,cnv_amp,4.848093e-06
RRAD,mut_important,0.0
RRAD,cnv_del,0.0
RRAD,cnv_amp,0.0
RAD9B,mut_important,0.0
RAD9B,cnv_del,0.0
RAD9B,cnv_amp,0.0
LAPTM4B,mut_important,0.0
LAPTM4B,cnv_del,0.0
LAPTM4B,cnv_amp,0.0
GTF3C3,mut_important,0.0123956185
GTF3C3,cnv_del,5.749933e-05
GTF3C3,cnv_amp,-0.01747585
GNB2,mut_important,0.0
GNB2,cnv_del,0.6503136
GNB2,cnv_amp,0.0558373
AXL,mut_important,0.0
AXL,cnv_del,0.0
AXL,cnv_amp,0.0
RNF121,mut_important,0.0
RNF121,cnv_del,0.0
RNF121,cnv_amp,0.0
FICD,mut_important,0.0
FICD,cnv_del,0.0
FICD,cnv_amp,0.0
HTN3,mut_important,0.0
HTN3,cnv_del,0.0
HTN3,cnv_amp,0.0
ACCS,mut_important,0.0
ACCS,cnv_del,0.0
ACCS,cnv_amp,0.0
GBP1,mut_important,0.0
GBP1,cnv_del,0.0
GBP1,cnv_amp,0.0
LHFPL2,mut_important,0.0043219477
LHFPL2,cnv_del,0.118898645
LHFPL2,cnv_amp,-0.009434648
GRID2,mut_important,0.0
GRID2,cnv_del,0.0
GRID2,cnv_amp,0.0
PXMP2,mut_important,0.0
PXMP2,cnv_del,0.0
PXMP2,cnv_amp,0.0
SAMD12,mut_important,0.0
SAMD12,cnv_del,0.0
SAMD12,cnv_amp,0.0
C1GALT1,mut_important,0.0
C1GALT1,cnv_del,0.0
C1GALT1,cnv_amp,0.0
SLC2A8,mut_important,-4.7981416e-08
SLC2A8,cnv_del,1.0373662e-06
SLC2A8,cnv_amp,1.4060735e-06
TECPR1,mut_important,0.0
TECPR1,cnv_del,0.0
