,coef
R-HSA-8963676,9.182646e-08
R-HSA-917937,0.027356373
R-HSA-983712,0.0032305268
R-HSA-112315,0.14157346
R-HSA-2028269,-1.3723526e-07
R-HSA-2564830,-1.2160975e-06
R-HSA-2173782,-2.4509629e-05
R-HSA-75892,0.00029681122
R-HSA-3247509,5.7647586
R-HSA-75067,1.37547195e-05
R-HSA-927802,0.066625096
R-HSA-174824,-0.0005294584
R-HSA-1632852,0.001956036
R-HSA-72312,-0.089485034
R-HSA-1368082,1.8151384e-07
R-HSA-157118,0.7348508
R-HSA-202131,0.0010825144
R-HSA-5358508,-2.5635329e-08
R-HSA-5683057,0.01856807
R-HSA-5223345,0.0
R-HSA-5682910,1.6984703e-05
R-HSA-5423599,-8.573932e-05
R-HSA-6794362,0.05219221
R-HSA-381340,0.0011598384
R-HSA-8949215,1.49970765e-05
R-HSA-5205685,9.952706e-10
R-HSA-5696398,6.579772e-09
R-HSA-525793,0.0
R-HSA-73884,-3.0440695e-15
R-HSA-422475,0.24901956
R-HSA-1362409,0.0
R-HSA-1187000,-2.9289289e-09
R-HSA-75072,-6.367353e-09
R-HSA-189445,7.686352e-12
R-HSA-1566948,0.0
R-HSA-1592230,-1.1376309e-05
R-HSA-1475029,0.0
R-HSA-75944,0.0
R-HSA-202733,0.0035941554
R-HSA-3000157,0.033466272
R-HSA-391160,-0.0035404565
R-HSA-3000171,-7.4091173e-09
R-HSA-9006934,4.379216
R-HSA-211000,0.24143715
R-HSA-5683826,0.011882962
R-HSA-73893,-2.1894714e-07
R-HSA-5358351,7.5041303e-06
R-HSA-163685,0.33529067
R-HSA-445717,0.018554492
R-HSA-112307,-8.1622735e-09
R-HSA-446728,0.005548686
R-HSA-73857,42.918205
R-HSA-165159,-0.00010428562
R-HSA-1181150,-1.0253804e-07
R-HSA-5663205,6.8464394
R-HSA-556833,3.5240517
R-HSA-597592,37.968098
R-HSA-1480926,2.0640484e-06
R-HSA-381426,9.742601e-05
R-HSA-1474228,0.009401132
R-HSA-452723,0.0
R-HSA-5619115,2.4791611e-06
R-HSA-5619507,4.5553684
R-HSA-5617833,0.0057953806
R-HSA-69278,10.256149
R-HSA-1483249,2.8357086
R-HSA-212165,0.36512804
R-HSA-69239,0.00018826935
R-HSA-429914,5.4073626e-06
R-HSA-194315,24.947649
R-HSA-445355,0.007861584
R-HSA-1368071,-2.6337885e-08
R-HSA-73887,0.4173728
R-HSA-71387,-9.071953e-05
R-HSA-1268020,0.0004550688
R-HSA-195721,3.6321385
R-HSA-72766,5.0905747
R-HSA-418346,0.13595894
R-HSA-5218859,1.8253308e-08
R-HSA-9006927,0.00028652002
R-HSA-372790,13.312885
R-HSA-5663202,11.599951
R-HSA-69620,0.19006786
R-HSA-428359,0.00046466652
R-HSA-73886,0.001330331
R-HSA-8981607,0.0
R-HSA-74158,2.731832
R-HSA-15869,4.288353e-09
R-HSA-450531,0.0005621597
R-HSA-6805567,8.97482
R-HSA-72086,-2.3076875e-06
R-HSA-1280218,26.043541
R-HSA-140877,-9.969801e-07
R-HSA-73864,0.063284
R-HSA-2980736,0.3614115
R-HSA-5668914,3.3756944e-06
R-HSA-3000178,-9.678033e-06
R-HSA-8934903,1.3904331e-06
R-HSA-75205,-1.2933059e-05
R-HSA-9006921,-3.884577e-07
R-HSA-390522,0.03453236
R-HSA-72203,0.030670661
R-HSA-73942,-2.0104158e-09
R-HSA-1368108,9.168842e-08
R-HSA-425407,0.0056202393
R-HSA-381119,-1.5094041e-05
R-HSA-5260271,4.007621e-09
R-HSA-1280215,6.9386706
R-HSA-3781865,2.405911
R-HSA-196854,0.0058270525
R-HSA-71737,0.00015728755
R-HSA-5576891,0.0004984736
R-HSA-1500620,-5.1434767e-05
R-HSA-68874,-0.005077377
R-HSA-382556,-6.6211676e-09
R-HSA-373753,0.014021094
R-HSA-109581,0.9569833
R-HSA-8935690,1.1098598e-10
R-HSA-71291,-0.00023854706
R-HSA-199991,15.112723
R-HSA-6783310,6.008977e-08
R-HSA-5676934,0.0
R-HSA-211859,0.0014491061
R-HSA-9006936,0.19791867
R-HSA-168249,15.607317
R-HSA-9006925,14.355982
R-HSA-76002,1.8282431
R-HSA-9006931,2.2234595
R-HSA-5693532,-0.00018889742
R-HSA-5660526,-6.407226e-06
R-HSA-2161522,3.5227033e-11
R-HSA-8941237,0.0004300526
R-HSA-391251,0.27801856
R-HSA-1296071,4.2492553e-07
R-HSA-216083,0.013233
R-HSA-1428517,-1.8839752e-09
R-HSA-8863678,7.425705e-07
R-HSA-194441,-1.6273889e-07
R-HSA-186712,3.7119892e-07
R-HSA-983231,0.009759218
R-HSA-2586552,0.0001859099
R-HSA-9033241,0.0
R-HSA-1566977,0.0
R-HSA-72306,-6.208717e-07
R-HSA-2262752,27.295197
R-HSA-977225,-5.9467865e-08
