,coef
R-HSA-1296059,2.3826684e-11
R-HSA-8951664,8.592937
R-HSA-9604323,0.030407561
R-HSA-5682113,0.0
R-HSA-1368082,1.100374e-06
R-HSA-6807505,0.3663123
R-HSA-73980,0.0014394716
R-HSA-5661182,0.0
R-HSA-9010553,0.00511281
R-HSA-2395516,-3.5896928e-11
R-HSA-168638,-3.6454799e-06
R-HSA-5678520,0.0
R-HSA-5696397,-5.091495e-12
R-HSA-5669034,1.375646e-08
R-HSA-75105,1.2323235e-09
R-HSA-181430,0.00067979156
R-HSA-4641257,0.0009274819
R-HSA-727802,-1.9156403e-07
R-HSA-5579011,0.0
R-HSA-5579032,0.0
R-HSA-1296052,8.750635e-08
R-HSA-8849470,0.00066776533
R-HSA-72764,-0.024796154
R-HSA-5603041,-4.6863097e-14
R-HSA-4720454,0.0
R-HSA-190828,4.823243e-09
R-HSA-111471,9.434261e-10
R-HSA-1299316,0.0
R-HSA-6802955,6.276403e-06
R-HSA-5419276,0.00011247516
R-HSA-2473224,3.4917778e-07
R-HSA-6802948,3.3361753e-06
R-HSA-6784531,-3.7740475e-07
R-HSA-933542,-0.00052172947
R-HSA-9013695,0.35311106
R-HSA-5221030,2.989646e-08
R-HSA-191650,-3.9755014e-12
R-HSA-168799,3.502511e-05
R-HSA-3371511,-0.0017464852
R-HSA-5083635,0.30839518
R-HSA-8874211,-1.4868144e-13
R-HSA-1912420,0.0174484
R-HSA-936837,4.597929e-10
R-HSA-8854691,7.143918e-05
R-HSA-418990,0.0
R-HSA-8876493,-3.7020758e-08
R-HSA-75892,-3.2160147e-05
R-HSA-1855156,0.0
R-HSA-2978092,-7.349175e-12
R-HSA-112122,0.0
R-HSA-5579000,0.0
R-HSA-425381,0.0
R-HSA-5603037,-1.011751e-14
R-HSA-75109,1.3412586e-05
R-HSA-3560796,0.0
R-HSA-196791,0.31422356
R-HSA-1250347,-2.6461764e-08
R-HSA-8957275,1.6722273e-06
R-HSA-4641262,0.09059508
R-HSA-5693567,0.28093162
R-HSA-8862803,0.00030967957
R-HSA-5620912,0.062277496
R-HSA-5579015,0.0
R-HSA-2564830,-2.2203158e-11
R-HSA-4724325,0.0
R-HSA-1989781,0.04248452
R-HSA-5619111,0.0
R-HSA-450604,8.603203e-06
R-HSA-1300645,0.0
R-HSA-110357,8.208051e-09
R-HSA-8955332,0.35703272
R-HSA-5578749,0.018611548
R-HSA-400685,0.010454452
R-HSA-8853383,4.1317107e-06
R-HSA-5357905,1.540753e-08
R-HSA-1614603,5.8115813e-12
R-HSA-5619041,0.0
R-HSA-140834,0.0
R-HSA-3371453,0.4137263
R-HSA-5619044,0.0
R-HSA-68877,5.870705
R-HSA-5673001,0.5158237
R-HSA-917977,-1.1040898e-07
R-HSA-4793954,0.0
R-HSA-156590,1.538295e-08
R-HSA-2408557,-0.00049550674
R-HSA-8941237,6.0666866e-06
R-HSA-110312,-2.0054232e-09
R-HSA-5696400,-1.5888276e-08
R-HSA-399997,-1.4589802e-09
R-HSA-156827,0.13980657
R-HSA-5579026,-1.9182888e-11
R-HSA-3642278,-7.619489e-10
R-HSA-210993,0.0024453092
R-HSA-3295583,-1.5789099e-05
R-HSA-71064,0.0
R-HSA-5619078,0.0
R-HSA-112409,4.0724893e-12
R-HSA-5678420,0.0
R-HSA-429947,6.1467406e-05
R-HSA-451927,0.116093196
R-HSA-5683329,0.0
R-HSA-445144,-0.0072275354
R-HSA-446343,0.0
R-HSA-8934903,-4.8076576e-08
R-HSA-3560792,0.0
R-HSA-71288,6.050038e-09
R-HSA-400511,1.4890861e-07
R-HSA-156581,0.0014248027
R-HSA-75108,-3.812335e-12
R-HSA-379716,-0.00010840499
R-HSA-8849468,-1.29444025e-11
R-HSA-5619083,0.0
R-HSA-1369062,-2.198087e-05
R-HSA-4755579,0.0
R-HSA-354194,-0.0021671164
R-HSA-2214320,0.0
R-HSA-5576894,-3.808605e-07
R-HSA-4839735,0.3153451
R-HSA-611105,-3.758111e-07
R-HSA-4717374,0.0
R-HSA-5621480,2.512152
R-HSA-69656,-5.68531e-06
R-HSA-3700989,13.653416
R-HSA-76071,-0.0023549325
R-HSA-5656169,2.9804958e-06
R-HSA-204626,-2.3315655e-11
R-HSA-2559585,3.090718
R-HSA-5609977,0.0
R-HSA-2161517,-2.1755294e-08
R-HSA-983170,1.0381883
R-HSA-426117,0.0
R-HSA-1855231,0.0
R-HSA-6798695,20.360216
R-HSA-162791,-8.134477e-10
R-HSA-2197563,0.18454273
R-HSA-399721,0.00645004
R-HSA-5674400,0.31542248
R-HSA-392851,0.005931925
R-HSA-5632987,-2.2304745e-09
R-HSA-73817,6.2323084e-11
R-HSA-422085,1.9644752e-07
R-HSA-196299,0.031821888
R-HSA-68884,9.353649e-14
R-HSA-8964011,0.0
R-HSA-114294,0.0
R-HSA-2691230,0.016549021
R-HSA-8937144,-3.6285477e-09
R-HSA-5689901,-0.040992096
R-HSA-69275,6.61651
R-HSA-5619108,0.0
R-HSA-196807,9.19824e-05
