elementName,No1Coef,No2Coef,No3Coef,No4Coef,No5Coef,No6Coef,No7Coef,No8Coef,No9Coef,No10Coef,AvgCoef,MaxCoef,MinCoef,DiffMaxMinCoef,Variance,Std
R-HSA-3700989,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0
R-HSA-69206,1,1,1,1,4,6,11,1,1,1,2.8,11,1,10,10.159999999999998,3.1874754901018454
R-HSA-2173793,2,2,3,4,11,7,2,2,12,2,4.7,12,2,10,13.809999999999999,3.716180835212409
R-HSA-5663213,3,5,2,5,5,3,3,5,8,6,4.5,8,2,6,2.85,1.6881943016134133
R-HSA-168164,4,4,11,9,8,9,8,11,6,15,8.5,15,4,11,10.25,3.2015621187164243
R-HSA-8878159,5,6,5,2,1,1,1,3,4,4,3.2,6,1,5,3.16,1.7776388834631178
R-HSA-1632852,6,42,4,3,3,4,6,17,2,5,9.2,42,2,40,135.76,11.651609330903607
R-HSA-5689603,7,3,6,7,13,10,9,6,7,10,7.8,13,3,10,6.960000000000001,2.638181191654584
R-HSA-418555,8,15,22,6,10,5,15,13,17,38,14.9,38,5,33,84.09,9.170059977993601
R-HSA-2559585,9,19,15,14,25,56,16,12,9,27,20.2,56,9,47,175.35999999999999,13.242356285797479
R-HSA-390471,10,40,28,1020,28,117,69,44,94,16,146.6,1020,10,1010,85823.04,292.95569630918595
R-HSA-5689896,11,8,13,8,12,2,10,4,5,3,7.6,13,2,11,13.84,3.7202150475476548
R-HSA-1236975,12,12,18,25,16,14,13,16,13,20,15.9,25,12,13,15.489999999999998,3.935733730830885
R-HSA-2559580,13,69,54,1015,35,27,84,47,18,40,140.2,1015,13,1002,85465.35999999999,292.3445911933381
R-HSA-5663220,14,9,9,13,48,8,5,8,14,21,14.9,48,5,43,140.09,11.835962149314266
R-HSA-381340,15,13,12,24,6,22,4,18,20,48,18.2,48,4,44,136.56,11.685888926393234
R-HSA-176187,16,21,17,29,24,25,94,84,37,7,35.4,94,7,87,780.64,27.939935576160515
R-HSA-68949,17,10,23,22,7,16,12,36,11,18,17.2,36,7,29,63.35999999999999,7.959899496852959
R-HSA-8948216,18,45,7,11,9,48,17,31,22,23,23.1,48,7,41,183.08999999999997,13.531075345293145
R-HSA-4086398,19,24,8,15,168,28,31,9,16,14,33.2,168,8,160,2070.5600000000004,45.50340646589001
R-HSA-3371453,20,33,62,16,37,20,25,34,46,17,31.0,62,16,46,193.4,13.906832852953976
R-HSA-1234174,21,28,91,26,22,19,28,43,49,35,36.2,91,19,72,418.15999999999997,20.448960853794013
R-HSA-166016,22,41,973,222,52,1007,50,61,198,81,270.7,1007,22,985,133413.21,365.2577309243433
R-HSA-2029482,23,16,16,28,32,52,20,56,29,13,28.5,56,13,43,197.65,14.058805070133095
R-HSA-1169410,24,34,25,64,18,23,38,21,35,11,29.3,64,11,53,195.21000000000004,13.971757226634022
R-HSA-1168372,25,20,51,21,29,15,985,15,15,42,121.8,985,15,970,82921.96,287.9617335688893
R-HSA-5389840,26,65,1004,89,73,191,107,23,25,1005,260.8,1005,23,982,140510.96000000002,374.8479158272059
