elementName,No1Coef,No2Coef,No3Coef,No4Coef,No5Coef,No6Coef,No7Coef,No8Coef,No9Coef,No10Coef,AvgCoef,MaxCoef,MinCoef,DiffMaxMinCoef,Variance,Std
R-HSA-1632852,0,1,0,2,0,3,2,2,8,0,1.8,8,0,8,5.360000000000001,2.3151673805580453
R-HSA-9006925,1,8,2,1,1,0,4,1,0,1,1.9,8,0,8,5.29,2.3
R-HSA-9006934,2,0,1,0,10,2,1,4,37,3,6.0,37,0,37,114.4,10.69579356569675
R-HSA-5663205,3,5,3,7,6,1,6,7,5,2,4.5,7,1,6,4.05,2.0124611797498106
R-HSA-1280215,4,4,9,16,7,6,9,11,2,38,10.6,38,2,36,98.03999999999999,9.90151503558925
R-HSA-391251,5,7,21,3,8,4,3,8,1,26,8.6,26,1,25,61.43999999999998,7.838367176906169
R-HSA-556833,6,17,11,18,18,10,20,12,14,13,13.9,20,6,14,17.089999999999996,4.1340053217188775
R-HSA-73864,7,28,18,29,35,23,18,13,27,15,21.3,35,7,28,66.21000000000001,8.136952746575343
R-HSA-1474290,8,12,6,12,19,5,14,6,3,11,9.6,19,3,16,21.44,4.6303347611160905
R-HSA-9006936,9,20,12,15,2,27,17,47,20,17,18.6,47,2,45,131.04000000000002,11.447270417003349
R-HSA-381426,10,21,17,19,17,19,32,131,55,9,33.0,131,9,122,1224.2,34.9885695620727
R-HSA-212165,11,14,26,132,24,25,15,15,13,125,40.0,132,11,121,1986.2,44.56680378936771
R-HSA-977225,12,29,14,20,48,18,19,26,24,14,22.4,48,12,36,100.04,10.00199980003999
R-HSA-9033241,13,27,24,41,45,33,29,35,41,23,31.1,45,13,32,87.28999999999999,9.342911751697113
R-HSA-165159,14,16,5,5,27,22,34,16,34,20,19.3,34,5,29,95.80999999999999,9.788258272031852
R-HSA-381340,15,6,8,127,3,11,0,10,29,8,21.7,127,0,127,1288.01,35.88885620913545
R-HSA-72203,16,122,92,129,28,124,107,25,33,33,70.9,129,16,113,2038.8899999999999,45.154069584036385
R-HSA-5683826,17,23,22,24,33,37,16,40,12,36,26.0,40,12,28,87.2,9.338094023943002
R-HSA-5696398,18,36,25,42,51,53,44,28,17,54,36.8,54,17,37,180.16,13.422369388450013
R-HSA-1268020,19,22,28,23,21,20,53,19,28,28,26.1,53,19,34,92.49,9.61717214153932
R-HSA-73887,20,11,36,22,11,12,7,9,6,19,15.3,36,6,30,75.21,8.672369918309528
R-HSA-381119,21,24,20,25,23,31,21,20,21,32,23.8,32,20,12,17.36,4.166533331199932
R-HSA-5683057,22,9,7,17,22,13,5,18,15,7,13.5,22,5,17,35.65,5.9707620954112715
