elementName,No1Coef,No2Coef,No3Coef,No4Coef,No5Coef,No6Coef,No7Coef,No8Coef,No9Coef,No10Coef,AvgCoef,MaxCoef,MinCoef,DiffMaxMinCoef,Variance,Std
R-HSA-69306,0,0,0,1,11,11,3,1,0,0,2.7,11,0,11,18.01,4.243819034784589
R-HSA-397014,1,11,1,19,2,0,14,5,17,3,7.3,19,0,19,47.41,6.8854919940408035
R-HSA-1474165,2,9,3,8,4,14,15,10,7,6,7.8,15,2,13,17.16,4.142463035441596
R-HSA-109582,3,17,15,11,18,19,10,19,19,14,14.5,19,3,16,24.45,4.944694126030447
R-HSA-8963743,4,6,9,6,7,16,4,8,9,10,7.9,16,4,12,11.09,3.3301651610693423
R-HSA-5205647,5,5,7,5,6,6,5,6,8,7,6.0,8,5,3,1.0,1.0
R-HSA-400253,6,13,11,7,5,15,7,9,3,8,8.4,15,3,12,12.24,3.4985711369071804
R-HSA-1500931,7,8,12,4,13,8,12,3,5,18,9.0,18,3,15,19.8,4.449719092257398
R-HSA-1474244,8,4,5,13,9,2,11,16,6,11,8.5,16,2,14,17.05,4.129164564412516
R-HSA-1430728,9,7,10,18,15,13,16,13,16,12,12.9,18,7,11,10.889999999999999,3.3
R-HSA-1852241,10,10,8,12,12,3,6,11,10,5,8.7,12,3,9,8.61,2.9342801502242417
R-HSA-4839726,11,2,4,0,1,1,1,0,12,19,5.1,19,0,19,38.89,6.236184731067546
R-HSA-5357801,12,3,6,3,0,7,2,4,1,2,4.0,12,0,12,11.2,3.3466401061363023
R-HSA-382551,13,18,19,15,16,17,9,18,18,15,15.8,19,9,10,8.16,2.85657137141714
R-HSA-73894,14,14,18,2,8,10,0,12,11,1,9.0,18,0,18,34.0,5.830951894845301
R-HSA-1266738,15,1,14,16,3,4,8,15,13,9,9.8,16,1,15,28.160000000000004,5.30659966456864
R-HSA-8953854,16,15,17,17,14,18,18,7,15,4,14.1,18,4,14,20.490000000000002,4.52658811910251
R-HSA-112316,17,12,13,10,10,9,13,14,2,16,11.6,17,2,15,16.240000000000002,4.029888335921977
R-HSA-5653656,18,20,16,9,19,12,17,17,4,17,14.9,20,4,16,22.89,4.784349485562275
R-HSA-1640170,19,16,2,14,17,5,19,2,14,13,12.1,19,2,17,39.690000000000005,6.300000000000001
R-HSA-1643685,20,19,20,20,20,20,20,20,20,20,19.9,20,19,1,0.08999999999999998,0.3
R-HSA-168256,21,22,21,22,22,22,21,23,21,21,21.6,23,21,2,0.44000000000000006,0.66332495807108
R-HSA-392499,22,21,22,21,21,23,22,21,22,23,21.8,23,21,2,0.5600000000000002,0.7483314773547883
R-HSA-74160,23,23,24,23,24,21,23,24,24,24,23.3,24,21,3,0.8100000000000002,0.9000000000000001
R-HSA-162582,24,24,23,24,23,25,24,22,23,22,23.4,25,22,3,0.8400000000000001,0.9165151389911681
R-HSA-8953897,25,25,25,25,25,24,25,25,25,25,24.9,25,24,1,0.08999999999999998,0.3
