elementName,No1Coef,No2Coef,No3Coef,No4Coef,No5Coef,No6Coef,No7Coef,No8Coef,No9Coef,No10Coef,AvgCoef,MaxCoef,MinCoef,DiffMaxMinCoef,Variance,Std
TP53-mut_important,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0
PTEN-cnv_del,1,1,1,1,1,1,1,1,1,1,1.0,1,1,0,0.0,0.0
PTEN-mut_important,2,2,2,2,2,2,2,2,2,2,2.0,2,2,0,0.0,0.0
AR-mut_important,3,3,3,3,3,4,3,3,3,3,3.1,4,3,1,0.09,0.3
AR-cnv_amp,4,4,4,4,4,5,4,5,4,5,4.3,5,4,1,0.21000000000000002,0.45825756949558405
MUC16-mut_important,5,5,5,5,6,3,5,4,5,4,4.7,6,3,3,0.61,0.7810249675906654
CUL1-cnv_amp,6,9,8,6,8,6,9,6,7,7,7.2,9,6,3,1.36,1.1661903789690602
PSMD2-cnv_amp,7,6,7,9,7,10,6,8,6,6,7.2,10,6,4,1.7600000000000002,1.32664991614216
RB1-cnv_del,8,7,6,7,5,9,8,7,10,8,7.5,10,5,5,1.85,1.3601470508735443
HEY1-cnv_amp,9,15,14,8,21,11,11,9,49,9,15.6,49,8,41,137.83999999999997,11.740528097151337
UBE2W-cnv_amp,10,12,10,13,17,12,12,10,9,12,11.7,17,9,8,4.61,2.147091055358389
RPL7-cnv_amp,11,20,9,18,9,8,7,11,19,21,13.3,21,7,14,27.410000000000004,5.23545604508337
PSMD1-mut_important,12,10,13,14,10,7,13,12,8,10,10.9,14,7,7,4.6899999999999995,2.1656407827707715
MYC-cnv_amp,13,25,24,15,20,59,31,18,25,26,25.6,59,13,46,150.84,12.281693694275232
OBSCN-mut_important,14,14,16,11,15,16,20,16,14,17,15.3,20,11,9,5.01,2.238302928559939
PSMB7-cnv_amp,15,16,15,26,18,15,15,17,15,11,16.3,26,11,15,13.41,3.661966684720111
TP53-cnv_del,16,11,20,12,13,22,26,19,12,16,16.7,26,11,15,22.21,4.712748667179271
ARHGAP39-cnv_amp,17,28,26,16,31,63,27,29,18,32,28.7,63,16,47,161.60999999999999,12.712592182556632
ZBTB16-cnv_del,18,22,17,25,24,17,16,22,16,18,19.5,25,16,9,10.45,3.2326459750489227
PIK3CA-cnv_amp,19,18,21,19,16,24,28,21,24,23,21.3,28,16,12,11.21,3.3481338085566414
PIK3R1-cnv_del,20,42,33,32,30,48,32,34,36,42,34.9,48,20,28,54.089999999999996,7.354590403278758
MDM2-cnv_amp,21,17,11,24,11,14,14,13,21,15,16.1,24,11,13,18.29,4.27668095606862
NCOA2-cnv_amp,22,13,27,20,14,21,18,25,41,13,21.4,41,13,28,63.839999999999996,7.989993742175272
KMT2D-mut_important,23,8,12,10,12,13,10,14,11,14,12.7,23,8,15,15.01,3.874274125562103
FBXO32-cnv_amp,24,24,25,22,25,19,50,35,13,20,25.7,50,13,37,93.61,9.675226095549396
PABPC1-cnv_amp,25,36,18,23,29,30,17,15,42,44,27.9,44,15,29,94.49,9.7205966895042
AP2M1-cnv_amp,26,45,43,52,50,27,43,43,77,53,45.9,77,26,51,185.08999999999997,13.604778572251735
CARD11-cnv_amp,27,27,34,35,27,26,36,41,26,28,30.7,41,26,15,25.610000000000003,5.060632371551998
RAC1-cnv_amp,28,21,29,27,32,20,22,28,28,24,25.9,32,20,12,13.889999999999997,3.7269290307168443
PIK3R1-mut_important,29,39,39,37,35,41,40,42,31,51,38.4,51,29,22,33.839999999999996,5.817215828899594
APC-cnv_del,30,26,38,21,40,18,23,24,22,19,26.1,40,18,22,52.29,7.23118247591637
MDM4-cnv_amp,31,19,23,29,22,32,21,23,30,27,25.7,32,19,13,19.41,4.405678154382138
APH1A-cnv_amp,32,41,42,17,64,23,24,20,40,22,32.5,64,17,47,188.05,13.713132391981054
EIF4G1-cnv_amp,33,32,19,40,41,36,25,37,20,56,33.9,56,19,37,108.89000000000001,10.435037134576955
ZNF521-mut_important,34,33,28,44,23,53,41,26,27,29,33.8,53,23,30,80.56,8.97552226892675
CUL3-mut_important,35,34,31,39,47,40,33,38,29,46,37.2,47,29,18,32.36,5.688585061331157
RB1-mut_important,36,35,30,33,28,49,30,33,39,40,35.3,49,28,21,34.410000000000004,5.866003750424986
EZH2-cnv_amp,37,23,22,28,19,33,19,31,23,25,26.0,37,19,18,33.2,5.761944116355173
