,,0,1
VPS53,mut_important,VPS53,mut_important
VPS53,cnv_del,VPS53,cnv_del
VPS53,cnv_amp,VPS53,cnv_amp
FGF6,mut_important,FGF6,mut_important
FGF6,cnv_del,FGF6,cnv_del
FGF6,cnv_amp,FGF6,cnv_amp
HIST1H3E,mut_important,HIST1H3E,mut_important
HIST1H3E,cnv_del,HIST1H3E,cnv_del
HIST1H3E,cnv_amp,HIST1H3E,cnv_amp
MED13L,mut_important,MED13L,mut_important
MED13L,cnv_del,MED13L,cnv_del
MED13L,cnv_amp,MED13L,cnv_amp
VRK1,mut_important,VRK1,mut_important
VRK1,cnv_del,VRK1,cnv_del
VRK1,cnv_amp,VRK1,cnv_amp
FGF3,mut_important,FGF3,mut_important
FGF3,cnv_del,FGF3,cnv_del
FGF3,cnv_amp,FGF3,cnv_amp
ZNF69,mut_important,ZNF69,mut_important
ZNF69,cnv_del,ZNF69,cnv_del
ZNF69,cnv_amp,ZNF69,cnv_amp
RGS20,mut_important,RGS20,mut_important
RGS20,cnv_del,RGS20,cnv_del
RGS20,cnv_amp,RGS20,cnv_amp
ZNF791,mut_important,ZNF791,mut_important
ZNF791,cnv_del,ZNF791,cnv_del
ZNF791,cnv_amp,ZNF791,cnv_amp
TULP4,mut_important,TULP4,mut_important
TULP4,cnv_del,TULP4,cnv_del
TULP4,cnv_amp,TULP4,cnv_amp
DNAJC14,mut_important,DNAJC14,mut_important
DNAJC14,cnv_del,DNAJC14,cnv_del
DNAJC14,cnv_amp,DNAJC14,cnv_amp
DENND2D,mut_important,DENND2D,mut_important
DENND2D,cnv_del,DENND2D,cnv_del
DENND2D,cnv_amp,DENND2D,cnv_amp
EAPP,mut_important,EAPP,mut_important
EAPP,cnv_del,EAPP,cnv_del
EAPP,cnv_amp,EAPP,cnv_amp
ZSCAN29,mut_important,ZSCAN29,mut_important
ZSCAN29,cnv_del,ZSCAN29,cnv_del
ZSCAN29,cnv_amp,ZSCAN29,cnv_amp
IFNGR1,mut_important,IFNGR1,mut_important
IFNGR1,cnv_del,IFNGR1,cnv_del
IFNGR1,cnv_amp,IFNGR1,cnv_amp
FAM135B,mut_important,FAM135B,mut_important
FAM135B,cnv_del,FAM135B,cnv_del
FAM135B,cnv_amp,FAM135B,cnv_amp
VTA1,mut_important,VTA1,mut_important
VTA1,cnv_del,VTA1,cnv_del
VTA1,cnv_amp,VTA1,cnv_amp
H3F3A,mut_important,H3F3A,mut_important
H3F3A,cnv_del,H3F3A,cnv_del
H3F3A,cnv_amp,H3F3A,cnv_amp
TMEM42,mut_important,TMEM42,mut_important
TMEM42,cnv_del,TMEM42,cnv_del
TMEM42,cnv_amp,TMEM42,cnv_amp
DDO,mut_important,DDO,mut_important
DDO,cnv_del,DDO,cnv_del
DDO,cnv_amp,DDO,cnv_amp
PIP5K1A,mut_important,PIP5K1A,mut_important
PIP5K1A,cnv_del,PIP5K1A,cnv_del
PIP5K1A,cnv_amp,PIP5K1A,cnv_amp
PPIL2,mut_important,PPIL2,mut_important
PPIL2,cnv_del,PPIL2,cnv_del
PPIL2,cnv_amp,PPIL2,cnv_amp
RRAD,mut_important,RRAD,mut_important
RRAD,cnv_del,RRAD,cnv_del
RRAD,cnv_amp,RRAD,cnv_amp
OR5AC2,mut_important,OR5AC2,mut_important
OR5AC2,cnv_del,OR5AC2,cnv_del
OR5AC2,cnv_amp,OR5AC2,cnv_amp
WTAP,mut_important,WTAP,mut_important
WTAP,cnv_del,WTAP,cnv_del
WTAP,cnv_amp,WTAP,cnv_amp
NBPF3,mut_important,NBPF3,mut_important
NBPF3,cnv_del,NBPF3,cnv_del
NBPF3,cnv_amp,NBPF3,cnv_amp
NRXN2,mut_important,NRXN2,mut_important
NRXN2,cnv_del,NRXN2,cnv_del
NRXN2,cnv_amp,NRXN2,cnv_amp
BTF3L4,mut_important,BTF3L4,mut_important
BTF3L4,cnv_del,BTF3L4,cnv_del
BTF3L4,cnv_amp,BTF3L4,cnv_amp
MTMR4,mut_important,MTMR4,mut_important
MTMR4,cnv_del,MTMR4,cnv_del
MTMR4,cnv_amp,MTMR4,cnv_amp
SPOPL,mut_important,SPOPL,mut_important
SPOPL,cnv_del,SPOPL,cnv_del
SPOPL,cnv_amp,SPOPL,cnv_amp
GPR19,mut_important,GPR19,mut_important
GPR19,cnv_del,GPR19,cnv_del
GPR19,cnv_amp,GPR19,cnv_amp
ARHGAP29,mut_important,ARHGAP29,mut_important
ARHGAP29,cnv_del,ARHGAP29,cnv_del
ARHGAP29,cnv_amp,ARHGAP29,cnv_amp
G6PC3,mut_important,G6PC3,mut_important
G6PC3,cnv_del,G6PC3,cnv_del
G6PC3,cnv_amp,G6PC3,cnv_amp
TSPAN1,mut_important,TSPAN1,mut_important
TSPAN1,cnv_del,TSPAN1,cnv_del
TSPAN1,cnv_amp,TSPAN1,cnv_amp
PPP3CB,mut_important,PPP3CB,mut_important
PPP3CB,cnv_del,PPP3CB,cnv_del
PPP3CB,cnv_amp,PPP3CB,cnv_amp
SRPK2,mut_important,SRPK2,mut_important
SRPK2,cnv_del,SRPK2,cnv_del
SRPK2,cnv_amp,SRPK2,cnv_amp
SEMG2,mut_important,SEMG2,mut_important
SEMG2,cnv_del,SEMG2,cnv_del
SEMG2,cnv_amp,SEMG2,cnv_amp
IL15,mut_important,IL15,mut_important
IL15,cnv_del,IL15,cnv_del
IL15,cnv_amp,IL15,cnv_amp
OR5L1,mut_important,OR5L1,mut_important
OR5L1,cnv_del,OR5L1,cnv_del
OR5L1,cnv_amp,OR5L1,cnv_amp
SLC25A28,mut_important,SLC25A28,mut_important
SLC25A28,cnv_del,SLC25A28,cnv_del
SLC25A28,cnv_amp,SLC25A28,cnv_amp
ABHD13,mut_important,ABHD13,mut_important
ABHD13,cnv_del,ABHD13,cnv_del
ABHD13,cnv_amp,ABHD13,cnv_amp
RWDD2B,mut_important,RWDD2B,mut_important
RWDD2B,cnv_del,RWDD2B,cnv_del
RWDD2B,cnv_amp,RWDD2B,cnv_amp
CLRN1,mut_important,CLRN1,mut_important
CLRN1,cnv_del,CLRN1,cnv_del
CLRN1,cnv_amp,CLRN1,cnv_amp
IMPAD1,mut_important,IMPAD1,mut_important
IMPAD1,cnv_del,IMPAD1,cnv_del
IMPAD1,cnv_amp,IMPAD1,cnv_amp
ZNF212,mut_important,ZNF212,mut_important
ZNF212,cnv_del,ZNF212,cnv_del
ZNF212,cnv_amp,ZNF212,cnv_amp
MON2,mut_important,MON2,mut_important
MON2,cnv_del,MON2,cnv_del
MON2,cnv_amp,MON2,cnv_amp
SCP2,mut_important,SCP2,mut_important
SCP2,cnv_del,SCP2,cnv_del
SCP2,cnv_amp,SCP2,cnv_amp
WDR91,mut_important,WDR91,mut_important
WDR91,cnv_del,WDR91,cnv_del
WDR91,cnv_amp,WDR91,cnv_amp
KIN,mut_important,KIN,mut_important
KIN,cnv_del,KIN,cnv_del
KIN,cnv_amp,KIN,cnv_amp
COX6C,mut_important,COX6C,mut_important
COX6C,cnv_del,COX6C,cnv_del
COX6C,cnv_amp,COX6C,cnv_amp
ZDHHC5,mut_important,ZDHHC5,mut_important
ZDHHC5,cnv_del,ZDHHC5,cnv_del
ZDHHC5,cnv_amp,ZDHHC5,cnv_amp
GOT1,mut_important,GOT1,mut_important
GOT1,cnv_del,GOT1,cnv_del
GOT1,cnv_amp,GOT1,cnv_amp
HEMGN,mut_important,HEMGN,mut_important
HEMGN,cnv_del,HEMGN,cnv_del
HEMGN,cnv_amp,HEMGN,cnv_amp
ZNF382,mut_important,ZNF382,mut_important
ZNF382,cnv_del,ZNF382,cnv_del
ZNF382,cnv_amp,ZNF382,cnv_amp
PDZRN3,mut_important,PDZRN3,mut_important
PDZRN3,cnv_del,PDZRN3,cnv_del
PDZRN3,cnv_amp,PDZRN3,cnv_amp
TINF2,mut_important,TINF2,mut_important
TINF2,cnv_del,TINF2,cnv_del
TINF2,cnv_amp,TINF2,cnv_amp
OTOP1,mut_important,OTOP1,mut_important
OTOP1,cnv_del,OTOP1,cnv_del
OTOP1,cnv_amp,OTOP1,cnv_amp
ACOT2,mut_important,ACOT2,mut_important
ACOT2,cnv_del,ACOT2,cnv_del
ACOT2,cnv_amp,ACOT2,cnv_amp
DNMT3A,mut_important,DNMT3A,mut_important
DNMT3A,cnv_del,DNMT3A,cnv_del
DNMT3A,cnv_amp,DNMT3A,cnv_amp
NFX1,mut_important,NFX1,mut_important
NFX1,cnv_del,NFX1,cnv_del
NFX1,cnv_amp,NFX1,cnv_amp
PPIL4,mut_important,PPIL4,mut_important
PPIL4,cnv_del,PPIL4,cnv_del
PPIL4,cnv_amp,PPIL4,cnv_amp
FBLN1,mut_important,FBLN1,mut_important
FBLN1,cnv_del,FBLN1,cnv_del
FBLN1,cnv_amp,FBLN1,cnv_amp
KLHL3,mut_important,KLHL3,mut_important
KLHL3,cnv_del,KLHL3,cnv_del
KLHL3,cnv_amp,KLHL3,cnv_amp
OR8K3,mut_important,OR8K3,mut_important
OR8K3,cnv_del,OR8K3,cnv_del
OR8K3,cnv_amp,OR8K3,cnv_amp
ULK1,mut_important,ULK1,mut_important
ULK1,cnv_del,ULK1,cnv_del
ULK1,cnv_amp,ULK1,cnv_amp
POM121,mut_important,POM121,mut_important
POM121,cnv_del,POM121,cnv_del
POM121,cnv_amp,POM121,cnv_amp
ZBTB5,mut_important,ZBTB5,mut_important
ZBTB5,cnv_del,ZBTB5,cnv_del
ZBTB5,cnv_amp,ZBTB5,cnv_amp
SBDS,mut_important,SBDS,mut_important
SBDS,cnv_del,SBDS,cnv_del
SBDS,cnv_amp,SBDS,cnv_amp
OASL,mut_important,OASL,mut_important
OASL,cnv_del,OASL,cnv_del
OASL,cnv_amp,OASL,cnv_amp
CCDC73,mut_important,CCDC73,mut_important
CCDC73,cnv_del,CCDC73,cnv_del
CCDC73,cnv_amp,CCDC73,cnv_amp
