element,coef
R-HSA-168256,105.11422729492188
R-HSA-392499,56.537628173828125
R-HSA-74160,51.031131744384766
R-HSA-162582,41.068084716796875
R-HSA-1640170,25.425064086914062
R-HSA-8953854,23.468862533569336
R-HSA-5653656,18.928468704223633
R-HSA-1643685,18.38153648376465
R-HSA-1266738,16.125699996948242
R-HSA-8953897,10.566061019897461
R-HSA-4839726,8.279473304748535
R-HSA-1474244,4.267750263214111
R-HSA-73894,1.9186041355133057
R-HSA-1474165,1.3526802062988281
R-HSA-109582,0.25579434633255005
R-HSA-382551,0.1522962599992752
R-HSA-1430728,0.04828163608908653
R-HSA-112316,0.02928641438484192
R-HSA-69306,0.02751944214105606
R-HSA-397014,0.023447396233677864
R-HSA-5205647,0.0003838340344373137
R-HSA-1852241,2.8758311600540765e-05
R-HSA-5357801,1.1368462764949072e-05
R-HSA-400253,2.552507964992401e-07
R-HSA-8963743,0.0
R-HSA-1500931,-0.0014892005128785968
