element,coef
MYC_cnv_amp,9.069570541381836
RPL7_cnv_amp,7.772881031036377
TAF2_cnv_amp,5.563838481903076
APC_mut_important,5.524713516235352
PSMD2_cnv_amp,5.509189128875732
CUL1_cnv_amp,5.179864883422852
PPP2CB_cnv_del,4.940763473510742
UBB_cnv_del,4.780109882354736
MAP3K1_cnv_del,4.332239151000977
VCL_cnv_amp,4.08122444152832
TP53INP1_cnv_amp,3.801908016204834
RAD17_cnv_del,3.706468343734741
SHC1_cnv_amp,3.4810903072357178
PSMD3_cnv_amp,3.3033182621002197
PIK3R1_mut_important,3.210585355758667
POLR2E_cnv_del,2.6657345294952393
H2AFV_cnv_amp,2.601653814315796
NUP205_cnv_amp,2.5995683670043945
CCND1_cnv_amp,2.5462560653686523
HEY1_cnv_amp,2.539238452911377
POLR2C_cnv_del,2.5194125175476074
TXNDC5_cnv_del,2.4394330978393555
NOD1_mut_important,2.420581102371216
ARID1B_mut_important,2.3899617195129395
CTNNB1_mut_important,2.3698196411132812
LRP2_mut_important,2.333719253540039
NUP155_cnv_amp,2.329216957092285
PPP2CB_cnv_amp,2.204099416732788
FBXO32_cnv_amp,2.188126802444458
DYNLL1_cnv_amp,2.1835100650787354
PSAP_cnv_amp,2.1531853675842285
NDRG1_cnv_amp,2.147919178009033
GPS1_cnv_amp,2.1266348361968994
SEC24C_cnv_amp,2.0999128818511963
TICAM2_cnv_del,2.079163074493408
NBN_cnv_amp,2.0701560974121094
RUNX1_mut_important,1.9535592794418335
LAMA5_mut_important,1.9481382369995117
ASH2L_cnv_amp,1.9466253519058228
RBBP5_cnv_amp,1.9343864917755127
MDM4_cnv_amp,1.8775627613067627
ARHGEF10_cnv_del,1.8684802055358887
TNRC6A_cnv_amp,1.8259021043777466
IGF2R_mut_important,1.8173993825912476
VDAC2_cnv_amp,1.7229973077774048
POLR2B_mut_important,1.6892813444137573
NUP54_cnv_amp,1.6407697200775146
H3F3A_cnv_amp,1.6291083097457886
UBB_cnv_amp,1.6037992238998413
TPP2_cnv_del,1.6025328636169434
NFKBIA_cnv_amp,1.5810127258300781
PLXNB1_mut_important,1.5744808912277222
PSMD11_mut_important,1.5508179664611816
PPP2R5D_mut_important,1.5288386344909668
PSMA7_cnv_amp,1.5064260959625244
PSMD1_cnv_del,1.4787830114364624
TRRAP_mut_important,1.4750819206237793
PPP2R5A_cnv_amp,1.4567307233810425
SYK_cnv_amp,1.3972045183181763
WRN_cnv_del,1.3738489151000977
PSME4_mut_important,1.3710029125213623
PPP2R1A_cnv_amp,1.3705626726150513
FBXO21_cnv_amp,1.368891716003418
PPP3CB_cnv_amp,1.3611979484558105
PSMA5_cnv_amp,1.3544636964797974
PSMC4_cnv_amp,1.3432929515838623
CEP70_cnv_amp,1.3390737771987915
QSOX1_cnv_amp,1.327883243560791
RB1_mut_important,1.3263167142868042
NRG1_cnv_del,1.3226224184036255
POLR3A_cnv_amp,1.3210328817367554
PPP2R5D_cnv_amp,1.3004964590072632
TPD52_cnv_amp,1.2928287982940674
NUP98_mut_important,1.290359616279602
EZH2_cnv_amp,1.2880746126174927
UBE3B_mut_important,1.2729287147521973
PPP2R1A_mut_important,1.2676982879638672
KIF5B_cnv_del,1.2617332935333252
BRCA1_mut_important,1.2550145387649536
NF1_mut_important,1.2423903942108154
PLK2_cnv_del,1.2394893169403076
USP7_mut_important,1.2379236221313477
IKBKB_cnv_amp,1.2277002334594727
HIST1H2BD_cnv_amp,1.2059253454208374
SYNGAP1_mut_important,1.2046564817428589
KIF2B_mut_important,1.2024257183074951
LAMA5_cnv_amp,1.1942867040634155
UBE2O_cnv_amp,1.184746503829956
PDGFA_cnv_amp,1.1772499084472656
S100A11_cnv_amp,1.1725361347198486
CUL5_cnv_del,1.1535886526107788
RAC1_cnv_amp,1.1237754821777344
APP_mut_important,1.1019591093063354
MAP2K1_mut_important,1.0832819938659668
KLHL20_cnv_amp,1.0780080556869507
TMED7_cnv_del,1.0767523050308228
PLCG1_mut_important,1.0671645402908325
PSMD1_mut_important,1.053990125656128
YY1_mut_important,1.0473300218582153
HIST3H2A_cnv_amp,1.0457687377929688
MOV10_mut_important,1.0336781740188599
UBE2U_cnv_del,1.0290899276733398
ATG7_mut_important,1.0246964693069458
PML_mut_important,1.0211130380630493
NRG1_mut_important,1.0142700672149658
CDKN2A_cnv_del,1.0137699842453003
HRC_mut_important,1.0136311054229736
WRN_mut_important,1.0031267404556274
PSMC4_mut_important,1.0026569366455078
MAP2K4_cnv_del,1.0013937950134277
NUP93_mut_important,0.9948123097419739
GGH_cnv_amp,0.991504430770874
VPS37D_cnv_amp,0.9887188673019409
ZBTB16_mut_important,0.9878460168838501
MAPK7_mut_important,0.9876706004142761
MYC_mut_important,0.9872183799743652
SETD1A_mut_important,0.9822303056716919
PIK3R2_mut_important,0.9810107350349426
PSMD3_mut_important,0.9695835113525391
TBP_cnv_del,0.9641948938369751
PSME1_cnv_amp,0.9640402793884277
RPLP0_cnv_amp,0.9541643261909485
MDC1_mut_important,0.9533238410949707
AP2M1_cnv_amp,0.9476305246353149
PREX2_cnv_amp,0.9470753073692322
EGFR_cnv_amp,0.945442795753479
COX6C_cnv_amp,0.9435782432556152
RHOBTB1_cnv_amp,0.9420656561851501
ARHGEF10_mut_important,0.9416453838348389
TNRC6A_mut_important,0.9413264393806458
FBXL14_cnv_amp,0.9377378225326538
HVCN1_cnv_amp,0.9325788617134094
CREB1_cnv_amp,0.9300944209098816
PSMD6_mut_important,0.9269631505012512
SLC38A9_cnv_del,0.9258907437324524
ZC3H11A_cnv_amp,0.9255725145339966
HIST1H2BJ_cnv_amp,0.924017071723938
NUP205_mut_important,0.9222062230110168
HRAS_cnv_del,0.9220399856567383
SPP2_cnv_del,0.9206244349479675
CDK4_cnv_amp,0.9060257077217102
ASB1_cnv_del,0.90302973985672
POM121_cnv_amp,0.8998574614524841
BRCA2_mut_important,0.8989222645759583
STAG1_mut_important,0.8978978395462036
RNF213_mut_important,0.8916543126106262
CASP1_cnv_del,0.8846577405929565
MAPK10_cnv_del,0.8708543181419373
TERF1_cnv_amp,0.8649916648864746
EIF4G1_cnv_amp,0.8629333972930908
UBE2H_cnv_amp,0.8625926971435547
HERC5_cnv_del,0.8615546226501465
TIAM1_mut_important,0.8602424263954163
RAD1_cnv_amp,0.8580517768859863
PSMA5_mut_important,0.8534349203109741
TRIM36_cnv_del,0.8521987795829773
CUL7_mut_important,0.8434512615203857
NUP133_cnv_amp,0.8424466848373413
HIST1H2AB_cnv_amp,0.8413174748420715
ILF2_cnv_amp,0.8409039974212646
HECTD3_mut_important,0.8342495560646057
KLHL11_mut_important,0.8324141502380371
FBXL18_cnv_amp,0.8303646445274353
RFC5_cnv_amp,0.8296703100204468
TRIP12_mut_important,0.8279215693473816
NUP153_cnv_amp,0.8275808691978455
EPC1_cnv_del,0.8266369104385376
PGM1_cnv_del,0.8241167068481445
HIST1H2BD_mut_important,0.822468638420105
MAPK7_cnv_del,0.811941921710968
RAP1B_cnv_amp,0.810062825679779
IL7R_cnv_amp,0.8041073679924011
VAMP4_cnv_amp,0.8033869862556458
ARF1_cnv_amp,0.797865092754364
HRAS_cnv_amp,0.7956323623657227
RORC_cnv_amp,0.7832874655723572
RIPK1_cnv_del,0.7787215709686279
AVPR1B_cnv_amp,0.7781029939651489
CHUK_cnv_del,0.7706578373908997
RBBP4_mut_important,0.7620285749435425
HNRNPA2B1_cnv_amp,0.7575526237487793
ARHGEF11_cnv_amp,0.7571483850479126
CUL3_mut_important,0.756747305393219
KRAS_mut_important,0.7563449144363403
SMC3_cnv_del,0.74826580286026
DNAJC5_cnv_amp,0.7463425993919373
RPS6KA5_cnv_amp,0.7458686828613281
CYFIP1_cnv_amp,0.7455752491950989
NPBWR2_cnv_amp,0.744094729423523
SETD2_mut_important,0.7420284152030945
MRPL13_cnv_amp,0.7406327724456787
DNAJC13_cnv_amp,0.7333524227142334
NUP93_cnv_del,0.7324857711791992
MDM2_cnv_amp,0.7317691445350647
USP28_cnv_del,0.7272884845733643
DCTN6_cnv_del,0.7227818965911865
CENPH_cnv_del,0.7218668460845947
NFKB1_mut_important,0.7192891240119934
POLE_cnv_amp,0.7177636623382568
MLST8_cnv_amp,0.7127945423126221
PPP2R5B_mut_important,0.7125813961029053
RASA1_cnv_del,0.7120047807693481
CSTF2T_cnv_amp,0.7109007835388184
RAE1_cnv_amp,0.7050800919532776
RASA1_mut_important,0.6998873949050903
ANXA1_cnv_del,0.6988887190818787
PRKAB1_cnv_amp,0.6988499760627747
NPSR1_cnv_amp,0.6922956705093384
OPRL1_cnv_amp,0.6914705634117126
TIMP2_cnv_amp,0.6905465722084045
UBC_cnv_amp,0.689031720161438
MAP3K1_mut_important,0.6790103912353516
UBE3B_cnv_amp,0.6763914227485657
POLR2C_mut_important,0.6753518581390381
TBP_cnv_amp,0.6751130819320679
PTPRN2_cnv_amp,0.6740715503692627
GNG4_cnv_amp,0.6711499094963074
KAT2A_cnv_amp,0.6672224402427673
VAMP2_cnv_del,0.6666893362998962
DDB1_mut_important,0.6657441258430481
SRC_cnv_del,0.6638011932373047
AHSG_cnv_amp,0.6635606288909912
CLTC_cnv_amp,0.6631749272346497
ASXL1_mut_important,0.6594162583351135
RPS27_cnv_amp,0.6582388281822205
COPS8_cnv_del,0.6567187309265137
RANBP2_mut_important,0.6553608775138855
FGF4_cnv_amp,0.6549506783485413
ADCY2_cnv_amp,0.6546826362609863
APAF1_cnv_amp,0.6523503065109253
RING1_cnv_amp,0.6514989733695984
PKP1_cnv_amp,0.6475843191146851
FEM1C_cnv_del,0.6447625756263733
NDRG1_mut_important,0.6432061195373535
CARM1_cnv_del,0.6385177373886108
FGF20_cnv_del,0.638070821762085
KIF3A_cnv_del,0.637157142162323
EREG_cnv_amp,0.6365847587585449
COPS7A_cnv_amp,0.6349374055862427
PIK3CB_mut_important,0.6339828968048096
GREB1_mut_important,0.6313708424568176
SMURF2_mut_important,0.6228511333465576
OPRM1_cnv_del,0.6205092668533325
CCNE1_cnv_amp,0.6161782741546631
ARHGEF4_mut_important,0.610365629196167
B4GALT1_cnv_amp,0.6097630858421326
MAPK8_cnv_amp,0.6095594763755798
PJA2_cnv_del,0.6094735860824585
CUL9_mut_important,0.60581374168396
HIST3H2A_mut_important,0.6020652055740356
HUS1_cnv_amp,0.6001816391944885
POLR1E_mut_important,0.5968740582466125
MAPK8_cnv_del,0.5947151184082031
MCM4_mut_important,0.5946447253227234
CARD11_mut_important,0.5931015610694885
TFDP2_cnv_amp,0.591860830783844
ARPC5_cnv_amp,0.589106559753418
KIFAP3_cnv_amp,0.588435173034668
SMC3_cnv_amp,0.5870669484138489
MAPK10_mut_important,0.5837687253952026
KLHL20_mut_important,0.5833224058151245
LIMK1_cnv_amp,0.5823480486869812
PRPF6_cnv_amp,0.5806320309638977
VNN1_mut_important,0.580491840839386
CD4_cnv_amp,0.5788512229919434
CEP72_cnv_amp,0.5692156553268433
ERCC3_mut_important,0.5691984295845032
ARID1B_cnv_del,0.568732500076294
NUP153_mut_important,0.5685358643531799
FGF3_cnv_amp,0.5684781670570374
UBA7_mut_important,0.5679380893707275
ERBB4_mut_important,0.5657834410667419
IL6ST_cnv_del,0.5644567012786865
RFC4_cnv_amp,0.5628744959831238
NCBP2_cnv_amp,0.5577504634857178
OPRM1_mut_important,0.5566851496696472
JAK2_cnv_del,0.5537633299827576
CCAR1_cnv_amp,0.5528857707977295
KAT2A_mut_important,0.5520884394645691
CENPL_cnv_amp,0.5513623356819153
IFIH1_mut_important,0.54918372631073
MRPS28_cnv_amp,0.5473424196243286
UBE2F_cnv_del,0.5429448485374451
SF3B1_mut_important,0.5427541732788086
TMEM30A_cnv_del,0.5424296855926514
WDR36_cnv_del,0.5422382950782776
IGF2R_cnv_amp,0.542227566242218
KEL_cnv_amp,0.5389837026596069
CARM1_mut_important,0.5365050435066223
YY1_cnv_amp,0.5355823040008545
ARHGEF10_cnv_amp,0.5353670716285706
CCT2_cnv_amp,0.5343832969665527
SNW1_cnv_amp,0.5322290062904358
UBE3C_cnv_amp,0.5313572883605957
FGF8_cnv_del,0.5306086540222168
ALOX5_cnv_del,0.5300680994987488
GRM5_mut_important,0.5260400176048279
ABCC4_cnv_del,0.5255051851272583
GRM3_mut_important,0.5249351263046265
RAB14_mut_important,0.5244334936141968
H2AFZ_cnv_del,0.523725688457489
FGFR4_cnv_amp,0.5236335396766663
SLC18A3_cnv_amp,0.5230463743209839
ITSN1_mut_important,0.5228742361068726
WWP1_cnv_amp,0.5226886868476868
LPAR1_mut_important,0.5223991274833679
BARD1_cnv_amp,0.5119301080703735
ELP3_cnv_del,0.5113474726676941
ARHGEF15_cnv_del,0.5081773400306702
LMO7_mut_important,0.5060135126113892
ARHGEF12_mut_important,0.5051238536834717
RB1_cnv_del,0.5040072202682495
VCPIP1_cnv_amp,0.5018817186355591
NECAP1_cnv_amp,0.5002272725105286
PTPN6_cnv_amp,0.500226616859436
CARD11_cnv_amp,0.4985195994377136
NLN_cnv_del,0.4977112412452698
SPARCL1_cnv_del,0.49393948912620544
HIST1H2BD_cnv_del,0.491393119096756
RASAL1_mut_important,0.48964157700538635
ERCC6_cnv_amp,0.48939865827560425
VHL_cnv_amp,0.48437395691871643
MMP3_cnv_del,0.4833661913871765
PSAP_mut_important,0.4823322892189026
FBXW4_cnv_del,0.4821925461292267
ATP11B_mut_important,0.48198261857032776
CXCL12_cnv_amp,0.4813886284828186
CBFB_cnv_del,0.4813106954097748
IL6R_cnv_amp,0.4805765151977539
JAK3_cnv_amp,0.48011514544487
PRKACA_cnv_amp,0.47872453927993774
PRKAG3_mut_important,0.4768756031990051
FBXO7_cnv_del,0.4766187369823456
FGFR1_cnv_amp,0.47453272342681885
LAMC1_cnv_amp,0.4725162386894226
NFKBIA_mut_important,0.47092679142951965
PSME3_cnv_amp,0.4675599932670593
CALM1_cnv_amp,0.4666644036769867
PPP1CC_cnv_amp,0.4662848711013794
ATR_cnv_amp,0.4641762673854828
NUP107_cnv_amp,0.46096861362457275
CTSK_cnv_amp,0.46081167459487915
KLHL2_cnv_del,0.460486501455307
VAV1_cnv_del,0.4590102434158325
HSP90AB1_mut_important,0.45761245489120483
PCGF2_cnv_amp,0.45695897936820984
BCL6_cnv_amp,0.45627063512802124
CKAP5_mut_important,0.4557940661907196
PSIP1_cnv_del,0.45564958453178406
WRN_cnv_amp,0.4522465467453003
PNOC_cnv_del,0.4518251419067383
NUP214_mut_important,0.45157456398010254
RAB37_cnv_amp,0.45145654678344727
GATAD2A_mut_important,0.4501746594905853
CYFIP1_mut_important,0.44933250546455383
SF3B4_cnv_amp,0.4481040835380554
SIAH1_cnv_del,0.44675707817077637
APP_cnv_del,0.44636642932891846
CDC34_cnv_del,0.4456031620502472
TRIM25_cnv_amp,0.44536349177360535
UBE2R2_cnv_amp,0.4446142017841339
COMMD3_cnv_del,0.4446137249469757
ARHGEF2_cnv_amp,0.44443199038505554
PRKCQ_mut_important,0.4434276819229126
NFKB2_mut_important,0.4426802694797516
TAS2R1_cnv_amp,0.441804975271225
DLC1_mut_important,0.43871378898620605
RHOT2_cnv_amp,0.437505304813385
MAPK11_mut_important,0.4371207058429718
CEACAM1_cnv_del,0.436394065618515
PYGB_mut_important,0.4358797073364258
ANAPC7_cnv_amp,0.43528473377227783
DYNC1LI2_cnv_del,0.4349498152732849
PABPC1_cnv_amp,0.4335660934448242
MAML1_cnv_amp,0.4322997033596039
AXIN1_cnv_amp,0.43182066082954407
SUZ12_mut_important,0.4279276132583618
SNRNP48_cnv_del,0.4278630018234253
KLHL25_mut_important,0.4271118640899658
TRIM41_cnv_amp,0.4267279803752899
HOXA2_cnv_amp,0.4259607791900635
NUP98_cnv_amp,0.42521730065345764
POLR1C_cnv_amp,0.42460373044013977
ADCY7_mut_important,0.423488587141037
SNAPIN_cnv_amp,0.42322975397109985
UBE2I_cnv_amp,0.4219592213630676
YEATS2_cnv_amp,0.42131054401397705
BTC_cnv_amp,0.419557124376297
DBNL_cnv_amp,0.4185352921485901
MC4R_mut_important,0.4184570014476776
CTDP1_mut_important,0.41777753829956055
RAN_cnv_amp,0.4159831702709198
MDC1_cnv_amp,0.4156864583492279
SCARB2_cnv_amp,0.4145316481590271
JAK1_cnv_del,0.41101062297821045
NUP85_cnv_amp,0.4090753495693207
KDELR2_cnv_amp,0.40780144929885864
CDK2_mut_important,0.40680819749832153
HNRNPF_cnv_amp,0.4066634476184845
EHMT1_mut_important,0.40645521879196167
KLHL5_mut_important,0.40623363852500916
CA1_cnv_amp,0.4058469831943512
PSME1_mut_important,0.4056774377822876
IKBKE_mut_important,0.40553319454193115
SNRNP200_mut_important,0.4053489565849304
LAMA1_mut_important,0.4046740233898163
NUP155_mut_important,0.40413060784339905
DDX21_cnv_amp,0.4035351872444153
DDB2_mut_important,0.4026500880718231
XPO1_mut_important,0.4012203812599182
ANAPC4_cnv_del,0.40102532505989075
MAP2K6_cnv_amp,0.3998376727104187
HIST1H2BM_cnv_amp,0.39962247014045715
HNRNPK_cnv_amp,0.39894992113113403
DHX38_cnv_del,0.3983226418495178
INTS3_cnv_amp,0.3976476788520813
RIOK1_cnv_del,0.3974130153656006
PIK3R2_cnv_amp,0.3972042202949524
COL4A2_mut_important,0.39704275131225586
PPP2R2A_cnv_del,0.39580705761909485
ACTR1A_cnv_del,0.3957422971725464
PDGFA_mut_important,0.39454928040504456
FN1_cnv_amp,0.39453229308128357
GAN_cnv_del,0.39070069789886475
ARHGEF3_mut_important,0.3897034227848053
KTN1_mut_important,0.38927900791168213
UBE3C_mut_important,0.38914069533348083
MAML1_mut_important,0.3884860873222351
LONRF1_cnv_amp,0.3872878849506378
STAM_cnv_del,0.38676750659942627
IKBKB_mut_important,0.38662171363830566
GNB2_cnv_amp,0.3865882158279419
AXIN1_mut_important,0.3862931430339813
UNC13D_cnv_amp,0.3855336308479309
PLCB1_mut_important,0.3844452500343323
TICAM2_cnv_amp,0.3840763568878174
NOTCH1_mut_important,0.3827660381793976
NCOR1_mut_important,0.3825463652610779
PSMD1_cnv_amp,0.37686288356781006
NCBP1_mut_important,0.37652313709259033
GATAD2B_cnv_amp,0.37522706389427185
GNAS_mut_important,0.3749852776527405
RNF34_cnv_amp,0.37488144636154175
ESR1_cnv_amp,0.37450167536735535
S1PR3_mut_important,0.37388890981674194
IRAK2_cnv_amp,0.37213993072509766
TBK1_mut_important,0.3712436258792877
SIRT1_cnv_amp,0.370089590549469
USP5_cnv_amp,0.36991363763809204
PTPRC_mut_important,0.36979204416275024
NCOR1_cnv_del,0.3695999085903168
COG8_cnv_amp,0.3668482303619385
SCOC_cnv_amp,0.36611706018447876
FBXW7_cnv_amp,0.3638748824596405
HOXA3_cnv_amp,0.3620813190937042
CUL9_cnv_amp,0.3617068827152252
FBXL13_cnv_amp,0.36084413528442383
SELP_cnv_amp,0.35947808623313904
DYRK2_cnv_amp,0.3592992424964905
HSP90AB1_cnv_amp,0.3591296076774597
CSNK2A1_mut_important,0.3583466410636902
UBE2M_cnv_amp,0.35831934213638306
CALB1_cnv_amp,0.3580347001552582
USP28_mut_important,0.35710766911506653
RAD21_cnv_amp,0.35671067237854004
PSMD11_cnv_amp,0.35599246621131897
PSMC4_cnv_del,0.3559585213661194
S1PR3_cnv_amp,0.3546670973300934
NFKBIB_mut_important,0.35465389490127563
LYZ_cnv_amp,0.3539365530014038
TUBA4A_cnv_amp,0.3538062274456024
DHX9_cnv_amp,0.3532004654407501
KEL_mut_important,0.3525103032588959
IKBKE_cnv_amp,0.3517149090766907
AKT1_cnv_amp,0.35109764337539673
RNF217_cnv_del,0.3507249057292938
ERCC2_cnv_amp,0.35050180554389954
NR3C2_mut_important,0.3489316701889038
LPAR1_cnv_amp,0.34863194823265076
CCNT2_cnv_del,0.3476632237434387
LAMC1_mut_important,0.3470999598503113
FBXO4_cnv_amp,0.3458787500858307
NUP43_cnv_del,0.34582969546318054
TRA2B_cnv_amp,0.34558480978012085
SETD7_cnv_amp,0.34411782026290894
PTK2_cnv_amp,0.3421868085861206
PTK6_cnv_amp,0.3396894931793213
FLNB_mut_important,0.33920812606811523
PSMB8_mut_important,0.33841046690940857
PSMA8_cnv_del,0.3376368582248688
DYNC1LI1_mut_important,0.3373063802719116
XRCC5_cnv_amp,0.33702030777931213
RFC3_cnv_amp,0.336479514837265
GATAD2A_cnv_amp,0.33579641580581665
MVP_mut_important,0.33517691493034363
HIST1H2AH_cnv_amp,0.33478978276252747
MBTPS1_mut_important,0.3340049386024475
PLCB2_mut_important,0.3325207829475403
FADD_cnv_amp,0.3324018716812134
EDNRA_cnv_amp,0.33025264739990234
PPP2R1A_cnv_del,0.33006978034973145
ST8SIA4_cnv_del,0.3294718265533447
DYNC1LI1_cnv_amp,0.3293773829936981
MMP2_cnv_del,0.32855093479156494
SUMO1_cnv_amp,0.3273310959339142
PTK2B_cnv_del,0.32635852694511414
APAF1_mut_important,0.3261856138706207
DHX9_mut_important,0.32609087228775024
ELF3_cnv_amp,0.3260369598865509
BNIP3L_cnv_del,0.32487621903419495
PTPRC_cnv_amp,0.3243318498134613
MCF2L_cnv_del,0.3236124813556671
AZU1_cnv_del,0.32337915897369385
RHOG_cnv_amp,0.3209677040576935
TAF4_cnv_amp,0.3208713233470917
ARRB2_cnv_del,0.3204396963119507
HIST1H2AC_cnv_amp,0.3200267255306244
FGF19_cnv_amp,0.31964701414108276
EFTUD2_mut_important,0.31942975521087646
FBXW5_mut_important,0.318308562040329
TNC_mut_important,0.31815892457962036
FUCA2_cnv_amp,0.31770700216293335
IGFBP3_cnv_amp,0.31605076789855957
NCAPG2_cnv_amp,0.3154994249343872
CHMP4C_cnv_amp,0.3150056302547455
RING1_cnv_del,0.3144543766975403
PRMT1_mut_important,0.3143066465854645
ALOX5_cnv_amp,0.31360435485839844
CACNA1S_cnv_amp,0.31356024742126465
HMOX2_cnv_amp,0.3134657144546509
GTPBP2_cnv_amp,0.31328701972961426
PIP4K2A_mut_important,0.3130113482475281
KRAS_cnv_amp,0.3128587305545807
ERBB2_cnv_amp,0.3128027319908142
POLR2A_mut_important,0.31188952922821045
LMNA_cnv_amp,0.31155925989151
FURIN_mut_important,0.3106227517127991
ATG5_cnv_del,0.3103392720222473
CYFIP1_cnv_del,0.3099224269390106
AHCTF1_cnv_del,0.30901986360549927
SERPINB6_cnv_del,0.30850982666015625
ADCY7_cnv_del,0.3082813024520874
KIF3C_cnv_del,0.3081704378128052
SETDB1_cnv_amp,0.3073185980319977
CDC16_cnv_del,0.30681487917900085
SETDB1_mut_important,0.3058874011039734
SST_cnv_amp,0.3041531443595886
WDR5_cnv_amp,0.3040280342102051
CLVS1_cnv_amp,0.30356264114379883
CPSF2_cnv_amp,0.2996397316455841
PRPF3_cnv_amp,0.29942452907562256
SMARCA2_mut_important,0.2981521189212799
POLR3GL_cnv_amp,0.29804667830467224
SERPINC1_cnv_amp,0.29788342118263245
CASC3_cnv_amp,0.2978179454803467
PRKCQ_cnv_del,0.2978105843067169
SLC18A3_mut_important,0.29671764373779297
ZNF217_mut_important,0.29651761054992676
NCSTN_cnv_amp,0.2964072823524475
NET1_cnv_del,0.2940673828125
TNFAIP3_cnv_amp,0.29283207654953003
PDPK1_cnv_amp,0.2924221158027649
CTBP1_mut_important,0.29239770770072937
ING4_cnv_amp,0.2911486327648163
AP1S3_cnv_amp,0.2910553514957428
TPP2_cnv_amp,0.2903844714164734
CNN2_cnv_del,0.29030221700668335
ITGB3BP_cnv_del,0.29027122259140015
CKAP5_cnv_amp,0.290096253156662
POLR2C_cnv_amp,0.2900577783584595
COPS3_cnv_amp,0.28935733437538147
AGT_mut_important,0.2887725532054901
MKRN1_cnv_amp,0.2886292636394501
NUP188_mut_important,0.2885221540927887
PIK3CA_cnv_amp,0.2880508601665497
TUBGCP2_cnv_del,0.2877136766910553
RNF14_mut_important,0.28739500045776367
NFKB2_cnv_del,0.28656694293022156
RNPS1_cnv_amp,0.2865055203437805
RICTOR_cnv_amp,0.28607699275016785
CCNE1_mut_important,0.2856370210647583
FGG_cnv_amp,0.2840251326560974
IL7_cnv_amp,0.28385797142982483
