element,coef
R-HSA-201688,7.446392357349396
R-HSA-5635838,6.540517896413803
R-HSA-399721,6.426490873098373
R-HSA-187037,6.343251019716263
R-HSA-5693548,6.005518406629562
R-HSA-917729,5.880240172147751
R-HSA-1445148,5.862011253833771
R-HSA-2408508,5.718078821897507
R-HSA-418885,5.7015140652656555
R-HSA-77387,5.504048615694046
R-HSA-68884,5.488515749573708
R-HSA-68962,5.310541361570358
R-HSA-427389,5.266853749752045
R-HSA-1369062,5.183541685342789
R-HSA-109688,5.181537002325058
R-HSA-8941237,5.05230226367712
R-HSA-428542,5.016010195016861
R-HSA-72187,4.996340423822403
R-HSA-933542,4.860509693622589
R-HSA-936440,4.780157566070557
R-HSA-141405,4.706381589174271
R-HSA-2029482,4.590410299599171
R-HSA-5686938,4.588575750589371
R-HSA-4641258,4.576114468276501
R-HSA-6785807,4.5560751259326935
R-HSA-5625900,4.499878704547882
R-HSA-918233,4.427562519907951
R-HSA-5610780,4.389619670808315
R-HSA-9018519,4.357819125056267
R-HSA-1251985,4.255907893180847
R-HSA-3322077,4.239758834242821
R-HSA-3214842,4.216135963797569
R-HSA-381340,4.0662537813186646
R-HSA-6811440,4.048362120985985
R-HSA-6798695,4.043777480721474
R-HSA-8985801,4.009745001792908
R-HSA-1538133,3.9580423831939697
R-HSA-975956,3.954608291387558
R-HSA-5689603,3.9542779475450516
R-HSA-983168,3.9301685988903046
R-HSA-3928664,3.9027004837989807
R-HSA-917977,3.860089123249054
R-HSA-5368598,3.83152012526989
R-HSA-428359,3.824473351240158
R-HSA-176187,3.8205210343003273
R-HSA-5626467,3.7384605705738068
R-HSA-114604,3.728779673576355
R-HSA-418886,3.6994695423636585
R-HSA-5696394,3.655242368578911
R-HSA-1660661,3.6431339904665947
R-HSA-68949,3.6112285489216447
R-HSA-1855204,3.603444904088974
R-HSA-427359,3.5408713966608047
R-HSA-391160,3.523394539952278
R-HSA-9010642,3.5102321803569794
R-HSA-5357786,3.5068810917437077
R-HSA-201451,3.4440978467464447
R-HSA-416476,3.4346863925457
R-HSA-8866654,3.3838010281324387
R-HSA-199418,3.327108968049288
R-HSA-70263,3.304059837013483
R-HSA-912446,3.2820575907826424
R-HSA-5362798,3.2768718749284744
R-HSA-8864260,3.2749639221001416
R-HSA-168638,3.2712800223380327
R-HSA-5663213,3.17548586986959
R-HSA-2122948,3.162631034851074
R-HSA-114608,3.1598577052354813
R-HSA-9013508,3.1398539040237665
R-HSA-5689901,3.1361572295427322
R-HSA-5693571,3.131467029452324
R-HSA-983189,3.1263484433293343
