,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
VPS53,mut_important,0.026320728,0.14443979,0.050569255,0.28847158,0.13415723
VPS53,cnv_del,0.022289176,0.22831655,0.030504746,0.13845006,0.08529423
VPS53,cnv_amp,0.0048608305,0.12528934,0.058386616,0.08573826,0.0037794348
FGF6,mut_important,0.09208006,0.17471235,0.039650515,0.06295027,0.0525837
FGF6,cnv_del,0.057179525,0.0029029995,0.008630916,0.027100794,0.0011277607
FGF6,cnv_amp,0.31394058,0.22653908,0.13741048,0.16038795,0.22448733
HIST1H3E,mut_important,0.0,0.0,0.0,0.0,0.0
HIST1H3E,cnv_del,0.0,0.0,0.0,0.0,0.0
HIST1H3E,cnv_amp,0.0,0.0,0.0,0.0,0.0
MED13L,mut_important,0.00017850395,1.3439767e-07,0.0011776048,9.416942e-05,3.0686606e-05
MED13L,cnv_del,5.131596e-06,4.3851685e-07,0.00030177023,1.7090155e-05,3.1207746e-05
MED13L,cnv_amp,0.0037283658,0.00012787897,0.012648763,0.0012064927,0.0008556744
VRK1,mut_important,0.042332802,0.013262936,0.0052981204,0.042901203,0.00624506
VRK1,cnv_del,0.059998773,0.069457784,0.020278065,0.018618992,0.05344042
VRK1,cnv_amp,0.0006511681,0.04953978,0.2750728,0.036740005,0.19825147
FGF3,mut_important,0.0003074865,0.06432991,0.06280065,0.029376172,0.03024535
FGF3,cnv_del,0.0008485893,0.0005655047,0.00059360237,0.0008518773,0.0
FGF3,cnv_amp,0.5857027,0.56847817,0.37855598,0.5930327,0.9692018
ZNF69,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF69,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF69,cnv_amp,0.0,0.0,0.0,0.0,0.0
RGS20,mut_important,0.0,0.0,0.0,0.0,0.0
RGS20,cnv_del,0.0,0.0,0.0,0.0,0.0
RGS20,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZNF791,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF791,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF791,cnv_amp,0.0,0.0,0.0,0.0,0.0
TULP4,mut_important,1.7477127e-05,0.027822744,0.00030229124,0.018043289,0.13154487
TULP4,cnv_del,3.714541e-06,0.042661138,0.00047424875,0.04129526,0.03809561
TULP4,cnv_amp,3.220608e-06,0.016024765,1.2873631e-06,0.022472087,0.039832234
DNAJC14,mut_important,0.0,0.0,0.0,0.0,0.0
DNAJC14,cnv_del,0.0,0.0,0.0,0.0,0.0
DNAJC14,cnv_amp,0.0,0.0,0.0,0.0,0.0
DENND2D,mut_important,0.02001734,0.005804863,0.005976563,0.011465326,2.4974846e-05
DENND2D,cnv_del,0.004466387,0.0017618281,0.0024483416,0.0057236073,6.4278976e-07
DENND2D,cnv_amp,0.020615388,0.006038854,0.0013706988,0.026280316,8.630514e-06
EAPP,mut_important,0.0,0.0,0.0,0.0,0.0
EAPP,cnv_del,0.0,0.0,0.0,0.0,0.0
EAPP,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZSCAN29,mut_important,0.0,0.0,0.0,0.0,0.0
ZSCAN29,cnv_del,0.0,0.0,0.0,0.0,0.0
ZSCAN29,cnv_amp,0.0,0.0,0.0,0.0,0.0
IFNGR1,mut_important,2.6405877e-26,0.0010549646,2.8191761e-21,6.9317127e-18,9.4777397e-07
IFNGR1,cnv_del,3.127592e-27,0.0008319992,1.526756e-22,2.6448495e-17,1.231823e-06
IFNGR1,cnv_amp,6.147936e-26,0.005150668,6.528372e-21,7.273812e-18,1.1736191e-06
FAM135B,mut_important,0.0,0.0,0.0,0.0,0.0
FAM135B,cnv_del,0.0,0.0,0.0,0.0,0.0
FAM135B,cnv_amp,0.0,0.0,0.0,0.0,0.0
VTA1,mut_important,0.03332122,0.012696611,1.361383e-05,0.0015506052,0.036132276
VTA1,cnv_del,0.007522737,0.005242999,3.1829828e-08,0.0020028956,0.0065593338
VTA1,cnv_amp,0.0022717386,0.0010405997,5.7685537e-07,0.00046364302,0.001601257
H3F3A,mut_important,0.2821476,0.27374566,0.17785336,0.06083725,0.097467385
H3F3A,cnv_del,1.0239381,1.080494,0.7936351,0.8600839,0.629008
H3F3A,cnv_amp,1.7989132,1.6291083,1.3498769,0.7263275,1.1826594
TMEM42,mut_important,0.0,0.0,0.0,0.0,0.0
TMEM42,cnv_del,0.0,0.0,0.0,0.0,0.0
TMEM42,cnv_amp,0.0,0.0,0.0,0.0,0.0
DDO,mut_important,0.0,0.0,0.0,0.0,0.0
DDO,cnv_del,0.0,0.0,0.0,0.0,0.0
DDO,cnv_amp,0.0,0.0,0.0,0.0,0.0
PIP5K1A,mut_important,0.09063575,0.05395623,0.029525606,0.05509628,0.02945415
PIP5K1A,cnv_del,0.0,0.0,0.0,0.0,0.0
PIP5K1A,cnv_amp,0.20820943,0.0007178058,0.16118757,0.70337796,0.09526722
PPIL2,mut_important,1.0043507e-24,2.9488983e-21,1.1330646e-19,4.5834773e-17,4.892266e-21
PPIL2,cnv_del,2.0498165e-27,3.9250306e-21,9.137221e-21,3.2759594e-19,1.4382837e-21
PPIL2,cnv_amp,2.2782885e-26,4.311551e-21,7.576662e-21,8.15223e-18,5.071918e-22
RRAD,mut_important,0.0,0.0,0.0,0.0,0.0
RRAD,cnv_del,0.0,0.0,0.0,0.0,0.0
RRAD,cnv_amp,0.0,0.0,0.0,0.0,0.0
OR5AC2,mut_important,0.0,0.0,0.0,0.0,0.0
OR5AC2,cnv_del,0.0,0.0,0.0,0.0,0.0
OR5AC2,cnv_amp,0.0,0.0,0.0,0.0,0.0
WTAP,mut_important,0.0,0.0,0.0,0.0,0.0
WTAP,cnv_del,0.0,0.0,0.0,0.0,0.0
WTAP,cnv_amp,0.0,0.0,0.0,0.0,0.0
NBPF3,mut_important,0.0,0.0,0.0,0.0,0.0
NBPF3,cnv_del,0.0,0.0,0.0,0.0,0.0
NBPF3,cnv_amp,0.0,0.0,0.0,0.0,0.0
