,coef
R-HSA-110362,4.1134725e-13
R-HSA-5651801,2.4081415e-09
R-HSA-73930,-2.7233777e-17
R-HSA-111461,-3.809824e-09
R-HSA-264870,-8.679277e-16
R-HSA-351906,-1.4232683e-12
R-HSA-352238,-1.2655677e-16
R-HSA-111469,-3.005892e-12
R-HSA-111885,3.7020478
R-HSA-111933,-1.1670437e-11
R-HSA-112399,0.15930814
R-HSA-110056,-1.3626601e-11
R-HSA-112411,3.0557676e-14
R-HSA-113510,0.2054057
R-HSA-111446,8.530822e-12
R-HSA-111447,-8.769651e-10
R-HSA-111448,-1.0388251e-08
R-HSA-139910,-2.4606837e-11
R-HSA-139915,-3.7883052e-10
R-HSA-1169091,1.3495722
R-HSA-1169092,0.096738786
R-HSA-2025928,0.20452541
R-HSA-1169408,3.8209133
R-HSA-1234158,0.023169838
R-HSA-1234162,-2.440717e-07
R-HSA-1234176,0.18656972
R-HSA-1236973,0.07659548
R-HSA-1236974,0.47012827
R-HSA-1236977,-2.5431157e-09
R-HSA-1236978,0.19990778
R-HSA-1296041,-7.846269e-12
R-HSA-211227,-1.2084889e-21
R-HSA-3371378,4.401899e-11
R-HSA-69416,7.4842747e-13
R-HSA-141430,-1.0843058e-13
R-HSA-141444,1.0331379
R-HSA-1461957,4.4230046e-09
R-HSA-1462054,9.7146134e-05
R-HSA-1482788,0.0009981514
R-HSA-1482798,1.841676e-08
R-HSA-1482801,0.00041908756
R-HSA-1482839,0.00026756822
R-HSA-1482883,-9.912927e-14
R-HSA-1482922,-0.00019612671
R-HSA-1482925,1.6624786e-05
R-HSA-1483076,2.301622e-14
R-HSA-1483115,-0.00022728516
R-HSA-1483148,-2.8522795e-11
R-HSA-1483152,0.0
R-HSA-1483166,0.0038288205
R-HSA-1483191,0.0008603297
R-HSA-1483196,0.0
R-HSA-1483213,-0.001027933
R-HSA-1483226,0.0015720723
R-HSA-1483248,-0.0033695532
R-HSA-1660499,0.037783172
R-HSA-1660514,-0.004971496
R-HSA-1660516,0.001480087
R-HSA-1660517,0.001584594
R-HSA-6814848,3.3867498e-16
R-HSA-8847453,0.00060277357
R-HSA-1362277,0.007041501
R-HSA-1362300,0.0034891467
R-HSA-159424,6.213133e-14
R-HSA-173599,0.0
R-HSA-174403,3.9715264e-14
R-HSA-159227,0.006695072
R-HSA-159230,0.00025724727
R-HSA-159231,0.015921768
R-HSA-159740,2.3424416e-09
R-HSA-159763,2.4941778e-08
R-HSA-159782,7.0815846e-11
R-HSA-1606341,0.0009145736
R-HSA-1810476,0.025311822
R-HSA-1614517,0.0
R-HSA-162594,0.43172592
R-HSA-162599,3.6662717
R-HSA-164952,-0.15831593
R-HSA-176033,1.7366617
R-HSA-176034,0.0037670648
R-HSA-177243,0.9878722
R-HSA-180534,0.68637383
R-HSA-180585,0.7924182
R-HSA-180689,0.12653312
R-HSA-2022854,-0.0016120793
R-HSA-2022857,-0.00034861136
R-HSA-1971475,-9.098165e-11
R-HSA-2022928,1.3795369e-09
R-HSA-2024096,7.941302e-11
R-HSA-2426168,-1.487417e-05
R-HSA-166020,5.7127477e-07
R-HSA-166166,3.558434
R-HSA-445989,0.01615162
R-HSA-450294,3.9166389
R-HSA-167826,0.0
R-HSA-167827,0.0
R-HSA-166786,0.21250749
R-HSA-173736,0.0
R-HSA-975155,11.310311
R-HSA-168927,0.050318472
R-HSA-9013957,0.08191472
R-HSA-9013973,0.14413168
R-HSA-9014325,0.020301793
R-HSA-168276,0.55325997
R-HSA-168277,0.0
R-HSA-168268,0.0
R-HSA-168270,0.0
R-HSA-168271,0.025635581
R-HSA-168273,2.1989455
R-HSA-168274,0.08649995
R-HSA-168275,0.0
R-HSA-5250955,0.02437892
R-HSA-5250958,0.0017341102
R-HSA-5250968,0.0049300254
