,,coef
VPS53,mut_important,0.13415723
VPS53,cnv_del,0.08529423
VPS53,cnv_amp,0.0037794348
FGF6,mut_important,0.0525837
FGF6,cnv_del,-0.0011277607
FGF6,cnv_amp,0.22448733
HIST1H3E,mut_important,0.0
HIST1H3E,cnv_del,0.0
HIST1H3E,cnv_amp,0.0
MED13L,mut_important,3.0686606e-05
MED13L,cnv_del,-3.1207746e-05
MED13L,cnv_amp,-0.0008556744
VRK1,mut_important,0.00624506
VRK1,cnv_del,-0.05344042
VRK1,cnv_amp,0.19825147
FGF3,mut_important,-0.03024535
FGF3,cnv_del,0.0
FGF3,cnv_amp,0.9692018
ZNF69,mut_important,0.0
ZNF69,cnv_del,0.0
ZNF69,cnv_amp,0.0
RGS20,mut_important,0.0
RGS20,cnv_del,0.0
RGS20,cnv_amp,0.0
ZNF791,mut_important,0.0
ZNF791,cnv_del,0.0
ZNF791,cnv_amp,0.0
TULP4,mut_important,0.13154487
TULP4,cnv_del,-0.03809561
TULP4,cnv_amp,0.039832234
DNAJC14,mut_important,0.0
DNAJC14,cnv_del,0.0
DNAJC14,cnv_amp,0.0
DENND2D,mut_important,-2.4974846e-05
DENND2D,cnv_del,-6.4278976e-07
DENND2D,cnv_amp,8.630514e-06
EAPP,mut_important,0.0
EAPP,cnv_del,0.0
EAPP,cnv_amp,0.0
ZSCAN29,mut_important,0.0
ZSCAN29,cnv_del,0.0
ZSCAN29,cnv_amp,0.0
IFNGR1,mut_important,-9.4777397e-07
IFNGR1,cnv_del,1.231823e-06
IFNGR1,cnv_amp,1.1736191e-06
FAM135B,mut_important,0.0
FAM135B,cnv_del,0.0
FAM135B,cnv_amp,0.0
VTA1,mut_important,0.036132276
VTA1,cnv_del,-0.0065593338
VTA1,cnv_amp,-0.001601257
H3F3A,mut_important,0.097467385
H3F3A,cnv_del,-0.629008
H3F3A,cnv_amp,1.1826594
TMEM42,mut_important,0.0
TMEM42,cnv_del,0.0
TMEM42,cnv_amp,0.0
DDO,mut_important,0.0
DDO,cnv_del,0.0
DDO,cnv_amp,0.0
PIP5K1A,mut_important,0.02945415
PIP5K1A,cnv_del,0.0
PIP5K1A,cnv_amp,0.09526722
PPIL2,mut_important,-4.892266e-21
PPIL2,cnv_del,1.4382837e-21
PPIL2,cnv_amp,5.071918e-22
RRAD,mut_important,0.0
RRAD,cnv_del,0.0
RRAD,cnv_amp,0.0
OR5AC2,mut_important,0.0
OR5AC2,cnv_del,0.0
OR5AC2,cnv_amp,0.0
WTAP,mut_important,0.0
WTAP,cnv_del,0.0
WTAP,cnv_amp,0.0
NBPF3,mut_important,0.0
NBPF3,cnv_del,0.0
NBPF3,cnv_amp,0.0
NRXN2,mut_important,3.4566146e-05
NRXN2,cnv_del,-3.329914e-07
NRXN2,cnv_amp,3.9114454e-08
BTF3L4,mut_important,0.0
BTF3L4,cnv_del,0.0
BTF3L4,cnv_amp,0.0
MTMR4,mut_important,-2.279304e-05
MTMR4,cnv_del,2.6259145e-06
MTMR4,cnv_amp,-0.00023548542
SPOPL,mut_important,0.0
SPOPL,cnv_del,0.0
SPOPL,cnv_amp,0.0
GPR19,mut_important,0.0
GPR19,cnv_del,0.0
GPR19,cnv_amp,0.0
ARHGAP29,mut_important,0.36117747
ARHGAP29,cnv_del,0.019941643
ARHGAP29,cnv_amp,0.0056806663
G6PC3,mut_important,8.947405e-08
G6PC3,cnv_del,8.196368e-07
G6PC3,cnv_amp,-4.168532e-07
TSPAN1,mut_important,0.0
TSPAN1,cnv_del,0.0
TSPAN1,cnv_amp,0.0
PPP3CB,mut_important,0.03555793
PPP3CB,cnv_del,-0.06875065
PPP3CB,cnv_amp,1.1679637
SRPK2,mut_important,0.0
SRPK2,cnv_del,0.0
SRPK2,cnv_amp,0.0
SEMG2,mut_important,0.0
SEMG2,cnv_del,0.0
SEMG2,cnv_amp,0.0
IL15,mut_important,0.010185802
IL15,cnv_del,0.01767586
IL15,cnv_amp,0.11541213
OR5L1,mut_important,0.0
OR5L1,cnv_del,0.0
OR5L1,cnv_amp,0.0
SLC25A28,mut_important,0.0
SLC25A28,cnv_del,0.0
SLC25A28,cnv_amp,0.0
ABHD13,mut_important,0.0
ABHD13,cnv_del,0.0
ABHD13,cnv_amp,0.0
RWDD2B,mut_important,0.0
RWDD2B,cnv_del,0.0
RWDD2B,cnv_amp,0.0
CLRN1,mut_important,0.0
CLRN1,cnv_del,0.0
CLRN1,cnv_amp,0.0
IMPAD1,mut_important,0.0
IMPAD1,cnv_del,0.0
IMPAD1,cnv_amp,0.0
ZNF212,mut_important,0.0
ZNF212,cnv_del,0.0
ZNF212,cnv_amp,0.0
MON2,mut_important,0.0
MON2,cnv_del,0.0
MON2,cnv_amp,0.0
SCP2,mut_important,-2.5177743e-20
SCP2,cnv_del,7.307255e-19
SCP2,cnv_amp,1.4908091e-19
WDR91,mut_important,0.0
WDR91,cnv_del,0.0
WDR91,cnv_amp,0.0
KIN,mut_important,9.079982e-32
KIN,cnv_del,1.5536646e-31
KIN,cnv_amp,1.7235376e-31
COX6C,mut_important,0.0
COX6C,cnv_del,0.0
COX6C,cnv_amp,1.3139797
ZDHHC5,mut_important,0.0
ZDHHC5,cnv_del,0.0
ZDHHC5,cnv_amp,0.0
GOT1,mut_important,2.9635178e-10
GOT1,cnv_del,-3.0122893e-09
GOT1,cnv_amp,-4.6543974e-10
HEMGN,mut_important,0.0
HEMGN,cnv_del,0.0
HEMGN,cnv_amp,0.0
ZNF382,mut_important,0.0
ZNF382,cnv_del,0.0
ZNF382,cnv_amp,0.0
PDZRN3,mut_important,0.0
PDZRN3,cnv_del,0.0
PDZRN3,cnv_amp,0.0
TINF2,mut_important,1.3648941e-14
TINF2,cnv_del,2.1285286e-13
TINF2,cnv_amp,1.2290269e-12
OTOP1,mut_important,0.0
OTOP1,cnv_del,0.0
OTOP1,cnv_amp,0.0
ACOT2,mut_important,0.0
ACOT2,cnv_del,0.0
ACOT2,cnv_amp,0.0
DNMT3A,mut_important,0.021236116
DNMT3A,cnv_del,-0.00551976
DNMT3A,cnv_amp,-0.00023245935
NFX1,mut_important,0.0
NFX1,cnv_del,0.0
NFX1,cnv_amp,0.0
PPIL4,mut_important,-0.016361995
PPIL4,cnv_del,0.137276
PPIL4,cnv_amp,0.031919166
FBLN1,mut_important,-1.0573549e-12
FBLN1,cnv_del,1.7863017e-11
FBLN1,cnv_amp,2.7927374e-14
KLHL3,mut_important,0.003341716
KLHL3,cnv_del,-0.027086917
KLHL3,cnv_amp,-0.070095114
OR8K3,mut_important,0.0
OR8K3,cnv_del,0.0
OR8K3,cnv_amp,0.0
ULK1,mut_important,0.08326867
ULK1,cnv_del,-0.04894573
ULK1,cnv_amp,0.009423604
POM121,mut_important,-0.1566931
POM121,cnv_del,-0.063329
POM121,cnv_amp,0.20940335
ZBTB5,mut_important,0.0
ZBTB5,cnv_del,0.0
ZBTB5,cnv_amp,0.0
SBDS,mut_important,0.0
SBDS,cnv_del,0.0
SBDS,cnv_amp,0.0
OASL,mut_important,0.0
OASL,cnv_del,0.0
OASL,cnv_amp,0.0
CCDC73,mut_important,0.0
CCDC73,cnv_del,0.0
CCDC73,cnv_amp,0.0
FOXO1,mut_important,-0.006866324
FOXO1,cnv_del,-0.64167523
FOXO1,cnv_amp,-0.006912833
SIRT1,mut_important,-0.018574806
SIRT1,cnv_del,0.0035183863
SIRT1,cnv_amp,0.5617458
PAN3,mut_important,-4.21561e-14
PAN3,cnv_del,5.2936916e-14
PAN3,cnv_amp,-5.0899253e-14
E2F4,mut_important,0.0
E2F4,cnv_del,-7.1522285e-05
E2F4,cnv_amp,1.0692897e-06
OR9G4,mut_important,0.0
OR9G4,cnv_del,0.0
OR9G4,cnv_amp,0.0
FCER1G,mut_important,0.0
FCER1G,cnv_del,-0.009457448
FCER1G,cnv_amp,0.07441065
PSMC5,mut_important,0.011123197
PSMC5,cnv_del,0.0
PSMC5,cnv_amp,1.1329039
OR6C70,mut_important,0.0
OR6C70,cnv_del,0.0
OR6C70,cnv_amp,0.0
DUSP23,mut_important,0.0
DUSP23,cnv_del,0.0
DUSP23,cnv_amp,0.0
SAMM50,mut_important,-0.0015172473
SAMM50,cnv_del,0.002836809
SAMM50,cnv_amp,0.000106874024
CTSO,mut_important,-2.5115755e-06
CTSO,cnv_del,-4.4233533e-07
CTSO,cnv_amp,1.5923473e-06
NSUN5,mut_important,0.0
NSUN5,cnv_del,0.0
NSUN5,cnv_amp,0.0
KBTBD2,mut_important,0.0
KBTBD2,cnv_del,0.0
KBTBD2,cnv_amp,0.0
MORF4L1,mut_important,0.0
MORF4L1,cnv_del,0.0020943668
MORF4L1,cnv_amp,3.6031203e-08
PRPF18,mut_important,0.0
PRPF18,cnv_del,0.0
PRPF18,cnv_amp,0.0
DPPA2,mut_important,0.0
DPPA2,cnv_del,0.0
DPPA2,cnv_amp,0.0
PTK2B,mut_important,0.039987497
PTK2B,cnv_del,0.3655941
PTK2B,cnv_amp,0.00081873045
USF2,mut_important,0.0
USF2,cnv_del,0.002210048
USF2,cnv_amp,-0.019307785
NUP188,mut_important,0.36634055
NUP188,cnv_del,0.045867644
NUP188,cnv_amp,-0.51446325
KCNQ4,mut_important,4.3088455e-25
KCNQ4,cnv_del,-1.0719531e-26
KCNQ4,cnv_amp,7.688001e-24
DSC1,mut_important,0.019085053
DSC1,cnv_del,0.013179778
DSC1,cnv_amp,-0.014755809
ZNRF2,mut_important,-0.0062224
ZNRF2,cnv_del,0.0
ZNRF2,cnv_amp,-0.22885607
KIAA1324L,mut_important,0.0
KIAA1324L,cnv_del,0.0
KIAA1324L,cnv_amp,0.0
RHOH,mut_important,0.012397571
RHOH,cnv_del,-0.02153317
RHOH,cnv_amp,4.4913824e-05
TNFSF12,mut_important,1.8517115e-29
TNFSF12,cnv_del,7.705113e-29
TNFSF12,cnv_amp,-1.858988e-29
TCP11,mut_important,0.0
TCP11,cnv_del,0.0
TCP11,cnv_amp,0.0
SERPIND1,mut_important,-0.0062509985
SERPIND1,cnv_del,-0.06402181
SERPIND1,cnv_amp,-0.014915885
C1D,mut_important,0.0
C1D,cnv_del,5.5538624e-07
C1D,cnv_amp,-6.5337935e-07
TBC1D20,mut_important,0.0
TBC1D20,cnv_del,4.9991048e-08
TBC1D20,cnv_amp,-4.8765294e-08
OR5AN1,mut_important,0.0
OR5AN1,cnv_del,0.0
OR5AN1,cnv_amp,0.0
CSDE1,mut_important,0.0
CSDE1,cnv_del,0.0
CSDE1,cnv_amp,0.0
RAB24,mut_important,-0.0003726845
RAB24,cnv_del,0.0
RAB24,cnv_amp,0.008178595
PSG8,mut_important,0.0
PSG8,cnv_del,0.0
