,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
TP53,0.011631716,20.0,0.011631716,40.451294,27.244853999999997,1.0
GRIA2,0.010970012,3.0,0.010970012,38.146004,28.26724,1.0
PTK2,0.010062419,8.0,0.010062419,34.984066,25.09969,1.0
SET,0.00914759,2.0,0.00914759,31.79692,23.688513,1.0
RPS20,0.0070958086,15.0,0.0070958086,24.648782999999998,16.253892999999998,1.0
NUP54,0.006242839599999999,18.0,0.006242839599999999,21.677149,13.551186999999999,1.0
GNB2,0.0053828999999999995,19.0,0.0053828999999999995,18.68123,11.153108999999999,1.0
OBSCN,0.0048366995000000005,3.0,0.0048366995000000005,16.77834,12.314536,1.0
RAB13,0.0045294627,3.0,0.0045294627,15.707966,11.515414999999999,1.0
PRKCZ,0.0042924946,3.0,0.0042924946,14.8824,10.899063,1.0
