,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
Transmission across Chemical Synapses,0.017166216,6.0,0.017166216,8.795204,6.640964500000001,5.0
Cell Cycle Checkpoints,0.009455266,4.0,0.009455266,4.7098293,3.8975549,5.0
"Cell Cycle, Mitotic",0.007489653000000001,6.0,0.007489653000000001,3.6684186000000003,2.4145488999999998,5.0
Post-translational protein modification,0.005890686500000001,13.0,0.005890686500000001,2.8212627999999995,0.4695386,5.0
Translation,0.0046827355,7.0,0.0046827355,2.1812725,0.876332,5.0
"Platelet activation, signaling and aggregation",0.004447403,8.0,0.004447403,2.0565896,0.4613018,5.0
Innate Immune System,0.0030217364000000003,14.0,0.0030217364000000003,1.3012506000000001,2.0348496,5.0
Signaling by NOTCH,0.0029429115999999996,6.0,0.0029429115999999996,1.2594881000000002,0.42867625,5.0
Signaling by GPCR,0.0028324306,3.0,0.0028324306,1.2009536,1.3171544,5.0
Signaling by Rho GTPases,0.0027122559999999997,3.0,0.0027122559999999997,1.1372833,1.264666,5.0
